"Recurring_CostElementList_CostElement","Recurring_CategorySubtotal_TotalCost_AllPriorYears_val","Recurring_CategorySubtotal_TotalCost_PriorYear_val","Recurring_CategorySubtotal_TotalCost_CurrentYear_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOne_val","Recurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","Recurring_CategorySubtotal_TotalCost_BudgetYearThree_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFour_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Recurring_CategorySubtotal_TotalCost_Total_val","Recurring_CategorySubtotal_TotalCost_ToComplete_val","Recurring_CategorySubtotal_TotalCost_Continuing_val","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CostElementList_CostElement","NonRecurring_CategorySubtotal_TotalCost_AllPriorYears_val","NonRecurring_CategorySubtotal_TotalCost_PriorYear_val","NonRecurring_CategorySubtotal_TotalCost_CurrentYear_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOne_val","NonRecurring_CategorySubtotal_TotalCost_ToComplete_val","NonRecurring_CategorySubtotal_TotalCost_Total_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearThree_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFour_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","NonRecurring_CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Name_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-7feb6e297d630d4cfe652487679c656bd8d41486","","","","0.748","","0.748","","","","","","","","","","","0.748","","0.748","","","","","","","","","","","","","","","","","","","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-e04f1cff9ef42eefb78c2c7560439848e8071c14","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-3-159043710eca0e3e758ccccb5295166aeb5cb4ff"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-adadc07ce9ac0fc5a58de32ca0d7fb7e18509da8","","","","1.66","","1.66","","","","","","","","","","","1.66","","1.66","","","","","","","","","","","","","","","","","","","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-9d82487558785c1c28dace6164ebb3b22827df23","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-4-4af1bd176c7e56295978637a376c50bd0ed20730"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-a6642b59255bdc11fed8ac4563599e782fdc6df1","238.878","12.348","14.429","16.516","8.46","24.976","","","","","","","","238.878","12.348","14.429","16.516","8.46","24.976","","","","","","","","","","","","","","","","","","","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-5b6c1e4aa9811d514edea601e45392c53e08ba14","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-5-bc4a2281e9bb7bfb029bce36da325b8f0f29e858"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-3fcb1bbe0be6f40ecd1ea60ec005013a663e1b43","83.238","","1.817","7.347","0.21","7.557","","","","","","","","83.238","","1.817","7.347","0.21","7.557","","","","","","","","","","","","","","","","","","","","","","","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-0-eedba80aed4c3bb1912c5bf65b3a9bd43d4d3c26","3cfb274a528da7cf2c10b96fbca9b28f9dc72629","root.record.ItemExhibitList.P5Item","3cfb274a528da7cf2c10b96fbca9b28f9dc72629-6-52a7202468b805caf9459963f5da629aba7d2169"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3d8deaca2c53feacc0f35b52b326ef8b6c6e4434-0-9717883b9a6ccfcba25d27ff309a4454defeee22","406.748","149.563","127.102","11.856","106.358","118.214","","","","","","","","406.748","149.563","127.102","11.856","106.358","118.214","","","","","","","","","","","","","","","","","","","","","","","3d8deaca2c53feacc0f35b52b326ef8b6c6e4434-0-7203b4ff0c26def4362eb25e15f67d11d1c3771b","3d8deaca2c53feacc0f35b52b326ef8b6c6e4434","root.record.ItemExhibitList.P5Item","3d8deaca2c53feacc0f35b52b326ef8b6c6e4434-0-435d7a258dfcd684bb9ca46acce67dbf52639188"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-0-d886b4d4e65fca9e8d4e6fbb7f94c3e5c39168ae","48.274","1.4","0","0","0","0","","","","","","","","48.274","1.4","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","(1R009) Navigation Sensor System Interface (NAVSSI) FMP","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-0-b731f558b1d482d529a43f241f01b02ca091b3c7","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5","root.record.ItemExhibitList.P5Item","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-0-9c9fa06f2032c025d362e697a5a2d852e3bf9dd1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-1-1ba0fb55473d0199dd094366f562592460acb610","15.992","2.923","0","0","0","0","","","","","","","","15.992","2.923","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","(1R011) Navigation Sensor System Interface (NAVSSI) Retrofit","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-1-f7ab3789a51135104854c54a38636541ec2a28ed","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5","root.record.ItemExhibitList.P5Item","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-0-9c9fa06f2032c025d362e697a5a2d852e3bf9dd1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-2-c07b9dd30993292031fcf631136e5a00bb793753","3.506","0","0","0","0","0","","","","","","","","3.506","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","(1R018) Defense Advance GPS Receiver (DAGR)","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-2-44efc171de15f68a398710ac5e72684f9fdbcd87","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5","root.record.ItemExhibitList.P5Item","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-0-9c9fa06f2032c025d362e697a5a2d852e3bf9dd1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-3-df754def5802dc8e92b55f62d2e8f3922f41ba23","0","0","0","3.432","0","3.432","","","","","","","","0","0","0","3.432","0","3.432","","","","","","","","","","","","","","","","","","","","","","(1R019) Global Positioning System (GPS) - based Positioning, Navigation & Timing Service (GPNTS)","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-3-51dddad6e82927bc6209fa921d752e039c2f3ee3","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5","root.record.ItemExhibitList.P5Item","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-0-9c9fa06f2032c025d362e697a5a2d852e3bf9dd1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-4-c8d0254b8c491d484873458157c22860fc84dcba","57.804","2.758","0","0","0","0","","","","","","","","57.804","2.758","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","(1R777) FMP Install - NAVSTAR GPS Ship","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-4-2fc8736cd79c265a59df70cf32e386fca0844f3e","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5","root.record.ItemExhibitList.P5Item","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-0-9c9fa06f2032c025d362e697a5a2d852e3bf9dd1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-5-1e6e1d1be6b4976216572abf5d2d61dd63ef3505","8.137","0.27","0","0.646","0","0.646","","","","","","","","8.137","0.27","0","0.646","0","0.646","","","","","","","","","","","","","","","","","","","","","","(1R777) FMP DSA - NAVSTAR GPS Ship","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-5-189dbd16d4e45cd714e8270c40275c5684f77e35","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5","root.record.ItemExhibitList.P5Item","3ecaabfb96e9c56c4d3a254fd9c257fb3ba923b5-0-9c9fa06f2032c025d362e697a5a2d852e3bf9dd1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3eef01eb026259e6487754f251f856e172b6ebaf-0-b5c3674c7c7d12a5262e08c0382a9dea84a94fbe","","19.571","","","","","","","","","","","","","19.571","","","","","","","","","","","","","","","","","","","","","","","","","","","3eef01eb026259e6487754f251f856e172b6ebaf-0-6a292bc9a6e226fb12fe7746de6def2546519789","3eef01eb026259e6487754f251f856e172b6ebaf","root.record.ItemExhibitList.P5Item","3eef01eb026259e6487754f251f856e172b6ebaf-0-74674ca019ab9a4d71c48faa639637f41540ae11"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3eef01eb026259e6487754f251f856e172b6ebaf-0-5ab9be26e8cbe77210ff413c8acf99bc3511502f","21.204","49.237","","","","","","","","","","","","21.204","49.237","","","","","","","","","","","","","","","","","","","","","","","","","","","3eef01eb026259e6487754f251f856e172b6ebaf-0-8ba3aa2f11b81b9c1f05f8f7c062e76f436b82db","3eef01eb026259e6487754f251f856e172b6ebaf","root.record.ItemExhibitList.P5Item","3eef01eb026259e6487754f251f856e172b6ebaf-1-65d85ab21312bb4b8e16227c69d83061714d0e8c"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3eef01eb026259e6487754f251f856e172b6ebaf-0-5622b49202dcf24413fc425357d564a15fa22c80","1.688","25.383","","","","","","","","","","","","1.688","25.383","","","","","","","","","","","","","","","","","","","","","","","","","","","3eef01eb026259e6487754f251f856e172b6ebaf-0-2cf91bfa3f8c98f8aa33eee1f9fcaf09568c7465","3eef01eb026259e6487754f251f856e172b6ebaf","root.record.ItemExhibitList.P5Item","3eef01eb026259e6487754f251f856e172b6ebaf-2-6893c0a87a97d860c211ee35bb8053f3dc54492b"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3eef01eb026259e6487754f251f856e172b6ebaf-0-9a9b43c1acb546ae47f21cf79a4d4e2eb63624a0","","","167.004","84.146","42.851","126.997","","","","","","","","","","167.004","84.146","42.851","126.997","","","","","","","","","","","","","","","","","","","","","","","3eef01eb026259e6487754f251f856e172b6ebaf-0-be2b5e3025d5b0b3866070f6d8a05c9df476cee0","3eef01eb026259e6487754f251f856e172b6ebaf","root.record.ItemExhibitList.P5Item","3eef01eb026259e6487754f251f856e172b6ebaf-3-c36e4b6b8f9179c9e400be165a23899ccd59b476"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3eef01eb026259e6487754f251f856e172b6ebaf-0-3c039913121eba9ef6ec7458e7efbc49466c5094","","","2.99","3.067","","3.067","","","","","","","","","","2.99","3.067","","3.067","","","","","","","","","","","","","","","","","","","","","","","3eef01eb026259e6487754f251f856e172b6ebaf-0-c1b4e6c5974e98889cd44435b815941d1659071e","3eef01eb026259e6487754f251f856e172b6ebaf","root.record.ItemExhibitList.P5Item","3eef01eb026259e6487754f251f856e172b6ebaf-4-59b4b55e553ad31b2627b6ffb354b140593e575a"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3f0b15546151585f0e9518fc5062aec1038297c7-0-8a72a1516fc258a13d11165404165973168b1374","","","8.01","7.97","","7.97","","","","","","","","","","8.01","7.97","","7.97","","","","","","","","","","","","","","","","","","","","","","","3f0b15546151585f0e9518fc5062aec1038297c7-0-a4e37b9aa53d5f984387e288783a11cfccdd438e","3f0b15546151585f0e9518fc5062aec1038297c7","root.record.ItemExhibitList.P5Item","3f0b15546151585f0e9518fc5062aec1038297c7-0-1882917dd01e4efcba7e7dcdce67cac08c2bf041"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-4032cefa9c530cccec219f5a216c554f78c281b5-0-869a4753f1bc95423f87bc1da488cc0f4394c175","506.375","97.806","97.968","131.946","","131.946","","","","","","","","506.375","97.806","97.968","131.946","","131.946","","","","","","","","","","","","","","","","","","","","","","","4032cefa9c530cccec219f5a216c554f78c281b5-0-566f6c81ed23a1ea278203525bcf0c31ec040345","4032cefa9c530cccec219f5a216c554f78c281b5","root.record.ItemExhibitList.P5Item","4032cefa9c530cccec219f5a216c554f78c281b5-1-2e5b43b4099c2212b217a9a4f7ebd35194115010"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-40356e20266816bcdba248bd8455026a00aadc58-0-c3d34f71c340490dc84ffd191934b0dde509fa98","568.514","34.071","27.156","","4.426","4.426","","","","","","","","568.514","34.071","27.156","","4.426","4.426","","","","","","","","","","","","","","","","","","","","","","","40356e20266816bcdba248bd8455026a00aadc58-0-b2811651bf6e5026e03bc66caf992064fce49118","40356e20266816bcdba248bd8455026a00aadc58","root.record.ItemExhibitList.P5Item","40356e20266816bcdba248bd8455026a00aadc58-0-2946930002c88baf2dad3a9bb8994e17798880dd"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-40478b8785101c230dc20660e5927caa3fc665ca-0-5ed1116a1ded7d52fb5d2f5d5602caceafc71777","2878.963","22.38","26.437","18.003","8.5","26.503","","","","","","","","2878.963","22.38","26.437","18.003","8.5","26.503","","","","","","","","","","","","","","","","","","","","","","","40478b8785101c230dc20660e5927caa3fc665ca-0-c606e8f3fa145379b68643d74ee0fde30167affe","40478b8785101c230dc20660e5927caa3fc665ca","root.record.ItemExhibitList.P5Item","40478b8785101c230dc20660e5927caa3fc665ca-0-3fdf74ac568a07fd2fe9d3a153ba2e125b6249c2"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-40917a9faafbced7e03b12add4a03fbc7d0c2f70-0-a9d99f17dd7be4ef87d70e25371e4e48c208aa1f","131.832","17.507","58.77","1.009","1.606","2.615","","","","","","","","131.832","17.507","58.77","1.009","1.606","2.615","","","","","","","","","","","","","","","","","","","","","","","40917a9faafbced7e03b12add4a03fbc7d0c2f70-0-c60f9fe3543a51906fc8d1664fa6bbb7ab101a56","40917a9faafbced7e03b12add4a03fbc7d0c2f70","root.record.ItemExhibitList.P5Item","40917a9faafbced7e03b12add4a03fbc7d0c2f70-0-091828acaec2a6718ac31b79a8dbb66d06468873"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-41e7224456c9807c22dc2fffaeae0a3294d94b73-0-174b1a292b653b334a007848c7a41428773d5e69","","","","0.992","","0.992","","","","","","","","","","","0.992","","0.992","","","","","","","","","","","","","","","","","","","","","","","41e7224456c9807c22dc2fffaeae0a3294d94b73-0-ce7d80621ccf6399e8c4d610f347d51ab333ad72","41e7224456c9807c22dc2fffaeae0a3294d94b73","root.record.ItemExhibitList.P5Item","41e7224456c9807c22dc2fffaeae0a3294d94b73-0-3752bbef6529c7d3615e46c4bf61e0105e4755d3"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-42d190620d15d0c0b4dcd22eb9710643108888bc-0-9332f13a329963797766f1150ba44a1254f05ac2","185.023","","","","","","","","","","","","","185.023","","","","","","","","","","","","","","","","","","","","","","","","","","","","42d190620d15d0c0b4dcd22eb9710643108888bc-0-6a00d57dfc3549cc3a7360991ecafcefcb55381d","42d190620d15d0c0b4dcd22eb9710643108888bc","root.record.ItemExhibitList.P5Item","42d190620d15d0c0b4dcd22eb9710643108888bc-3-9f75bad8231423d2c903a951b7a83172bea5655d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-438890286c4c2ffc1bfb138a2ef793df1396bab0-0-10998460767a338e11f862440781aaae228b7b2a","158.764","23.423","22.432","","","","","","","","","","","158.764","23.423","22.432","","","","","","","","","","","","","","","","","","","","","","","","","","438890286c4c2ffc1bfb138a2ef793df1396bab0-0-c325b315956452e782939c3a4fb2cf1b3f58eec5","438890286c4c2ffc1bfb138a2ef793df1396bab0","root.record.ItemExhibitList.P5Item","438890286c4c2ffc1bfb138a2ef793df1396bab0-0-2f7951489bb401b328d7cc27a7324050a8edf6b5"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-43d3554eb744da6b704f76d75f1225b38f0de759-0-c16417f44b9742a6bf52a3693a7599075fdd98fe","73.825","","1.298","1.557","","1.557","","","","","","","","73.825","","1.298","1.557","","1.557","","","","","","","","","","","","","","","","","","","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-b02f410f8baee534442e20cdfef2e8eab9462c30","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item","43d3554eb744da6b704f76d75f1225b38f0de759-2-1d51d73780af49b829ae07881c6a872e1923f246"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-45593f49d3ecd674955a0998b3c3c187c988deca-0-92ab68f9f74cf81a62cac9952fb079a419d744be","2323.704","238.081","286.974","55.388","","55.388","","","","","","","","2323.704","238.081","286.974","55.388","","55.388","","","","","","","","","","","","","","","","","","","","","","","45593f49d3ecd674955a0998b3c3c187c988deca-0-558a368c4845f34fa48edd3751f495fe874e36ca","45593f49d3ecd674955a0998b3c3c187c988deca","root.record.ItemExhibitList.P5Item","45593f49d3ecd674955a0998b3c3c187c988deca-0-d8e42723252d5015396006d924fd80038447b254"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-459238179ec8054a803209f0e0a13951c783dfa3-0-a7d2e5089a8ca6948cda916141a25e1e5c870c82","1089.327","76.55","","","","","","","","","","","","1089.327","76.55","","","","","","","","","","","","","","","","","","","","","","","","","","MISSILE","459238179ec8054a803209f0e0a13951c783dfa3-0-442be2a8bccd59d2d40aa60d8cd2d1c074398e2c","459238179ec8054a803209f0e0a13951c783dfa3","root.record.ItemExhibitList.P5Item","459238179ec8054a803209f0e0a13951c783dfa3-0-b73f23b03329b313bd9f2ee5ccefafd7048684d4"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-463b8976bcaa046a908cff1661b452169de197bd-0-b62975240142bdbe3767731a17f2d32419f5fb9f","45.649","","14.507","","","","","","","","","","","47.799","","14.507","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-463b8976bcaa046a908cff1661b452169de197bd-0-a1a093ef5bb1cba4ab63e1f9234900118e78899a","2.15","","","","","","","","","","","","","","463b8976bcaa046a908cff1661b452169de197bd-0-6809cf228439a58aa7161aefaa3bec22897c43b0","463b8976bcaa046a908cff1661b452169de197bd","root.record.ItemExhibitList.P5Item","463b8976bcaa046a908cff1661b452169de197bd-0-9e820ba49dbcff9aa68cf49db4bbbe6f28d28f79"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-472b349e6a288746ab56bd66aa445fa2d7a2d374-0-74ca45f20b9b8c49190988c4cade83fcb885ea74","2618.586","126.708","250.618","171.638","75.991","247.63","","","","","","","","2618.586","126.708","250.618","171.638","75.991","247.63","","","","","","","","","","","","","","","","","","","","","","","472b349e6a288746ab56bd66aa445fa2d7a2d374-0-b740d3415fb885402ce7f7029b553300fe4fbd8a","472b349e6a288746ab56bd66aa445fa2d7a2d374","root.record.ItemExhibitList.P5Item","472b349e6a288746ab56bd66aa445fa2d7a2d374-0-48fc947fc46a6ee822edb35b788fc438e8e131cd"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-47723ef1495bf1885cfb8c653805735687ef4aaf-0-454e99b8d28057cd37bc16c89472c7acfc8b3a0f","44.725","25.207","25.034","7.647","0","7.647","1.871","0","0","0","","","true","44.725","25.207","25.034","7.647","0","7.647","1.871","0","0","0","","","true","","","","","","","","","","","","","","","","47723ef1495bf1885cfb8c653805735687ef4aaf-0-d6c61150f6e8f47b87038d126321ced7f6ad7605","47723ef1495bf1885cfb8c653805735687ef4aaf","root.record.ItemExhibitList.P5Item","47723ef1495bf1885cfb8c653805735687ef4aaf-3-941542726c60b7caf904079469c62e9f1f952f0d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9-0-b1038ace0177c0bc4b350416006abdf4c739a71d","","","365.317","264.866","","264.866","","","","","","","","","","459.712","320.372","","320.372","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9-0-056b911b45fff07c18fbc9c2b5061bb92bbd1068","","","94.395","55.506","55.506","","","","","","","","","","48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9-0-b133a0a4c10dbcb42a706019bc100a15de9d0c19","48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9","root.record.ItemExhibitList.P5Item","48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9-0-79e54884d7574dc855bd634fb7847622ccc7ca50"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-499d0ae9fe18400a86a3c76a67170946c7deae52-0-f090b3d1f8cfc5bc9039d39b59dfb4b205d62d9a","131.4","205.601","30.587","57.493","","57.493","69.88","","","","494.961","","","131.4","205.601","30.587","57.493","","57.493","69.88","","","","","494.961","","","","","","","","","","","","","","","","","499d0ae9fe18400a86a3c76a67170946c7deae52-0-eecb716e4cdb4f27eba01496865f09a6bbd5207f","499d0ae9fe18400a86a3c76a67170946c7deae52","root.record.ItemExhibitList.P5Item","499d0ae9fe18400a86a3c76a67170946c7deae52-0-e47186cf2dbe11573266ee21a3c1a2c35423f2c5"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-4abe92f368e940041c3a3e16855696ab676ec640-0-4004de8402b869151d147869d4d96b9e8816ab49","1487.601","","2.96","","","","","","","","","","","1487.601","","2.96","","","","","","","","","","","","","","","","","","","","","","","","","","4abe92f368e940041c3a3e16855696ab676ec640-0-8639a18959e5f819d9b31a886dda2c2da9b44b6d","4abe92f368e940041c3a3e16855696ab676ec640","root.record.ItemExhibitList.P5Item","4abe92f368e940041c3a3e16855696ab676ec640-0-8e6a7dadc6fc0f4442dfc215ad4854674bb78380"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-4ba741f8c3701ee3467d43698a47f5db014ff514-0-2ebde8967f8967ee11673788e3bf459ee68dc9b2","","","9.199","10.796","","10.796","","","","","","","","","","9.199","10.796","","10.796","","","","","","","","","","","","","","","","","","","","","","","4ba741f8c3701ee3467d43698a47f5db014ff514-0-fad69444cb9b1e3d89883775f18f1ccf42504883","4ba741f8c3701ee3467d43698a47f5db014ff514","root.record.ItemExhibitList.P5Item","4ba741f8c3701ee3467d43698a47f5db014ff514-0-00b5e36e966df2680214d54ec00f34412b7b9ed5"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-4d3a942f5cf6e63a895642656b1be42c5fca999c-0-402ad0bbc17a01366c80989f5745981fffffd3da","613.097","6.193","5.291","0.607","","0.607","","","","","","","","613.097","6.193","5.291","0.607","","0.607","","","","","","","","","","","","","","","","","","","","","","","4d3a942f5cf6e63a895642656b1be42c5fca999c-0-c68cce1afa5bb46091771900cfca3b4f63df2e63","4d3a942f5cf6e63a895642656b1be42c5fca999c","root.record.ItemExhibitList.P5Item","4d3a942f5cf6e63a895642656b1be42c5fca999c-0-2a70b7b8134fe1aa1033e786d6f8eaf2aed83b56"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-4d3a942f5cf6e63a895642656b1be42c5fca999c-0-d812a55fefe4bbe94b33c4dd2de0a55e5c6c2eea","326.536","4.908","4.323","1.148","","1.148","","","","","","","","326.536","4.908","4.323","1.148","","1.148","","","","","","","","","","","","","","","","","","","","","","","4d3a942f5cf6e63a895642656b1be42c5fca999c-0-8f13e6c9197a33c0bdce03bfb1c5103e65211b6c","4d3a942f5cf6e63a895642656b1be42c5fca999c","root.record.ItemExhibitList.P5Item","4d3a942f5cf6e63a895642656b1be42c5fca999c-1-9b2f515959be25d78f482a361d9474cad4be8458"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-0-7c08be17b405949ab21cd08dcbe68a4c9acd7bf0","3246.311","68.175","141.583","142.205","","142.205","","","","","","","","3300.387","70.165","145.642","156.162","","156.162","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-0-5753dee3fb4bc9ade43a89840c18626cfa4666f3","54.076","1.99","4.059","13.957","13.957","","","","","","","","","","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-0-b1c690715ee45d4bd2875170e0ab22c79c27310c","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0","root.record.ItemExhibitList.P5Item","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-0-291f11fdab5419b3966d979835a49e1308bd97ba"
