"Name_val","Name_@footnote","Location_val","ContractDates_PriorYear_val","ContractDates_PriorYear_@footnote","ContractDates_CurrentYear_val","ContractDates_CurrentYear_@footnote","ContractDates_BudgetYearOne_val","ContractDates_BudgetYearOne_@footnote","ContractDates_BudgetYearTwo_val","ContractDates_BudgetYearThree_val","ContractDates_BudgetYearFour_val","ContractDates_BudgetYearFive_val","DeliveryDates_PriorYear_val","DeliveryDates_CurrentYear_val","DeliveryDates_BudgetYearOne_val","DeliveryDates_BudgetYearTwo_val","DeliveryDates_BudgetYearThree_val","DeliveryDates_BudgetYearFour_val","DeliveryDates_BudgetYearFive_val","AdminLeadTimeAfterOct1InMonths_val","ProductionLeadTimeAfterOct1InMonths_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Manufacturer Name Not Provided.","","Manufacturer Location Not Provided.","","","","","","","","","","","","","","","","","","","","6ef782f3fb5d304658b5af63ead6936a2029b365-0-cb9aacff0638cd3ce12c06ebd912bda4d98417ce","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-2eaee0f026c6a97d31dad37de4ff37ea5892a6d9"
"Manufacturer Name Not Provided.","","Manufacturer Location Not Provided.","","","","","","","","","","","","","","","","","","","","6ef782f3fb5d304658b5af63ead6936a2029b365-0-2d3c5832fc27a066fc3f91c64b629d91499938ff","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-b6068b2597e7e8234e0aab6aa6c8ff76b90b7e58"
"CBR+  (ECP 904 Part 1)","","N/A","2011-12","","2012-12","","2013-12","","2014-12","","","","2014-05","2015-05","2016-05","2017-05","","","","3","29","6ef782f3fb5d304658b5af63ead6936a2029b365-0-129d0fb1a3c5ae83dc27b0136cc6e27b7c9da710","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"CBR+  (ECP 904 Part 2)","","N/A","2011-12","","2012-12","","2013-12","","2014-12","","","","2014-05","2015-05","2016-05","2017-05","","","","3","29","6ef782f3fb5d304658b5af63ead6936a2029b365-1-c0464ca695c72b0c7156c13d534b9384a6c74893","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX01  F/A-18A-D BULKHEAD-FWD FUS, ACFT, Y260.677","","N/A","","","","","2014-03","","2015-03","2016-03","2017-03","2018-03","","","2014-10","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-2-ef2098211d6e15b04686a19abfbf24d0b9bcd857","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX02 F/A-18A-D SUPPORT-WEB, X7.0, CANTED Y260.677 - Y286.5, Z111.65","","N/A","","","","","2014-03","","2015-03","2016-03","2017-03","2018-03","","","2014-10","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-3-4525419aa095b22751ee504a9f49845e649fa4e3","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX03 F/A-18A-D BULKHEAD, FUSELAGE-CENTER SECTION, Y419.00","","N/A","","","","","2014-03","","2015-03","2016-03","2017-03","2018-03","","","2014-10","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-4-d61ef43e366678b4de82a172c49d09137ba98115","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"EECP XX04 F/A-18A-D FORMER-FUSELAGE,CTR SECTION, Y442.00","","N/A","","","","","","","2015-03","2016-03","2017-03","2018-03","","","","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-5-cab12e71a14fa5bc6e5e3a290ac4f5c7227c5bdd","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX05 F/A-18A-D LONGERON-UPPER, LEX, Y395.00 TO Y437.00","","N/A","","","","","","","2015-03","2016-03","2017-03","2018-03","","","","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-6-9c61ae9b79717959e578a23d969e948bc57024b4","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX06 F/A-18A-D FORMER-DUCT, ENG AIR INLET, Y431.00","","N/A","","","","","","","","2016-03","2017-03","2018-03","","","","","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-7-e7f4ed78919f13f54a1c6b8ed40400eddd436206","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX07 F/A-18A-D TIP, LEADING EDGE EXTENSION-Y395-Y442.394, ASSY OF","","New MFG - Loc","","","","","","","","2016-03","2017-03","2018-03","","","","","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-8-73f3354303464e62bfc993b2160a70e2df47087e","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX08 F/A-18A-D SUPPORT, STRUCTURAL COMPONENT, AIRCRAFT-OUTBD PYLON","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","","2018-03","","","2014-10","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-9-460959625b830102d2034580b2f784d995f076f8","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX09 F/A-18A-D RIB-INBD, ACTR BACKUP, WING, INNER XW91.360","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","","2018-03","","","2014-10","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-10-bc6493f5c565c9166176702373dbe3b85879902f","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX10 F/A-18A-D RIB-AFT,WING,INNER,XW91.920","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","","2018-03","","","2014-10","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-11-f6d21be94a75f93d8e42c8b5cb3e4bb79995c72e","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX11 F/A-18A-D RIB-INBD, ACTR BACKUP, WING, INNER, XW85.220","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","","2018-03","","","2014-10","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-12-8a94e8c3c7602c729a24d45fa68662d5e45e4180","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX12 F/A-18A-D RIB-AFT, WING, INNER, XW118.780","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","","2018-03","","","2014-10","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-13-bc22be2086e3cce30ddd3abc1da89bab55f9fbbb","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX13 F/A-18A-D FITTING-SPLICE, AFT, SPAR NO 1","","New MFG - Loc","","","","","","","2015-03","2016-03","2017-03","2018-03","","","","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-14-c2ccd14f05cd2fe69b39637bf2bf60e3ebefca06","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX14 F/A-18A-D RIB-AFT, WING, INNER, XW84.720","","New MFG - Loc","","","","","","","2015-03","2016-03","","2018-03","","","","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-15-24b7b3d9298c879ebee35a610e9922b222e29d83","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX15 F/A-18A-D RIB-OUTBD, ACTR BACKUP, WING, INNER, XW85.220","","New MFG - Loc","","","","","","","2015-03","2016-03","","2018-03","","","","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-16-4a43d16d0affdc9adf557303a1dff5536c9d781b","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX16 F/A-18A-D RIB-OUTBD, ACTR BACKUP, WING, INNER, XW91.360","","New MFG - Loc","","","","","","","2015-03","2016-03","","2018-03","","","","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-17-31a31a27b210ef0ea82c7854482c6d1ea9361d72","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX17 F/A-18A-D SPLICE PLATE-INBD, UPR, INNER WING, XW88.121","","New MFG - Loc","","","","","","","2015-03","2016-03","","2018-03","","","","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-18-e738564202ef8fdee075e0579c93c966f0f038d6","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX18 F/A-18A-D SPLICE PLATE-INBD, LOWER, INNER WING, XW88.121","","New MFG - Loc","","","","","","","2015-03","2016-03","","2018-03","","","","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-19-9608fcb3854dd29cd478c97d7d99201a71a4312f","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX19 F/A-18A-D SPLICE PLATE-OUTBD, UPR, INNER WING, XW134.464","","New MFG - Loc","","","","","","","","2016-03","","2018-03","","","","","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-20-24d6369155483b81198d0897d11a59bf47e3613f","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX20 F/A-18A-D WEB-INTERCOSTAL, WING, INNER, Y470.500","","New MFG - Loc","","","","","","","","2016-03","","2018-03","","","","","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-21-d34f0e053c590a57631d8a2567d19843e66df716","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX21  F/A-18A-D WEB-INTERCOSTAL, WING, INNER, Y488.00","","New MFG - Loc","","","","","","","","2016-03","","2018-03","","","","","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-22-0d61c426c9b4c86cb6998336c0b7e48c6fa91900","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX22 F/A-18A-D SPLICE PLATE-OUTBD, LWR, INNER WING, XW134.464","","New MFG - Loc","","","","","","","","2016-03","","2018-03","","","","","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-23-6a93160a07093747c8b6077654c3d6680a0fe81a","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX59 F/A-18A-D FITTING-SPLICE, FWD, SPAR NO 1","","New MFG - Loc","","","","","","","","2016-03","2017-03","2018-03","","","","","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-24-8d96fb2a9d3193d0b1c94255a06632858959f01a","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX23 F/A-18A-D RIB, WING, OUTER-CANTED XW179.700","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","","2018-03","","","2014-10","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-25-f641c85c411120f351f686f1b2439807ee47a575","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX24 F/A-18A-D SPAR, WING, OUTER-INTERMEDIATE NO. 1","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","","2018-03","","","2014-10","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-26-341775b0881b84bfb072c1551e85addad1f64959","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX25 F/A-18A-D SPAR, WING, OUTER-INTMD, NO. 2","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","","2018-03","","","2014-10","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-27-9dee018b3e6af45a960702a3b3bf9dac82091f0a","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX26 F/A-18A-D SPAR, WING, OUTER-53.8%","","New MFG - Loc","","","","","","","2015-03","2016-03","","2018-03","","","","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-28-b701bd06e1013df47e4e7dbf51e5bfc94680b1f7","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX27 F/A-18A-D RIB,WING,OUTER-TRAILING EDGE,CXW181.25","","New MFG - Loc","","","","","","","2015-03","2016-03","","2018-03","","","","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-29-00823430ee166dafc96632f83787636ba3531613","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX28 F/A-18A-D CLOSURE-AFT, MISSILE SUPPORT RIB","","New MFG - Loc","","","","","","","","2016-03","2017-03","2018-03","","","","","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-30-1d0d7c75fa11339432caec71551d8eee5af5748c","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX29 F/A-18A-D SPAR ASSY-WING, OUTER 68 %","","New MFG - Loc","","","","","","","","2016-03","","2018-03","","","","","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-31-6e219b265f6e42b0f4cdec158b35e98e2be594d8","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX30 F/A-18A-D BULKHEAD,FUSELAGE-CTR SECTION,Y453.00","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","2017-03","2018-03","","","2014-10","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-32-ac8c459e42dc2e84b042862ab7ce1ab4987e6252","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX31  F/A-18A-D ADAPTER - MISSILE LAUNCHER, Y488 - Y497","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","2017-03","2018-03","","","2014-10","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-33-545a529d68892069ecfdb740619d064730a94499","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX32 F/A-18A-D LONGERON-FUS CTR SECT, SIDE, Y453.02-Y542.60","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","2017-03","2018-03","","","2014-10","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-34-4e8ec3011e5b9816d3754888c6ccc1125a052dd3","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX33 F/A-18A-D LONGERON-LOWER INBD Y488.00 TO Y557.50","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","2017-03","2018-03","","","2014-10","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-35-200d2b299b08c96b88399f83a04cb240b81b0cfa","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX34 F/A-18A-D PLATE, STRUCTURAL, AIRCRAFT-FUS CTR SECT, LWR, Y488.00","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","2017-03","2018-03","","","2014-10","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-36-3db8b3f7c4aca4e9b9329faa3fc72b89bd261bcb","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX35 F/A-18A-D PLATE, STRUCTURAL, AIRCRAFT-FUS CTR SECT, Y544.00","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","2017-03","2018-03","","","2014-10","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-37-0a89e86a739a7a01e7159e2f9474c9587112dee5","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX36 F/A-18A-D CAP SEGMENT, BULKHEAD-FUS CTR SECT, LWR, Y557.50","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","2017-03","2018-03","","","2014-10","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-38-e146d8e04821da4ac083356922168e8e6ac68dff","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX37 F/A-18A-D FORMER SEGMENT-FUS CTR SECT, UPPER, Y497.00","","New MFG - Loc","","","","","2014-03","","2015-03","2016-03","2017-03","2018-03","","","2014-10","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-39-39bd994ff221e177079ede8f0ae2f8823de40abf","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX38 F/A-18A-D FORMER-FUS CTR SECT, UPPER,Y508.00","","New MFG - Loc","","","","","","","2015-03","2016-03","2017-03","2018-03","","","","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-40-0518d87b87bdefe137787fa5f65038b223c510f8","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX39 F/A-18A-D FORMER-UPPER SEGMENT Y518.00","","New MFG - Loc","","","","","","","2015-03","2016-03","2017-03","2018-03","","","","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-41-41b4df6dd7ee773bd4a78641be00d54ed2db646e","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX40 F/A-18A-D FORMER,FUSELAGE UPPER,CENTER SECTION Y534.00","","New MFG - Loc","","","","","","","2015-03","2016-03","2017-03","2018-03","","","","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-42-012022bb04ae1e90ffec0e516ae7c9289271fd95","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX41  F/A-18A-D SUPPORT, FLOOR-FUS CTR SECTION, Y544.00","","New MFG - Loc","","","","","","","2015-03","2016-03","2017-03","2018-03","","","","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-43-bfc166b95e1fdacd360032760822afe7e24a159b","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX42 F/A-18A-D FORMER- FUS CTR SECT, UPPER, Y462.250","","New MFG - Loc","","","","","","","2015-03","2016-03","2017-03","2018-03","","","","2015-10","2016-10","2017-10","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-44-58f5c503665591024b477196e8cf8f69f53cf036","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
"ECP XX43 F/A-18A-D SUPPORT, FLOOR-FUEL BAY, Y478.50","","New MFG - Loc","","","","","","","2015-03","2016-03","","2018-03","","","","2015-10","2016-10","","2018-10","6","7","6ef782f3fb5d304658b5af63ead6936a2029b365-45-e4e8f0e724ec757ec391c01cda4b5184a2a35986","6ef782f3fb5d304658b5af63ead6936a2029b365","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6ef782f3fb5d304658b5af63ead6936a2029b365-0-dccf23edb1d5b0d2725506f9419dcf5b71023409"
