"Name_@footnote","Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearFive_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_PriorYear_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_UnitCost_Total_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","ManufacturerList_Manufacturer","AllPriorYearsDeliveries_val","IdCode_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"The Non-Recurring Engineering line pays for one time efforts to ensure production line continuity.  In FY16 the program has been notified that there will be shortages of the control actuator system components, circuit cards, and the materials for the rocket motor.  This NRE engineering cost addresses these shortfalls without impact to the overall program.","3.1.3) Nonrecurring Engineering - Block II","24.9","","1.268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c98d59c0701902dcd423cbadd821f8e3f3c1e083-2-d0b34c1ab1096ad2eeb94f3777f5d2800f279a60","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","c98d59c0701902dcd423cbadd821f8e3f3c1e083-2-941647eec39a5d4b249b3c887ab0dd92b9d40e0b"
"Non-recurring Costs include such items as DoN share of Production Non-Recurring Tooling per the Joint Strike Fighter (JSF) Production, Sustainment, and Follow-on-Development Memorandum of Understanding (MOU) between the U.S. and eight partner nations cooperating in the production, sustainment and follow-on development of the JSF.  In addition, it includes funding for Diminishing Manufacturing Sources (Life-of-type part buys),concurrency engineering, technical assistance and Cost Reduction Initiatives (CRI). FY17 non-recurring funds will be used to procure tooling and requirements unique to the F-35C in support of ramp up to full rate production.","1.2.1) Non- Recur Cost","2313.789","112.283","58.245","172.351","172.351","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cc98329984138360a3338947d846c280bd314fd6-0-c8ba14ebc4a77189d99cb47c4e50457bdaf2d5eb","cc98329984138360a3338947d846c280bd314fd6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","cc98329984138360a3338947d846c280bd314fd6-0-5cdd5c1a90b5c53e1b96aa4ef7e002d79d51262e"
"Year to year changes in Ancillary Equipment costs due to changes in Aircraft Quantity. Equipment includes Gen III Helmet Mounted Displays, launchers, and Pilot Flight Equipment.","1.2.2) Ancillary Equip","288.08","26.049","31.78","21.324","21.324","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cc98329984138360a3338947d846c280bd314fd6-1-74d73ccf1367066d1bf7118671add53528613007","cc98329984138360a3338947d846c280bd314fd6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","cc98329984138360a3338947d846c280bd314fd6-0-5cdd5c1a90b5c53e1b96aa4ef7e002d79d51262e"
"","1.2.1) Advance Procurement Prior Years (FY2001-2010)","118.858","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d1c8ee2320d77ec6e13fd4f63c1cc8f24a00fbec-0-5045a282cbb05eb2efea1dc5cb066a81709cf8af","d1c8ee2320d77ec6e13fd4f63c1cc8f24a00fbec","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d1c8ee2320d77ec6e13fd4f63c1cc8f24a00fbec-0-a681dc2ced265d35be0a513b748cb8f0e564838a"
"","1.2.2) Satellite Procurement (MUOS)","902.39","","","","","","","","","","","","","","","","3","","","","","","","","","","","","300796.667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d1c8ee2320d77ec6e13fd4f63c1cc8f24a00fbec-1-96595bdcd19a2b19c772859dd0ea151044270852","d1c8ee2320d77ec6e13fd4f63c1cc8f24a00fbec","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d1c8ee2320d77ec6e13fd4f63c1cc8f24a00fbec-0-a681dc2ced265d35be0a513b748cb8f0e564838a"
"","System Integrator Fielding/Training","1490","60.528","66.024","89.753","89.753","","","","","","","","","","","","1","","","","","","","","","","","","1490000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-d292bad6835cd892ce252340bffac4943124b668-0-033ff42ae6fda6fe04199b2ac37a8fc6c4d89af4","1","","","d292bad6835cd892ce252340bffac4943124b668-0-49db6c7537aea8ea26cf57dd4d918b1cd8f48ddd","d292bad6835cd892ce252340bffac4943124b668","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d292bad6835cd892ce252340bffac4943124b668-0-d4eaa795042f01d32786a4895be742bb5ead63d2"
"","Software Licenses","","21.696","29.401","37.215","37.215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d292bad6835cd892ce252340bffac4943124b668-1-98433df77db47b08419dc4a39151d4fc53950bf2","d292bad6835cd892ce252340bffac4943124b668","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d292bad6835cd892ce252340bffac4943124b668-0-d4eaa795042f01d32786a4895be742bb5ead63d2"
"","ERP Deployment Support","","20.777","28.156","15.96","15.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d292bad6835cd892ce252340bffac4943124b668-2-e94f1fc510100b68e8cd8e8028bd7c2a0ec41d68","d292bad6835cd892ce252340bffac4943124b668","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d292bad6835cd892ce252340bffac4943124b668-0-d4eaa795042f01d32786a4895be742bb5ead63d2"
"","Matrix and Other Support","","14.523","19.681","10.037","10.037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d292bad6835cd892ce252340bffac4943124b668-3-384009ccd13860f1550acb6a20259f09e6d1030e","d292bad6835cd892ce252340bffac4943124b668","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d292bad6835cd892ce252340bffac4943124b668-0-d4eaa795042f01d32786a4895be742bb5ead63d2"
"","Congressional Recission - FY 2015","","5.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dbd521487960fa364c42449f9713ef021ee004dd-0-6f27ab2d64d80a4e4ddcff7cfa9c9a5783afff45","dbd521487960fa364c42449f9713ef021ee004dd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","dbd521487960fa364c42449f9713ef021ee004dd-0-a3edaf582dc5f0b4f9ab22e56ba9836c885e1b39"
"","Congressional Recission","","14.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dbd521487960fa364c42449f9713ef021ee004dd-0-c37e49e26bc6f269ba0c89e70eee7ea10f754204","dbd521487960fa364c42449f9713ef021ee004dd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","dbd521487960fa364c42449f9713ef021ee004dd-0-591d38bcb373f2141d73904677f193729bf3a70d"
"","1.1.1) European Reassurance Initiative.","0","0.4","0","0","0","","","","","","0","","","","","5","","","","","","","","","","","","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-e05569c60e02c1ebdf8f23c3474ef65fef324184-0-92db91ab711ee56ccc7519310af6f70cd4500776","","","","e05569c60e02c1ebdf8f23c3474ef65fef324184-0-8b3a94fe1375a26ce031a09127fcc1b1eb7f893b","e05569c60e02c1ebdf8f23c3474ef65fef324184","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","e05569c60e02c1ebdf8f23c3474ef65fef324184-0-9d6de3879f19e73fbdf45221ee56d5b12086444b"
"RQ-21 utilizes an Interim Contractor Support (ICS) strategy to sustain RQ-21A systems prior to Material Support Date (MSD) in accordance with Financial Management Regulations.  ICS is funded within procurement appropriation prior to MSD. ICS includes logistics support for existing and newly procured RQ-21A systems and funds prime contractor logistics support, field service representatives, repair of repairables,and mobile training teams.  ICS transitions to organic support in FY18 after which logistics support for fielded systems will be funded with Operations and Maintenance, Navy (O&M,N) funding.","1.2.1) ICS","","7.548","14.986","0","18.117","","","","","","18.117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e1b85735f5825b190520c5f7b54bbcf3817e9906-0-b9719990dc2dcf8cb86e5011b3e338b86c32021f","e1b85735f5825b190520c5f7b54bbcf3817e9906","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","e1b85735f5825b190520c5f7b54bbcf3817e9906-0-9378fc6195b728e10537fb8c814fe6e37893ba2e"
"Ship Installation includes the procurement of infrastructure hardware, equipment, and labor costs associated with actual amphibious ship class installations in support of the RQ-21A program.  Ship hardware includes directional and omni-directional antennas and amplifiers, antenna interface modules (AIMs), monitors, cross domain solution (TIPs), power distribution panels, associated cables, fiber optics lines, operational system racks and cabinets and connectors.  Labor associated with ship installation includes the contracted Alteration Installation Team (AIT) conducting the installation and Original Equipment Manufacturer(OEM) post installation system integration test support.  The program intends to complete one ship install in FY16, planned for the Afloat Forward Staging Base (AFSB) Mobile Landing Platform (MLP) - 3.  In FY18, the program plans to conduct one ship install onboard the AFSB MLP-4. FY16 includes non-recurring engineering (NRE) including the planning yard ship check and ship installation drawings (SIDs) delivery.  This NRE is not required for further ship installations onboard AFSB MLP class ships.","1.2.2) Ship Installation","","","3.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e1b85735f5825b190520c5f7b54bbcf3817e9906-1-90dc5c0f4714a673176c3794803cda9973949739","e1b85735f5825b190520c5f7b54bbcf3817e9906","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","e1b85735f5825b190520c5f7b54bbcf3817e9906-0-9378fc6195b728e10537fb8c814fe6e37893ba2e"
"","LVC-IA Version Upgrade/ Tech Refresh","","1.2","0.8","2","2","","","","","","","","","5","5","3","","2","","","","","","","","400","400","400","","400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-5e72f21a8d703edd68a2002e0d0bbebddaa244b5","","","","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-de9df668da8859b493730a0f96f223c81b5c99d2","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-18aaa42281fb8c84e8dddd91bf5dd27c15f3f37c"
"","Long Lead Materials","","","12.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ed505c8cfbfcc4426e7399d8e2921377e141a556-0-9fe7aba76d3a72a2067d316110cc50e3c2a466e8","ed505c8cfbfcc4426e7399d8e2921377e141a556","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","ed505c8cfbfcc4426e7399d8e2921377e141a556-0-d3df14df9aad300721d2e09251788af286a39d27"
"","Initial Production Facilities","","","7.997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ed505c8cfbfcc4426e7399d8e2921377e141a556-1-3a45f7cfcf2925f76c2c82c013650a618cef41b1","ed505c8cfbfcc4426e7399d8e2921377e141a556","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","ed505c8cfbfcc4426e7399d8e2921377e141a556-0-d3df14df9aad300721d2e09251788af286a39d27"
"","1.2.1) LDU Refurbishment","","","1.127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f59a87ac4feea8ce7c78fc6c6d812277d74b013c-0-aeef921a439c9b6ee1e0f785b440140f5eea9dc8","f59a87ac4feea8ce7c78fc6c6d812277d74b013c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f59a87ac4feea8ce7c78fc6c6d812277d74b013c-0-eb83f26001553152f4f32a8c78c37e1d70ff8f10"
"Non-recurring efforts include Diminishing Manufacturing Sources and Material Shortages (DMSMS), evaluation and studies on system obsolescence and replacement, and Engineering Change Proposals focused on performance and supportability requirements identified during fielding and deployments.","1.2.1) Non-Recur Cost","8.522","","2.686","1.967","1.967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","faf93c1096b27b7d1d341a410a08f0bb98a6b4a3-0-d523d805c89e35475dd1318f55c740e0a623d635","faf93c1096b27b7d1d341a410a08f0bb98a6b4a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","faf93c1096b27b7d1d341a410a08f0bb98a6b4a3-0-092de18aed0a892f73efa25691a0b1f2855836fd"
"","1.2.2) Ancillary Equipment","56.719","8.583","10.013","9.535","9.535","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","faf93c1096b27b7d1d341a410a08f0bb98a6b4a3-1-bd35255dce76d2ce334de39a6d1fbb4986627a2f","faf93c1096b27b7d1d341a410a08f0bb98a6b4a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","faf93c1096b27b7d1d341a410a08f0bb98a6b4a3-0-092de18aed0a892f73efa25691a0b1f2855836fd"
"","1.2.1) Non-Recur Cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.067","","","3.172","","","2.51","","","0.913","","","0.546","1.459","","","","","","","","","","","","","","","","","","","","","","","","","7732b24af928e116e0c20e0339dd0a3e0e3daf24-0-ea5bf48e540aab2787cd7b242ef8d01a777c49c3","7732b24af928e116e0c20e0339dd0a3e0e3daf24","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7732b24af928e116e0c20e0339dd0a3e0e3daf24-0-e63e72f63fdfbaefafa45618c04799558c0b8984"
"","1.2.2) Ancillary Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.662","","","29.476","","","32.413","","","21.474","","","","21.474","","","","","","","","","","","","","","","","","","","","","","","","","7732b24af928e116e0c20e0339dd0a3e0e3daf24-1-7de2af0b027f6bd2b02014af42eb93cb70c31ec0","7732b24af928e116e0c20e0339dd0a3e0e3daf24","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","7732b24af928e116e0c20e0339dd0a3e0e3daf24-0-e63e72f63fdfbaefafa45618c04799558c0b8984"
"","1.2.1) Non-Recur Cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121.881","","","3.818","","","3.741","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c3e624695e8e65af050e81f6b624291dd9caca38-0-fd4cf25c89e2c2abe7d451bca22fba1aeeed7d12","c3e624695e8e65af050e81f6b624291dd9caca38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","c3e624695e8e65af050e81f6b624291dd9caca38-0-07511b6a4b1ac8ca831725e8be0cda39cf82b47b"
"All Ancillary crew-served weapons previously harvested from UH-1Ns at no-cost must be procured new, at cost, for all future lots beginning in FY 2014 Lot 11 due to unavailability of legacy aircraft.  Budgeted values for lots procured through FY 2013 reflect a cost avoidance from harvested components.","1.2.2) Ancillary Equip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.748","","","1.638","","","3.351","","","4.277","","","","4.277","","","","","","","","","","","","","","","","","","","","","","","","","c3e624695e8e65af050e81f6b624291dd9caca38-1-c81702e13674b128781b0a919f02a9c99f3e1bed","c3e624695e8e65af050e81f6b624291dd9caca38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","c3e624695e8e65af050e81f6b624291dd9caca38-0-07511b6a4b1ac8ca831725e8be0cda39cf82b47b"
"","1.2.1) Non-Recur Cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120.431","","","3.293","","","8.307","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c3e624695e8e65af050e81f6b624291dd9caca38-0-822543b5e2ece9cfc175b0d5225b5a1d83fbfddc","c3e624695e8e65af050e81f6b624291dd9caca38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","c3e624695e8e65af050e81f6b624291dd9caca38-0-d61e847b238c1f37b549e240e3b5cb4a3e080afb"
"","1.2.2) Ancillary Equip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147.338","","","37.604","","","51.835","","","39.358","","","3.932","43.29","","","","","","","","","","","","","","","","","","","","","","","","","c3e624695e8e65af050e81f6b624291dd9caca38-1-6bc520c8f56376e0f7ceb41687571fe84821f3c5","c3e624695e8e65af050e81f6b624291dd9caca38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","c3e624695e8e65af050e81f6b624291dd9caca38-0-d61e847b238c1f37b549e240e3b5cb4a3e080afb"
"","Training Aids","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","1.656","","","","1.656","","","","","","","","","","","","","","","","","","","","","","","","","2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74-0-38ef42e5619a7551ade5261837a0c6c942a00844","2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","2deb9f30a4b2fb2f707f9a97e4545af4d42a0f74-0-b9650f95db0df10ff700b18aeacf9f43d7f9a03b"
"","2.1.1) SPECIAL TOOLING AND TEST EQUIPMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.938","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","301cf823497c2aac1bb87d7db94a71db00c4869f-0-f51788c2dc3cb08cb992d33734ade1bc3defdc4b","301cf823497c2aac1bb87d7db94a71db00c4869f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","301cf823497c2aac1bb87d7db94a71db00c4869f-1-0a40b8d851529aefeb97b7d19ccf1e5edfbe72f7"
"Containers are required to maintain pace with quantities, ensure the updated in-container reprogramming capability continues and replace outdated/damaged containers.","2.1.2) CONTAINERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.73","","","","","","","","","1.5","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","301cf823497c2aac1bb87d7db94a71db00c4869f-1-25bc6ccb494a4e16233c005f77e8e525c4946b48","301cf823497c2aac1bb87d7db94a71db00c4869f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","301cf823497c2aac1bb87d7db94a71db00c4869f-1-0a40b8d851529aefeb97b7d19ccf1e5edfbe72f7"
"Above funds changes/modifications driven from SDD. Non-recurring Costs include such items as DoN share of Production Non-Recurring Tooling per the Joint Strike Fighter (JSF) Production, Sustainment, and Follow-on-Development Memorandum of Understanding (MOU) between the U.S. and eight partner nations cooperating in the production, sustainment and follow-on development of the JSF.  In addition, it includes funding for Diminishing Manufacturing, concurrency engineering, and Cost Reduction Intiatives (CRI).","1.2.1) Non- Recur Cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028.022","","","189.561","","","197.93","","","171.397","","","","171.397","","","","","","","","","","","","","","","","","","","","","","","","","43ebc1a60edfb8fd0559e040bf9b1ce80fa7fb6a-0-b76c76da23fb90523280355a718957ae72b88eca","43ebc1a60edfb8fd0559e040bf9b1ce80fa7fb6a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","43ebc1a60edfb8fd0559e040bf9b1ce80fa7fb6a-0-207a17c2ddc229af26e15ca7a47e5acee8de5632"
"","1.2.2) Ancillary Equip","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","204.099","","","41.324","","","29.153","","","24.429","","","","24.429","","","","","","","","","","","","","","","","","","","","","","","","","43ebc1a60edfb8fd0559e040bf9b1ce80fa7fb6a-1-5b2d8ee09391adf99276e90a8b487ab284ec4ea0","43ebc1a60edfb8fd0559e040bf9b1ce80fa7fb6a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","43ebc1a60edfb8fd0559e040bf9b1ce80fa7fb6a-0-207a17c2ddc229af26e15ca7a47e5acee8de5632"
"","Special Test/Special Tooling Equipment - Block I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.606","","","","","","","","","","","","","","","","0.000","","","10.606","","","","","","","","","","","","","","","","","A","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-2ecaf018daf37e0f190bb12786b818eabf75a0dd","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-e21686a9c5f8cacaf786173a31c9f882a6d17b21"
"","Missile Containers - Block I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.666","","","","","","","","","","","","","","","","0.000","","","5.666","","","","","","","","","","","","","","","","","A","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-1-cb338179a338746a654a59df15ffeb1a68140bbd","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-e21686a9c5f8cacaf786173a31c9f882a6d17b21"
"","Non-Recurring Eng - Block I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.771","","","","","","","","","","","","","","","","0.000","","","21.771","","","","","","","","","","","","","","","","","A","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-2-1b2a151cc02e7226da9d82e86c4ab00ac8d9a26b","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-e21686a9c5f8cacaf786173a31c9f882a6d17b21"
"","Special Test/Special Tooling Equipment - Block II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.096","","","3.046","","","0.405","","","0.302","","","","0.302","","","4.296","","","12.373","","","0.304","","","0.306","","","0.308","","","0.31","","","","","B","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-3-448ef23db2bc6f67d95f564e08327d27e7f409ce","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-e21686a9c5f8cacaf786173a31c9f882a6d17b21"
"","Missile Containers - Block II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.506","","","0.59","0.016","36","0.678","0.015","46","1.053","0.017","62","","1.053","0.017","62","10.048","0.000","0","17.508","0.043","405","1.159","0.017","67","1.197","0.018","68","1.237","0.018","69","1.04","0.018","57","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-470e0018bc62797cd9610c7480dfcaf1b47ca02b-4-2585e4d5beb2196bcf45e97d7adc8a9e16670407","","B","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-4-ae04008aab8a73a85071bb76cc940d760ec87f92","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-e21686a9c5f8cacaf786173a31c9f882a6d17b21"
"The Non-Recurring Engineering reflects incorporating form-fit-function replacement materials into the missile, and includes obsolescence and loss of manufacturing sources for custom circuit cards related to the Inertial Measurement Unit, Control Actuator System, the missile Guidence Unit.","Non-Recurring Engineering - Block II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.63","","","16.89","","","0.98","","","3.93","","","","3.93","","","27.776","","","89.322","","","11.319","","","0.000","","","1.924","","","5.873","","","","","B","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-5-2c6b685c3542eceff55f4524fddf3e20a04add90","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-e21686a9c5f8cacaf786173a31c9f882a6d17b21"
