"FiscalYear_@footnote","FiscalYear_val","PCOLocation_val","AwardDate_@footnote","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RFPIssueDate_val","ContractMethod_val","ContractType_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_@footnote","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val","MonthlyDeliveryScheduleTotal_ProcQuantity_val","MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"GPS IIF Units 4-6","1998","SMC/GP","","2003-10","2011-08","3","114.200","true","1995-02","SS","FFP","Air Force","Reference footnote (5)","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-cbdcc8dd419559e1049a9591d965e2955f2f55da-1-6c670cafa8c6264d9d64cd8292c52f7358288c5a","0","","","cbdcc8dd419559e1049a9591d965e2955f2f55da-1-7190e04f6af3015140042034cf0c7a0a1332456b","cbdcc8dd419559e1049a9591d965e2955f2f55da","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","cbdcc8dd419559e1049a9591d965e2955f2f55da-2-c9cc68fb6b82af50d4463433e5c7e054030efc0b"
"GPS IIF Units 7-9","2005","SMC/GP","","2004-10","2012-08","3","114.200","true","1995-02","SS","FFP","Air Force","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-cbdcc8dd419559e1049a9591d965e2955f2f55da-2-7927cc79bd390256b4608717d393cbbe21a402cd","0","","","cbdcc8dd419559e1049a9591d965e2955f2f55da-2-265aefe1ed1c3ea74c0b13dd42e53a14ec48797e","cbdcc8dd419559e1049a9591d965e2955f2f55da","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","cbdcc8dd419559e1049a9591d965e2955f2f55da-2-c9cc68fb6b82af50d4463433e5c7e054030efc0b"
"GPS IIF Units 10-12","2006","SMC/GP","","2005-10","2013-04","3","114.200","true","1995-02","SS","FFP","Air Force","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-cbdcc8dd419559e1049a9591d965e2955f2f55da-3-5ad9c2ed85a70c9fc2b7979e84f5242d046d19bf","0","","","cbdcc8dd419559e1049a9591d965e2955f2f55da-3-482a784751e7b01aee3e1fe4ee8e420705825cb1","cbdcc8dd419559e1049a9591d965e2955f2f55da","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","cbdcc8dd419559e1049a9591d965e2955f2f55da-2-c9cc68fb6b82af50d4463433e5c7e054030efc0b"
"GEO-3 Satellite","2009","SMC, LA AFB, CA","","2008-03","2015-12","1","1974.361","true","2007-07","SS","BA","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-d65297288fdb0b98a653601d4d78ea9debe5949a-0-4ac5dd33c3aa8fdb8ac8f8c35697f3923912e92b","0","","","d65297288fdb0b98a653601d4d78ea9debe5949a-0-89de5cc39a0b0383971547e654658d3322803333","d65297288fdb0b98a653601d4d78ea9debe5949a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","d65297288fdb0b98a653601d4d78ea9debe5949a-0-c51bfa5218387a74920ddb05e49486ea1f2cb62f"
"GEO-4 Satellite","2011","SMC, LA AFB, CA","","2009-07","2016-12","1","959.016","true","2007-07","SS","BA","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-d65297288fdb0b98a653601d4d78ea9debe5949a-1-cf2c9e2d3822687e504dc7a3969cc89365b5f733","0","","","d65297288fdb0b98a653601d4d78ea9debe5949a-1-caf7db1aa6c0fc78fb8c21a0f58652201e3ad4f0","d65297288fdb0b98a653601d4d78ea9debe5949a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","d65297288fdb0b98a653601d4d78ea9debe5949a-0-c51bfa5218387a74920ddb05e49486ea1f2cb62f"
"GEO-5 and 6 Satellites","2013","SMC, LA AFB, CA","","2013-09","2019-09","2","1934.700","true","2012-12","SS","BA","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-d65297288fdb0b98a653601d4d78ea9debe5949a-0-8d22b2f94b88bed423cb68410b90f9b83a94d3f2","0","","","d65297288fdb0b98a653601d4d78ea9debe5949a-0-96c3b217a52fa422f569baa467e0f18e2dae8ce5","d65297288fdb0b98a653601d4d78ea9debe5949a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","d65297288fdb0b98a653601d4d78ea9debe5949a-0-c84be5ae88e5d46457308f90eecd6d6548d01c19"
"HEO-3 Payload","2009","SMC, LA AFB, CA","","2008-03","2013-06","1","788.716","true","2007-07","SS","BA","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-d65297288fdb0b98a653601d4d78ea9debe5949a-0-c8a1366c04d28fbc02e0e09044125f2423175acc","0","","","d65297288fdb0b98a653601d4d78ea9debe5949a-0-6e6a7cae348ea113e8fadb3ff85a2b88b6ef4cca","d65297288fdb0b98a653601d4d78ea9debe5949a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","d65297288fdb0b98a653601d4d78ea9debe5949a-0-92c0d8f620b3e693e0609c8795ead51c551689c4"
"HEO-4 Payload","2010","SMC, LA AFB, CA","","2009-07","2015-05","1","413.378","true","2007-07","SS","BA","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-d65297288fdb0b98a653601d4d78ea9debe5949a-1-e74b09df65d549be8efffba618865d28e4650c37","0","","","d65297288fdb0b98a653601d4d78ea9debe5949a-1-36b7418762982d8bf0e4100abf78b554a161f769","d65297288fdb0b98a653601d4d78ea9debe5949a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","d65297288fdb0b98a653601d4d78ea9debe5949a-0-92c0d8f620b3e693e0609c8795ead51c551689c4"
"","2007","SMC, LA AFB, CA","","2006-11","2012-01","1","376.463","true","2005-04","SS","FPIF","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-e83317be9110bcbc50a36f72ed282337cc63c173-0-3b32944195914c58a9d1b72949cba3252c2b60d2","0","","","e83317be9110bcbc50a36f72ed282337cc63c173-0-b74aa41b3ddccbe1fc8d552d24de102588a98f55","e83317be9110bcbc50a36f72ed282337cc63c173","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","e83317be9110bcbc50a36f72ed282337cc63c173-1-4bcdf9382d147d141f058b32e1a4d6123b000f58"
"","2008","SMC, LA AFB, CA","","2007-12","2013-05","1","338.319","true","2005-04","SS","FPIF","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-e83317be9110bcbc50a36f72ed282337cc63c173-0-347b797734c23f3861da0fdf74e2a73d61935ea0","0","","","e83317be9110bcbc50a36f72ed282337cc63c173-0-04be247c9ed2dfbd9eee7d51df3a7e7c66d2577f","e83317be9110bcbc50a36f72ed282337cc63c173","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","e83317be9110bcbc50a36f72ed282337cc63c173-2-d5a736aafc949ae30c18dca4f8dd8ac3857f619e"
"","2011","SMC, LA AFB, CA","","2011-08","2015-06","1","443.532","true","2010-01","SS","FFP","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-e83317be9110bcbc50a36f72ed282337cc63c173-0-ad682f82dbbd8ad8cdb4e003a67b530bde2c2283","0","","","e83317be9110bcbc50a36f72ed282337cc63c173-0-4ce5cb86e90e0545b8fa5af13b9bc3c03e9cad38","e83317be9110bcbc50a36f72ed282337cc63c173","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","e83317be9110bcbc50a36f72ed282337cc63c173-0-bf72106c872c4da1416b89113589c49072c39a2c"
"","2012","SMC, LA AFB, CA","","2011-12","2016-09","1","353.925","true","2010-01","SS","FFP","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-e83317be9110bcbc50a36f72ed282337cc63c173-0-06a1803e8a4f10c8ed608b4f0688f5497563d005","0","","","e83317be9110bcbc50a36f72ed282337cc63c173-0-30610b4e1be90438ecd308830bb51d0674d1cad6","e83317be9110bcbc50a36f72ed282337cc63c173","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","e83317be9110bcbc50a36f72ed282337cc63c173-1-7f4e5914375ca3eb2084ed1f3cf327155f4c7b56"
"","2012","SMC, LA AFB, CA","","2012-07","2018-01","1","338.700","true","2012-03","SS","FFP","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-e83317be9110bcbc50a36f72ed282337cc63c173-0-2e1bbebae46b0a1a88630ba178c6c0687d7e71f9","0","","","e83317be9110bcbc50a36f72ed282337cc63c173-0-c09569915affc72337d628564dfb92ae380c9f0c","e83317be9110bcbc50a36f72ed282337cc63c173","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","e83317be9110bcbc50a36f72ed282337cc63c173-2-a6884153cb6058687301b0bbddfcac815da4844c"
"","2011","SMC, LA AFB, CA","","2011-08","2015-08","1","443.532","true","2010-01","SS","FFP","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-730cda5819fcd01e1e271bfe3cd474a6976b25a3-0-d7737d2686b92d127701fe4a5b92394c7e6e5f15","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-730cda5819fcd01e1e271bfe3cd474a6976b25a3-0-5f0c00e4466dcb2f561ff24d991db2d5e7881bd1","730cda5819fcd01e1e271bfe3cd474a6976b25a3-0-2dfe380aa5158d7000095a131af23daf6c5c5b9e","730cda5819fcd01e1e271bfe3cd474a6976b25a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","730cda5819fcd01e1e271bfe3cd474a6976b25a3-0-bdc4df0e988a3f6d4de943c12ab35e3071b9dbf9"
"","2012","SMC, LA AFB, CA","","2011-12","2016-11","1","353.925","true","2010-01","SS","FFP","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-730cda5819fcd01e1e271bfe3cd474a6976b25a3-0-ab6e7046fa152bf87a02b649802b5816b67813d0","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-730cda5819fcd01e1e271bfe3cd474a6976b25a3-0-b38af088470d95709b5856333a3ac0038cbbcd21","730cda5819fcd01e1e271bfe3cd474a6976b25a3-0-2502ad5995d2c9682faa123f24fdb5e0264a73a2","730cda5819fcd01e1e271bfe3cd474a6976b25a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","730cda5819fcd01e1e271bfe3cd474a6976b25a3-1-315c230518bad77f03b6df334f849067e51cdf5c"
"","2012","SMC, LA AFB, CA","","2012-07","2017-12","1","338.700","true","2012-03","SS","FFP","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-730cda5819fcd01e1e271bfe3cd474a6976b25a3-0-aae98f83d882abeeb5ece543ed455b4ce9698612","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-730cda5819fcd01e1e271bfe3cd474a6976b25a3-0-a228be0905222ccf7124da6ab7ca4c1c3963ce1c","730cda5819fcd01e1e271bfe3cd474a6976b25a3-0-c7659de7fe099e10b11f50087b0f02714d7a5a2f","730cda5819fcd01e1e271bfe3cd474a6976b25a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","730cda5819fcd01e1e271bfe3cd474a6976b25a3-2-988c2ced7b34ffab1b3b53cba21c97bb9bafd48f"
"","2006","SMC, LA AFB, CA","","2006-01","2013-07","1","832.268","true","2005-09","SS","CPAF","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-77f56970de0a2155590c14c54758cafa96eaca38-0-9921c2b9bedac520f9995522a8c62ca828fc031e","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-77f56970de0a2155590c14c54758cafa96eaca38-0-e6990e07b6b92e66c168728e6e82e82df0f86e6f","77f56970de0a2155590c14c54758cafa96eaca38-0-292079cea6c93cf61c07a9a9c27a5c6181c2fb22","77f56970de0a2155590c14c54758cafa96eaca38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","77f56970de0a2155590c14c54758cafa96eaca38-0-0317dbe48a96e92e15efc171d9714e4450bc909e"
"","2010","SMC, LA AFB, CA","","2010-12","2017-02","1","1693.304","true","2009-09","SS","CPIF","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-77f56970de0a2155590c14c54758cafa96eaca38-0-32821cfbe3ffb8cbb9b9a3a0296cb8c9853f8c32","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-77f56970de0a2155590c14c54758cafa96eaca38-0-91d3e9bd374b54150a2f96f388faec34037a0f4d","77f56970de0a2155590c14c54758cafa96eaca38-0-caad0391055a7b8c02f5bbdb7fe7f387180fd236","77f56970de0a2155590c14c54758cafa96eaca38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","77f56970de0a2155590c14c54758cafa96eaca38-1-92b53c9448d218b182cd5122e0f50e4ed051772a"
"","2012","SMC, LA AFB, CA","","2012-12","2018-06","2","1116.086","true","2012-01","SS","BA","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-77f56970de0a2155590c14c54758cafa96eaca38-0-f8b0bed213cf5e38bd819f7cbaf1a542ebe22c7b","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-77f56970de0a2155590c14c54758cafa96eaca38-0-826541d677491c13e0027780a244372cd257ea19","77f56970de0a2155590c14c54758cafa96eaca38-0-609499861a32c052a33b2baf0946e8216f7a45cf","77f56970de0a2155590c14c54758cafa96eaca38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","77f56970de0a2155590c14c54758cafa96eaca38-0-f56d9dfbd16762edd9978a7d86ef497cea9d705d"
"GPS IIF Units 7-9","2005","SMC/GP","","2004-10","2013-12","1","114.200","true","1995-02","SS","FPIF","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-94dd3d1f40aed15f03dcb2f08a84db0d664c8967-0-50b1d0b44906da97e1b4d0ae670cbd8092e10ffa","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-94dd3d1f40aed15f03dcb2f08a84db0d664c8967-0-930d71854830127d711f74007011eb96d53eefc4","94dd3d1f40aed15f03dcb2f08a84db0d664c8967-0-f33c67b103c62c28d81f42580a5fc678795642b6","94dd3d1f40aed15f03dcb2f08a84db0d664c8967","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","94dd3d1f40aed15f03dcb2f08a84db0d664c8967-2-48ec3f28f8d4f3d2b080e8e90073df9672120c1b"
"GPS IIF Units 10-12","2006","SMC/GP","","2005-10","2013-11","3","114.200","true","1995-02","SS","FPIF","Air Force","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-94dd3d1f40aed15f03dcb2f08a84db0d664c8967-1-535846bddb6011ca21907af08d175f7c4481aa7c","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-94dd3d1f40aed15f03dcb2f08a84db0d664c8967-1-33e81ca6d86d49caeee2e90379106c6853b8d2d4","94dd3d1f40aed15f03dcb2f08a84db0d664c8967-1-e2a7eb763c089b11620816be6663f70c07432898","94dd3d1f40aed15f03dcb2f08a84db0d664c8967","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","94dd3d1f40aed15f03dcb2f08a84db0d664c8967-2-48ec3f28f8d4f3d2b080e8e90073df9672120c1b"
"GEO-3 Satellite","2009","SMC, LA AFB, CA","","2008-03","2015-09","1","1918.906","true","2007-07","SS","BA","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-0-bd7389c38b058a666622379370d8695c452c69d6","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-0-3d1b313c5190ce0d4bbad0dbb0bcd61c57fd9138","ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-0-eabfad2922ed75e73c171f609bbb711f15604138","ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-0-00153888e345bb5393d7521c2aaabcd1d8a406af"
"GEO-4 Satellite","2011","SMC, LA AFB, CA","","2009-07","2016-09","1","935.734","true","2007-07","SS","BA","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-1-cfd9730fd6868de09f152807812512441213a355","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-1-2b6fdc1f720ab28d8f0b4dbc3363280feae749b8","ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-1-5505b5303128b2081322587b24c0eaa1428275d4","ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-0-00153888e345bb5393d7521c2aaabcd1d8a406af"
"GEO-5 and 6 Satellites","2013","SMC, LA AFB, CA","","2014-03","2020-01","2","1704.178","true","2012-12","SS","BA","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-0-9faef6ad220afa29ade18700f6340ec73150b83d","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-0-588154830ab6cfe1518a434abf2874c3e1618432","ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-0-3f38df99fc5267a1a52dbe691c786750d59e657c","ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-0-31d65cab5122574cecba5008206d281dd170d11a"
"HEO-3 Payload","2009","SMC, LA AFB, CA","","2008-03","2013-06","1","750.019","true","2007-07","SS","BA","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-0-851d82de65a28cadb18d6a38e8ea70be3e3ccc28","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-0-59e469858850408299597f9eeb98febeafc7b4a5","ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-0-907cbe51d9d6fbaf09d3f6257f8c9325e251241b","ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","ac7e424bf9c93a407a5f7d9dbdc7ff0f14e07d21-0-05b7d0f501f643f3d35972ee747a8f390589b7a4"
