"Name_val","ManufacturerList_P10Manufacturer_Name_val","ManufacturerList_P10Manufacturer_Location_val","ManufacturerList_P10Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning","WhenRequiredInMonths_val","QuantityPerAssembly_val","Cost_AllPriorYears_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"For FY 2016 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","b4024840b662690bd3b4a347140981a7a88d33f6-3-47ed5d266e74028f4d127d7a710f4076a920948d","b4024840b662690bd3b4a347140981a7a88d33f6","root","b4024840b662690bd3b4a347140981a7a88d33f6-f417816ab23b125b916695965a697031bababecd"
"For FY 2017 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","b4024840b662690bd3b4a347140981a7a88d33f6-4-430a7ef33148b8657725577ceb3a079e1d09e943","b4024840b662690bd3b4a347140981a7a88d33f6","root","b4024840b662690bd3b4a347140981a7a88d33f6-f417816ab23b125b916695965a697031bababecd"
"Airframe For FY 2013 EOQ/Long Lead","","","","","","0","0","","0","0","","67.469","","","","","","","d46770dfce4832695015cca5ec653169a7a3eea4-0-dd244785edd95350d4d575efcf8ef0c9c2ae8fdc","d46770dfce4832695015cca5ec653169a7a3eea4","root","d46770dfce4832695015cca5ec653169a7a3eea4-1c740c048065abe17d290ebf81829771fae14186"
"Airframe For FY 2014 EOQ/Long Lead","","","","","","0","0","","0","54.472","","3.037","","","","","","","d46770dfce4832695015cca5ec653169a7a3eea4-1-01b4e4a22a3dddaf13093b603678db75351d9d7c","d46770dfce4832695015cca5ec653169a7a3eea4","root","d46770dfce4832695015cca5ec653169a7a3eea4-1c740c048065abe17d290ebf81829771fae14186"
"Airframe For FY 2015 EOQ/Long Lead","","","","","","0","0","","0","4.047","","1.961","","","","","","","d46770dfce4832695015cca5ec653169a7a3eea4-2-dfcddef67db55a26ef644e17edfb86baecda6ef0","d46770dfce4832695015cca5ec653169a7a3eea4","root","d46770dfce4832695015cca5ec653169a7a3eea4-1c740c048065abe17d290ebf81829771fae14186"
"Airframe For FY 2016 EOQ/Long Lead","","","","","","0","0","","0","3.737","","2.338","","","","","","","d46770dfce4832695015cca5ec653169a7a3eea4-3-6b6ab0fcb581074a512df62d277709c9b6d888f2","d46770dfce4832695015cca5ec653169a7a3eea4","root","d46770dfce4832695015cca5ec653169a7a3eea4-1c740c048065abe17d290ebf81829771fae14186"
"CC/Avionics For FY 2013 EOQ/Long Lead","","","","","","0","0","","0","0","","59.037","","","","","","","d46770dfce4832695015cca5ec653169a7a3eea4-4-67c6636943381e6715dfada387711eef398ba8ef","d46770dfce4832695015cca5ec653169a7a3eea4","root","d46770dfce4832695015cca5ec653169a7a3eea4-1c740c048065abe17d290ebf81829771fae14186"
"CC/Avionics For FY 2014 EOQ/Long Lead","","","","","","0","0","","0","28.026","","63.176","","","","","","","d46770dfce4832695015cca5ec653169a7a3eea4-5-7cbbd346f901b9c10b17665480ac93adbfe04147","d46770dfce4832695015cca5ec653169a7a3eea4","root","d46770dfce4832695015cca5ec653169a7a3eea4-1c740c048065abe17d290ebf81829771fae14186"
"CC/Avionics For FY 2015 EOQ/Long Lead","","","","","","0","0","","0","91.314","","4.5","","","","","","","d46770dfce4832695015cca5ec653169a7a3eea4-6-3a5831245792b14a5c31f7d0d245735f38f8a5e3","d46770dfce4832695015cca5ec653169a7a3eea4","root","d46770dfce4832695015cca5ec653169a7a3eea4-1c740c048065abe17d290ebf81829771fae14186"
"CC/Avionics For FY 2016 EOQ/Long Lead","","","","","","0","0","","0","2","","4.5","","","","","","","d46770dfce4832695015cca5ec653169a7a3eea4-7-07a79a8b913edd2cc89443483963dc85435622dd","d46770dfce4832695015cca5ec653169a7a3eea4","root","d46770dfce4832695015cca5ec653169a7a3eea4-1c740c048065abe17d290ebf81829771fae14186"
"For FY 11 EOQ/Long Lead","","","","","","0","0","138.236","0","0","","","","","","","","","f2c6fed2920a424a152069e0e9cb6123a77949ec-0-1b9894f1c02411306b05c6d1045e6e04456a4a52","f2c6fed2920a424a152069e0e9cb6123a77949ec","root","f2c6fed2920a424a152069e0e9cb6123a77949ec-e3df57bab11c2298b63d113f808e51f72834d6d8"
"For FY 12 EOQ/Long Lead","","","","","","0","0","58.869","0","0","73.098","","","","","","","","f2c6fed2920a424a152069e0e9cb6123a77949ec-1-c4b51dd56189714ee7f045b6aa815e1ba5e300df","f2c6fed2920a424a152069e0e9cb6123a77949ec","root","f2c6fed2920a424a152069e0e9cb6123a77949ec-e3df57bab11c2298b63d113f808e51f72834d6d8"
"For FY 13 EOQ/Long Lead","","","","","","0","0","","0","0","","59.073","","","","","","","f2c6fed2920a424a152069e0e9cb6123a77949ec-2-f2ec69c2fba2099ca13c2b5710e2158d61625a1c","f2c6fed2920a424a152069e0e9cb6123a77949ec","root","f2c6fed2920a424a152069e0e9cb6123a77949ec-e3df57bab11c2298b63d113f808e51f72834d6d8"
"For FY 14 EOQ/Long Lead","","","","","","0","0","","0","64.798","","","","","","","","","f2c6fed2920a424a152069e0e9cb6123a77949ec-3-5fe755ec35fd40d5323313bb5ef2421d33ad7087","f2c6fed2920a424a152069e0e9cb6123a77949ec","root","f2c6fed2920a424a152069e0e9cb6123a77949ec-e3df57bab11c2298b63d113f808e51f72834d6d8"
"For FY 15 EOQ/Long Lead","","","","","","0","0","","0","31.756","","","","","","","","","f2c6fed2920a424a152069e0e9cb6123a77949ec-4-c55e8c0e3dda17241ec7136df5112ba870e907e2","f2c6fed2920a424a152069e0e9cb6123a77949ec","root","f2c6fed2920a424a152069e0e9cb6123a77949ec-e3df57bab11c2298b63d113f808e51f72834d6d8"
"For FY 16 EOQ/Long Lead","","","","","","0","0","","0","29.601","","","","","","","","","f2c6fed2920a424a152069e0e9cb6123a77949ec-5-a7805c9d4941fc51121cfc143717c521c5b2109f","f2c6fed2920a424a152069e0e9cb6123a77949ec","root","f2c6fed2920a424a152069e0e9cb6123a77949ec-e3df57bab11c2298b63d113f808e51f72834d6d8"
"For FY 17 EOQ/Long Lead","","","","","","0","0","","0","22.324","","","","","","","","","f2c6fed2920a424a152069e0e9cb6123a77949ec-6-c77b5bbf6dfd14d96784501bb7b1d2fec736f666","f2c6fed2920a424a152069e0e9cb6123a77949ec","root","f2c6fed2920a424a152069e0e9cb6123a77949ec-e3df57bab11c2298b63d113f808e51f72834d6d8"
