"Name_val","Name_@footnote","Location_val","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","Rate185_@footnote","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"PM DCATS","","Ft. Belvoir, VA","","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-43d3554eb744da6b704f76d75f1225b38f0de759-0-66943a148ea1aa0190833acbe4a778c4876df589","43d3554eb744da6b704f76d75f1225b38f0de759-0-2a5189aca31cebae9e1b087f4a0ebd5ee1982555","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","43d3554eb744da6b704f76d75f1225b38f0de759-0-c09ecb5ef41621d0a549f549fb7fd84df57fba97"
"ISEC","","Fort Huachuca, AZ","","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-43d3554eb744da6b704f76d75f1225b38f0de759-0-b7037abd995577152a7b19449772ff3426ddaff9","43d3554eb744da6b704f76d75f1225b38f0de759-0-6a1a4172e2df696cd63cef2790e557f97b63ea4b","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","43d3554eb744da6b704f76d75f1225b38f0de759-1-be7f0020cc315a69e3420683718fd384fad78187"
"TBD","","TBD","","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-43d3554eb744da6b704f76d75f1225b38f0de759-1-482c7f0adef063f8c23d1265cc5f61e9e17f7594","43d3554eb744da6b704f76d75f1225b38f0de759-1-51f7a838711b1cf14cc843ccabef5ec6d70a3ac4","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","43d3554eb744da6b704f76d75f1225b38f0de759-1-be7f0020cc315a69e3420683718fd384fad78187"
"TBD","","TBD","","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-43d3554eb744da6b704f76d75f1225b38f0de759-0-a5df06fdb601ea0e5e001cc9596a16422aa9194c","43d3554eb744da6b704f76d75f1225b38f0de759-0-d4f7b9438fe6f8b4409ebe5c2049a4e0e0fe47ac","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","43d3554eb744da6b704f76d75f1225b38f0de759-2-d0c6fab33cdf4bf848d47deeddeff3158dad99d1"
"TBD","","TBD","","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-43d3554eb744da6b704f76d75f1225b38f0de759-0-fe454a721675375337fceca513e7df21051ae87f","43d3554eb744da6b704f76d75f1225b38f0de759-0-3625b55627ffa28ee991b9c722ac6d689d10df88","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","43d3554eb744da6b704f76d75f1225b38f0de759-3-e3777bfd8aba759117f657e9be2acaf370fe784e"
"Various","","Various","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-47723ef1495bf1885cfb8c653805735687ef4aaf-0-017d884b09ccdf2b22b36b60518b3da07572570d","47723ef1495bf1885cfb8c653805735687ef4aaf-0-a01d5534ae798b30928a94ad3fca8773a3e0eb63","47723ef1495bf1885cfb8c653805735687ef4aaf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","47723ef1495bf1885cfb8c653805735687ef4aaf-1-0620e2e2de717a8baaa5ff5e1850199ccc98a59e"
"Various","","Various","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-47723ef1495bf1885cfb8c653805735687ef4aaf-0-f74f6b222f40fd94aa6b5dc499cac0d9ca09bb93","47723ef1495bf1885cfb8c653805735687ef4aaf-0-41d879cc3e7ac30a1b1dca8f885edf965c9b5a75","47723ef1495bf1885cfb8c653805735687ef4aaf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","47723ef1495bf1885cfb8c653805735687ef4aaf-2-f18bc8f2255b952f6d4bccb8034955843525021b"
"Various","","Various","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-47723ef1495bf1885cfb8c653805735687ef4aaf-0-04547c2f59308d5fe5ae51ffd67bebe2c17f469c","47723ef1495bf1885cfb8c653805735687ef4aaf-0-d19a849938f22c620a9bc0f2f50e66718a9883d1","47723ef1495bf1885cfb8c653805735687ef4aaf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","47723ef1495bf1885cfb8c653805735687ef4aaf-3-47eec24e367115929e845fe3bcc076ecd3ee3e49"
"Various","","Various","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-47723ef1495bf1885cfb8c653805735687ef4aaf-0-e4c12ac4cce99c7266fd087f28933cf839ca9173","47723ef1495bf1885cfb8c653805735687ef4aaf-0-67fbc49ed3be7155b3e9b168aece8e0494b87197","47723ef1495bf1885cfb8c653805735687ef4aaf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","47723ef1495bf1885cfb8c653805735687ef4aaf-4-0792859d0d3009c031bfba4ed3bbc44d45d4e2d8"
"Army","","Wash DC","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-47723ef1495bf1885cfb8c653805735687ef4aaf-0-752a0a1cd5787dea2e446f40c4da4b2ad48bd6ac","47723ef1495bf1885cfb8c653805735687ef4aaf-0-7cda6cffd01e4324d4796f045ff657e46bd2b015","47723ef1495bf1885cfb8c653805735687ef4aaf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","47723ef1495bf1885cfb8c653805735687ef4aaf-0-e2babf0ab8212d70a9872711af0bbb48291dcf22"
"Army","","Wash DC","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-47723ef1495bf1885cfb8c653805735687ef4aaf-0-5394407f5f7ebfcf6336087bc56a1173ad74d2c6","47723ef1495bf1885cfb8c653805735687ef4aaf-0-398e930f0e6389b2ae54ee6b33f3dfc1ad68fd67","47723ef1495bf1885cfb8c653805735687ef4aaf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","47723ef1495bf1885cfb8c653805735687ef4aaf-1-61e592f33ba95ea5317d83ea4c0d591e637666d5"
"Various","","Various","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-47723ef1495bf1885cfb8c653805735687ef4aaf-0-3cbb23f5bab1d525ba6e5cf14f2fdae0bace310e","47723ef1495bf1885cfb8c653805735687ef4aaf-0-8430255968b1800f9bd0b2382261869dd49688ae","47723ef1495bf1885cfb8c653805735687ef4aaf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","47723ef1495bf1885cfb8c653805735687ef4aaf-0-2c29b5bd6231b254be6973e758c2816206fd76f1"
"Army","","Washington, DC","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-47723ef1495bf1885cfb8c653805735687ef4aaf-0-b34e6901bdf9c2267e37c80b7d1f8311731cedfe","47723ef1495bf1885cfb8c653805735687ef4aaf-0-98ebde38cb28f8e27d9141925f2f185ffca80d82","47723ef1495bf1885cfb8c653805735687ef4aaf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","47723ef1495bf1885cfb8c653805735687ef4aaf-0-b0489b5b477095e3f5f1f0c19e034be4ecb114c4"
"Classified","","Classified","1","36","12","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4926fab476db4940a94e499f663921450de316e7-0-f6790a8ddc88a1b28591f2fe2a5dbc22f4f17cf9","4926fab476db4940a94e499f663921450de316e7-0-290cd6e56de2e58612aa3d1e35b22437b02479ef","4926fab476db4940a94e499f663921450de316e7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4926fab476db4940a94e499f663921450de316e7-2-953b1ba30da71ca00f3abf787e297e8cd679963a"
"Classified","","Classified","1","36","12","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4926fab476db4940a94e499f663921450de316e7-0-fb828d9647ef36f1d5d54070326ba7e0d8f278fd","4926fab476db4940a94e499f663921450de316e7-0-63aeea6a1b6bd7360f6b6aadc8edf433324b6e05","4926fab476db4940a94e499f663921450de316e7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4926fab476db4940a94e499f663921450de316e7-3-4573a54df83e50106f8032a3d43d54a8bb7bd61a"
"TBS","","TBS","3","8","5","","8","3","4","7","0","2","2","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4aacb774f539d7c2a7c46490db5ec9db85e64589-0-e0dd368d18383e689ed5959d8536e05f5c3efc2e","4aacb774f539d7c2a7c46490db5ec9db85e64589-0-36e00edd4bcda06b08f0047d4a82bb36d85c2425","4aacb774f539d7c2a7c46490db5ec9db85e64589","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4aacb774f539d7c2a7c46490db5ec9db85e64589-2-66d78df84262d9c88b2186ceffd8c8959f248d37"
"Buffalo Turbine","","Springville, NY","3","7","5","","6","8","4","12","0","3","2","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4aacb774f539d7c2a7c46490db5ec9db85e64589-0-c27cffeee3d7ebe042dd9b5e7fd6e52c7927046d","4aacb774f539d7c2a7c46490db5ec9db85e64589-0-1bf1d5d6e041ef9d0eb826a7b5caf77f4d924123","4aacb774f539d7c2a7c46490db5ec9db85e64589","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4aacb774f539d7c2a7c46490db5ec9db85e64589-6-3d92d1937ecd61f8ee130aa9464f558c0be3a90e"
"TBS","","TBS","3","8","5","","10","1","6","7","0","3","2","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4aacb774f539d7c2a7c46490db5ec9db85e64589-0-cf432600c758527f2da66215a45508447f060409","4aacb774f539d7c2a7c46490db5ec9db85e64589-0-0f72079af1983340ae5e1bee7fcd2623bf12b7e0","4aacb774f539d7c2a7c46490db5ec9db85e64589","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4aacb774f539d7c2a7c46490db5ec9db85e64589-11-f506d7e44c90d345d782547155d2d66816d9115d"
"Harris","","Melbourne, FL","0.00","0.00","0.00","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4ab8cb22fd0dc4b22b17d65a36536e7efe52e495-0-00f6128e8da03d44b5149108ca5cc9b15c63998b","4ab8cb22fd0dc4b22b17d65a36536e7efe52e495-0-10b6601f82cf44cee081f881a33405fd0a3c1bbc","4ab8cb22fd0dc4b22b17d65a36536e7efe52e495","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4ab8cb22fd0dc4b22b17d65a36536e7efe52e495-0-8cda0bd41b75ea0adde863d282cfee8a2284f082"
"Harris","","Melbourne, FL","0.00","0.00","0.00","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4ab8cb22fd0dc4b22b17d65a36536e7efe52e495-0-ff6dc7eca9f543f08053d110f10eb1284299a8b8","4ab8cb22fd0dc4b22b17d65a36536e7efe52e495-0-e84ba827b666c5d1225e0baebe2584efbe6012e0","4ab8cb22fd0dc4b22b17d65a36536e7efe52e495","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4ab8cb22fd0dc4b22b17d65a36536e7efe52e495-1-2108f1d89eddf2685099becc2b6e3b599b1d0a44"
"Northrop Grumman (Annapolis, MD)","","Annapolis","0","0","0","","0","0","12","12","0","0","12","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4ad2ce439714969c50b38486e9a26b2f8b508320-0-5c3b5d7faccc9da8a87f57c491b53c8fee306c19","4ad2ce439714969c50b38486e9a26b2f8b508320-0-62ce6feb3147f87a760344f1d8ff6beeb6f1ab83","4ad2ce439714969c50b38486e9a26b2f8b508320","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4ad2ce439714969c50b38486e9a26b2f8b508320-0-b28438787dc818823e3330b616879ca0b7a914b0"
"Northrop Grumman (Annapolis, MD)","","Annapolis","3","18","5","","0","0","12","12","0","0","12","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4ad2ce439714969c50b38486e9a26b2f8b508320-0-c2da1e8f29a1a15e5e3bfacb8d74f0d4d4f3ecf4","4ad2ce439714969c50b38486e9a26b2f8b508320-0-6b29a5120e86d9f6bfef593da9099b0bed65ac65","4ad2ce439714969c50b38486e9a26b2f8b508320","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4ad2ce439714969c50b38486e9a26b2f8b508320-1-8e16c57fc0555fa87912a8f555d78514fcff9523"
"Northrop Grumman (Annapolis, MD)","","Annapolis","0","0","0","","0","0","12","12","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4ad2ce439714969c50b38486e9a26b2f8b508320-0-e0c534aafd75066f8e5383059dc440784e0d6da0","4ad2ce439714969c50b38486e9a26b2f8b508320-0-fbc92f06feab681f0350c33085209939792712b4","4ad2ce439714969c50b38486e9a26b2f8b508320","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4ad2ce439714969c50b38486e9a26b2f8b508320-2-30784b8048c10e0b9361db2f2b17602a72eabe07"
"ITT","","Panama City, Florida","1","6","3","","0","0","18","18","0","0","18","18","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4ad2ce439714969c50b38486e9a26b2f8b508320-0-e650de7aa6fd069212fa95c9832dc0ed16a26547","4ad2ce439714969c50b38486e9a26b2f8b508320-0-e1fdd156ecfd6c2592ea64883b6c6e28991cddb0","4ad2ce439714969c50b38486e9a26b2f8b508320","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4ad2ce439714969c50b38486e9a26b2f8b508320-0-70d42172f8a86e3d7d2338e954b1e389909b9d56"
"Raytheon","","Portsmouth, RI","1","24","8","","0","0","17","17","0","0","17","17","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4ad2ce439714969c50b38486e9a26b2f8b508320-0-fb0cd150210bb91b7c74b65813faf512f6839195","4ad2ce439714969c50b38486e9a26b2f8b508320-0-3a922371f5489cf21658631c1fdc81c863c7fdeb","4ad2ce439714969c50b38486e9a26b2f8b508320","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4ad2ce439714969c50b38486e9a26b2f8b508320-0-7d2f352acc376fa3107b42b9e6e5d285724ede41"
"Northrop Grumman","","Melborn, FL","1","24","12","","0","0","20","20","0","0","18","18","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4ad2ce439714969c50b38486e9a26b2f8b508320-0-bfa87e10eaf7a5a1c673ba7d8ffda61a529438d7","4ad2ce439714969c50b38486e9a26b2f8b508320-0-a479aee1a4342df29e8beea6b65795f42f7a1835","4ad2ce439714969c50b38486e9a26b2f8b508320","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4ad2ce439714969c50b38486e9a26b2f8b508320-0-4135f3f153bd0a9e06914c7ce1c3f24278005860"
"Unknown","","Unknown","3","20","10","","0","0","12","12","0","0","12","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4ad2ce439714969c50b38486e9a26b2f8b508320-0-c7ca8c2da7cbd51dee33518521e1d6b05dbbfc2e","4ad2ce439714969c50b38486e9a26b2f8b508320-0-595ea815574ac2a927979830a8343c1452017428","4ad2ce439714969c50b38486e9a26b2f8b508320","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4ad2ce439714969c50b38486e9a26b2f8b508320-0-41dcba69615c7f7b63015f233aee2f6b199efbf0"
"Cogent, UK","","UNKNOWN","0","0","0","","0","0","12","12","0","0","12","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4ad2ce439714969c50b38486e9a26b2f8b508320-0-fcb7f372a1a871d5fe379c3e4e0790a576a12ff8","4ad2ce439714969c50b38486e9a26b2f8b508320-0-d20308c7de88781629c73c97c2105bbdd10a3272","4ad2ce439714969c50b38486e9a26b2f8b508320","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4ad2ce439714969c50b38486e9a26b2f8b508320-3-f4b8a75646409fb5a603083cd64a040692d35d31"
"Lockheed Martin","","Riviera Beach, FL","1","6","4","","0","0","34","34","0","0","24","24","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4b0851de24db43ee288354b17eae315275336615-0-eb745ad925024bd75e66746368af1953cd28c40f","4b0851de24db43ee288354b17eae315275336615-0-39da82269f1dd1b97cf6c952997135c40787ee7a","4b0851de24db43ee288354b17eae315275336615","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4b0851de24db43ee288354b17eae315275336615-0-42a5deb168d425bae4091d09dd20c918a19b193a"
"Lockheed Martin","","Riviera Beach, FL","1","4","2","","3","0","14","14","0","0","14","14","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4b0851de24db43ee288354b17eae315275336615-0-3169a306918a974535976f77348e6ecbcd2aac76","4b0851de24db43ee288354b17eae315275336615-0-0268774a7a6f527258ab64730086b600c65208d0","4b0851de24db43ee288354b17eae315275336615","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4b0851de24db43ee288354b17eae315275336615-1-afdbbf800d3bfb4c2abcfc2ab4b43c510e3edef3"
"TO BE SELECTED","","TBS01","50","300","130","","8","8","24","32","6","6","18","24","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4cca8aacabede5225bd00e74c169afaac3f2df2c-0-e9447558399e894832c49470a3c83f6d859170b6","4cca8aacabede5225bd00e74c169afaac3f2df2c-0-cbe8134d89225cfaee15b8e706f31d58e8500085","4cca8aacabede5225bd00e74c169afaac3f2df2c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4cca8aacabede5225bd00e74c169afaac3f2df2c-0-0f94b320ef00387d5b3976330163957ad85ffa71"
"Raytheon","","Marlboro, MA","5.00","48.00","24.00","","0","0","0","0","8","4","12","16","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4db4ed055d4807906324121a0154d02a679d9bae-0-239ad54f2c8cd7735f2ebba196b2de02a152b722","4db4ed055d4807906324121a0154d02a679d9bae-0-80fb744750c9ec955025273e3121dab0dc64cf49","4db4ed055d4807906324121a0154d02a679d9bae","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4db4ed055d4807906324121a0154d02a679d9bae-0-0cf66ac9464287465fad4134b8c08beaf848501b"
"CHS","","Taunton, MA","","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4f2357d78bb32e088a51b52d66f52cba84dfa327-0-760b0fc7e2d6fdba73b5ed1f5a0b5bccc6505ab6","4f2357d78bb32e088a51b52d66f52cba84dfa327-0-593a0aa1b11be1c865635e3587b7f1dda8966315","4f2357d78bb32e088a51b52d66f52cba84dfa327","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4f2357d78bb32e088a51b52d66f52cba84dfa327-0-0aeb2408697d544a876959bd70fc5db791e9ef30"
"CHS","","Taunton, MA","","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-4f2357d78bb32e088a51b52d66f52cba84dfa327-0-c50bfcaa2b8acb59f8be73f31f2b5858be6b9dd0","4f2357d78bb32e088a51b52d66f52cba84dfa327-0-6c49c4be9930d6d7d718ec6bad251c8a12c9d87a","4f2357d78bb32e088a51b52d66f52cba84dfa327","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","4f2357d78bb32e088a51b52d66f52cba84dfa327-1-6afee65a5bd94389e03d879ebc53e5f074b870e1"
"ALLIANT TECHSYSTEMS (LCAAP)","","INDEPENDENCE, MO","800","10000000","5000000","","6","6","13","19","6","6","13","19","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-5324f0127ccde2d9f55ca661518c62c58b4c32f4-0-7c2f88b811c578ee58af7f0136a696ff70fbe2dd","5324f0127ccde2d9f55ca661518c62c58b4c32f4-0-21a75aa86c2376e287ec5d7062e2e7eb6e264bd1","5324f0127ccde2d9f55ca661518c62c58b4c32f4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","5324f0127ccde2d9f55ca661518c62c58b4c32f4-0-42494ed09782a90a10b92a46dd554c70833ab0e2"
"ALLIANT TECHSYSTEMS (LCAAP)","","INDEPENDENCE, MO","800","10000000","5000000","","6","6","13","19","6","6","13","19","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-5324f0127ccde2d9f55ca661518c62c58b4c32f4-0-ac572eadb148e84ca8389dc080ad6505c51dda07","5324f0127ccde2d9f55ca661518c62c58b4c32f4-0-c4cf0bc8a2d93df3b57341014b2e965fad8941d9","5324f0127ccde2d9f55ca661518c62c58b4c32f4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","5324f0127ccde2d9f55ca661518c62c58b4c32f4-0-4dc3108616564475906d9e4b33c343ade95bdd12"
"TO BE SELECTED","","TBS01","800","10000000","5000000","","6","6","13","19","6","6","13","19","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-5324f0127ccde2d9f55ca661518c62c58b4c32f4-1-c0bd8921fe5a59efd1adb7ef7fde76c070cfa15c","5324f0127ccde2d9f55ca661518c62c58b4c32f4-1-2a5739864ba12e3c375d71a7394901147961582c","5324f0127ccde2d9f55ca661518c62c58b4c32f4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","5324f0127ccde2d9f55ca661518c62c58b4c32f4-0-4dc3108616564475906d9e4b33c343ade95bdd12"
"TO BE SELECTED","","TBS01","1000","150000","50000","","6","6","12","18","6","6","12","18","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-54408b39afade6aabdc2eb10cea692efe452d297-0-598b7c982352086fca2e7c4cc857fa816660cc72","54408b39afade6aabdc2eb10cea692efe452d297-0-1120888a819144e4277de4360097d3644b605f10","54408b39afade6aabdc2eb10cea692efe452d297","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","54408b39afade6aabdc2eb10cea692efe452d297-0-7ad9d060424bb2475e77f03a37e256cf2bfd7a17"
