"Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_AllPriorYears_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_AllPriorYears_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_UnitCost_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearFive_TotalCost_val","ManufacturerList_Manufacturer","IdCode_val","AllPriorYearsDeliveries_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Reachback Server, Metrological Data","0.123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-1-9f092795019c40652d2e0accca4007525e3cc6b4","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Albquerque Physcial Plant Modernization","1.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-c6a7352707b90909317ece41c9d4ea812691be27","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"DTRA Storage Infrastructure Modernization (Site 1)","6.117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-3-7ede7fc8f46c0a089478306168b293a2299bb29a","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"DTRA VOIP System (Inlcuding access layer software for Site1 and Site 2)","8.328","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-4-74a8b39393b8a5031535ee27fec6e4f7ff52db31","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Synchronus MetroCluster (Unclassified)","3.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-5-e72a2ac115d0dd26f7f8ce5b745cd2894f58a95f","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Reachback Server, Numerical Weather","0.246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-6-a1570080fb4ccd11019985af83c708ac3b481b7b","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Software Quality Assurance (SQA) Toolset","0.222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-7-b31ede9f747c4b4c51d3e7ccf2d1ab6c1394cb13","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Blue Coat (hardware Proxy Devices) (Red River Computer Company, Fort Belvoir VA)","0.503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-8-59503eab52a34bd3a0d8c66a6421c5c7dfd78c80","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Virtual Server Farms Capability, Networks","3.326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-9-dd999d919f79e8343b8b9ddad16a0a350e5c5ee1","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Network Telecom Equipment and Services (5th Signal Command Darmstadt, Germany)","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-10-d191fb73ce0f2e6fabed10d536194a0025e0ac45","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Equipment Purchase Phase II","4.362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-11-331bade59d2d1ab8c2914f06cf7f704427343858","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"IT Installation Kleber Germany","1.629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-12-8885451c1788cf337fbd77d532bdc37628efb7a9","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Virtual Desktop Infrastructure (VDI)","2.703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-13-7309ec80c693246ba7766a9818f35dc73954c808","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"DTRA DMZ and Server Access Architecture (Site 1 and 2)","2.779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-14-1b769365128d58f079609dc5132227547d01d2ef","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"WAN Acceleration and Deep Packet Inspection Infrastructure (Site 1 and Site 2)","4.471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-15-64c4d157d7d4f531c3220203285c2458bbc5624c","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Reachback Analyst Workstations and Peripherals","0.213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-16-88d3b884c3550885d951ab384c99543e35023115","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"DTRA Server Infrastructure (Site 1 and Site 2)","2.538","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-17-78ef1c0d067a2207a73a45044904aea8b8c4bb1f","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"MicroStrategy Business Intelligence Software","1.176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-18-33b2cba9d06d6a75e744f5b3eba7d54231a65dd3","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"DTRA Experimentation Lab (DEL) Systems","","","","1.069","","1.069","1.088","1.106","1.128","","","1.151","true","","","1","1","","","","","","","","1.069","1.069","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-19-cc6a3cc8b36026a70871b2fbcaa7c1cdd430fb4a","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-19-6d04cff20979d4cd428d06fd93813e792a8cf5c9","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Universal Log Management Capability","","0.327","","","","","","","","","","","","1","","","","","","","","","0.327","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-20-2d99ac78989d513380affa680c90a460e42b4fdb","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-20-adf1b31638c61e77716caeaff8970e62a7f55e7a","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Information Technology Asset Management Capability","","1.793","","","","","","","","","","","","1","","","","","","","","","1.793","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-21-9dc6109ec955c46a83518b71d208d88404cd3077","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-21-54973f2e442072a30f0b3d0de7ab7177ba8e399b","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Firewalls Life Cycle Replacement","","1.771","","","","","","","","","","","","1","","","","","","","","","1.771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-22-ee6ff2891a89b047aeb03cfe4a69d066103068d8","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-22-66850051d62ce6e7b995cbe817b1f0cb11935cb9","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Search Appliance","","0.055","","","","","","","","","","","","1","","","","","","","","","0.055","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-23-52b6f7727f7d10b008bfb4b698e7861cc8c30973","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-23-6cd59ab2a2ee66085dfa17cca8b9ebd31eb44f8e","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Information Technology Infrastructure Core Routing and Switching","","","","1.698","","1.698","1.705","1.708","1.714","","","1.748","true","","","1","1","1","1","1","1","","","","1.698","1.698","1.705","1.708","1.714","1.748","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-24-d89aebbaf4e08542dd0daf5ef323deb41d5b6efd","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-24-cc31d29cb093e57dc1d686743722e6339e88e818","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"AV/VTC Knowledge Wall System","","","0.75","","","","","","","","","","","","1","","","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-25-bf958ab76ba6d81f019d0ec655cf362175b40bce","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-25-449b2e6c8675f62e23a471d31644a9a5f8aab197","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"Records Management System","","","1.041","","","","","","","","","","","","1","","","","","","","","","1.041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-26-ec19e1c0bc184a6012c54d9b09c901ab0f05be43","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-26-f9b2051ea26234c0f178a2fea5d7d9de2b2f6bb9","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
"INTERIM SUPPLY SPT - Labor","","2.534","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a442b08b8bd771872a695526acbef15e519c4d39-0-71581eff48509a521e27c3dc7e0612059879b22a","a442b08b8bd771872a695526acbef15e519c4d39","root.record.ItemExhibitList.P5Item","a442b08b8bd771872a695526acbef15e519c4d39-0-0493519977fb2536763835e99788c7bfb5de2cdb"
"INTERIM SUPPLY SPT -- Materiel","","1.475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a442b08b8bd771872a695526acbef15e519c4d39-1-d596f24a8d22d73555a3a2fcc549231cd73124e4","a442b08b8bd771872a695526acbef15e519c4d39","root.record.ItemExhibitList.P5Item","a442b08b8bd771872a695526acbef15e519c4d39-0-0493519977fb2536763835e99788c7bfb5de2cdb"
"Technical Mission Analysis","","4.149","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a442b08b8bd771872a695526acbef15e519c4d39-2-1af87ccab72c17e2f5957e3c5ac71d045e020181","a442b08b8bd771872a695526acbef15e519c4d39","root.record.ItemExhibitList.P5Item","a442b08b8bd771872a695526acbef15e519c4d39-0-0493519977fb2536763835e99788c7bfb5de2cdb"
"AFSCN Enterprise Systems Engineering and Integration (SE&I)","","1.866","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a442b08b8bd771872a695526acbef15e519c4d39-3-c0d45ca240d4cac8a501b1293b1b4b4ebd658cbb","a442b08b8bd771872a695526acbef15e519c4d39","root.record.ItemExhibitList.P5Item","a442b08b8bd771872a695526acbef15e519c4d39-0-0493519977fb2536763835e99788c7bfb5de2cdb"
"NGDS Increment 1 - Contractor Logistic Support","0","1.861","0.18","0.18","","0.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","afd67fa2da5daa969d8e3153e88a6cb75725035b-0-ad4be683a272169df89eb68a95c3e7905fb4acdd","afd67fa2da5daa969d8e3153e88a6cb75725035b","root.record.ItemExhibitList.P5Item","afd67fa2da5daa969d8e3153e88a6cb75725035b-8-d10cddbae6557b03f6f8f39199f0a291f8526278"
"Initial Spares & Repairs","","","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b7848bb221be4b854e649ccb3a568eb6eba10205-0-55c278e3803c7998672411ab669a741086531def","b7848bb221be4b854e649ccb3a568eb6eba10205","root.record.ItemExhibitList.P5Item","b7848bb221be4b854e649ccb3a568eb6eba10205-0-fc162c4eb3f16474c282a517d509ef80ba2256c8"
"Data","","4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b7848bb221be4b854e649ccb3a568eb6eba10205-1-3b8d2628cd4a446c6d5fcd4cb482ac6e39f2c966","b7848bb221be4b854e649ccb3a568eb6eba10205","root.record.ItemExhibitList.P5Item","b7848bb221be4b854e649ccb3a568eb6eba10205-0-fc162c4eb3f16474c282a517d509ef80ba2256c8"
"Integrated Logistics Support (ILS)","","","","0.235","","0.235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cfad5cf898e41bf86fe8f7b4917baa7621c63223-0-6806608a2d6111354c962bdda7c310732c74b4f3","cfad5cf898e41bf86fe8f7b4917baa7621c63223","root.record.ItemExhibitList.P5Item","cfad5cf898e41bf86fe8f7b4917baa7621c63223-0-8a18ca1415810e9eff147e9d0e5fc17c337aef71"
"Technical and Logistics Data/Services","","2.5","1.277","1.2","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dde209a78f42481659604936289c457735c5e670-0-06e1f5b291ed471c7352e8c8e7ee3928d389d298","dde209a78f42481659604936289c457735c5e670","root.record.ItemExhibitList.P5Item","dde209a78f42481659604936289c457735c5e670-1-824ee2e7959accf41205870e6be2335bc0c6285b"
"Technical and Logistics Data/Services","","0.702","0.493","0.974","","0.974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e5a371d656815b4f1b36fb95831be3066a730b3e-0-315fe83186b998f7eba3baf889f1a705bba273f2","e5a371d656815b4f1b36fb95831be3066a730b3e","root.record.ItemExhibitList.P5Item","e5a371d656815b4f1b36fb95831be3066a730b3e-0-d9c54d27d8f759a80fa34c2304d4b0817f4a5b10"
"INTERIM SUPPLY SPT - Labor","","","2.722","1.804","","1.804","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e72e23969f9e7542f1afcf612ab10272bb861939-0-f735134077069f1fed9c2e49bcc928dc3c5e1861","e72e23969f9e7542f1afcf612ab10272bb861939","root.record.ItemExhibitList.P5Item","e72e23969f9e7542f1afcf612ab10272bb861939-0-e8987b43e6bef0be51b74cd9ef960e598015467e"
"INTERIM SUPPLY SPT -- Materiel","","","5.837","2.841","","2.841","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e72e23969f9e7542f1afcf612ab10272bb861939-1-64d9b234706c342104b52b4f9b0490752760302a","e72e23969f9e7542f1afcf612ab10272bb861939","root.record.ItemExhibitList.P5Item","e72e23969f9e7542f1afcf612ab10272bb861939-0-e8987b43e6bef0be51b74cd9ef960e598015467e"
"Technical Mission Analysis","","","3.819","2.914","","2.914","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e72e23969f9e7542f1afcf612ab10272bb861939-2-7bd9e3ff11852be7ca1a6bfc2e7e24a4d917ea2c","e72e23969f9e7542f1afcf612ab10272bb861939","root.record.ItemExhibitList.P5Item","e72e23969f9e7542f1afcf612ab10272bb861939-0-e8987b43e6bef0be51b74cd9ef960e598015467e"
"Test & Evaluation","","","0.517","0.532","","0.532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e72e23969f9e7542f1afcf612ab10272bb861939-3-147ba17fab45043f12af37bdbcb47f8b7f197380","e72e23969f9e7542f1afcf612ab10272bb861939","root.record.ItemExhibitList.P5Item","e72e23969f9e7542f1afcf612ab10272bb861939-0-e8987b43e6bef0be51b74cd9ef960e598015467e"
"AFSCN Enterprise Systems Engineering and Integration (SE&I)","","","6.535","6.51","","6.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e72e23969f9e7542f1afcf612ab10272bb861939-4-d3ce4fd2bc1813cf4c6b078f85fa5e3b29205e08","e72e23969f9e7542f1afcf612ab10272bb861939","root.record.ItemExhibitList.P5Item","e72e23969f9e7542f1afcf612ab10272bb861939-0-e8987b43e6bef0be51b74cd9ef960e598015467e"
"TSP Initial Spares","","","8.577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","edadb19bc5e29ae3e6120874befe33692d110096-0-806258bdca886253f69a5da2188149055a8c86a2","edadb19bc5e29ae3e6120874befe33692d110096","root.record.ItemExhibitList.P5Item","edadb19bc5e29ae3e6120874befe33692d110096-1-18f89c25657af12cbae6c3118510d206ffd94b3a"
"Interim Contrator Logistic Support","","","2.2","4.933","","4.933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","edadb19bc5e29ae3e6120874befe33692d110096-1-9c5abdffa912d93c23ca636bb775d84455a94c37","edadb19bc5e29ae3e6120874befe33692d110096","root.record.ItemExhibitList.P5Item","edadb19bc5e29ae3e6120874befe33692d110096-1-18f89c25657af12cbae6c3118510d206ffd94b3a"
"TECHNICAL DATA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","0.000","0.000","","","0.06","","","","","","","","A","","bf1ae3d26bec15075c70502bd38411ad28fe5102-0-7bfef81768810c47f946854302d005283485216c","bf1ae3d26bec15075c70502bd38411ad28fe5102","root.record.ItemExhibitList.P5Item","bf1ae3d26bec15075c70502bd38411ad28fe5102-0-3a38b28b016130dad1c08c8db547d66995c1b804"
"INTERIM SUPPLY SUPPORT MATERIAL (PARTS/SUPPLIES)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.545","8.545","1","6.905","6.905","1","8.18","8.18","1","8.18","8.18","1","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-030b7669f6b3e36b6ec47ad2ea4fca69fafde260-0-6aa15bc2b31ebd42e7ac582af03d57edad83255a","A","","030b7669f6b3e36b6ec47ad2ea4fca69fafde260-0-bca63433724b5072880a0300c26d1a331fdcc1a6","030b7669f6b3e36b6ec47ad2ea4fca69fafde260","root.record.ItemExhibitList.P5Item","030b7669f6b3e36b6ec47ad2ea4fca69fafde260-1-0313740fe50b3d6bf972e14240fb1f955d779adb"
"INTERIM SUPPLY SUPPORT SERVICES/LABOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1.011","","","1.478","","","1.478","","","","","","","","","","","","","","","","","A","","030b7669f6b3e36b6ec47ad2ea4fca69fafde260-1-a688e3e4a73d3c45f1fabec032263e2b0ac01013","030b7669f6b3e36b6ec47ad2ea4fca69fafde260","root.record.ItemExhibitList.P5Item","030b7669f6b3e36b6ec47ad2ea4fca69fafde260-1-0313740fe50b3d6bf972e14240fb1f955d779adb"
"Training and Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","0.000","","","0.087","","","0.087","","","","","","0","0.000","0","0.087","0","","","","","","","","","10d01190b0a82c5d54464168aa70bd4314f10d98-0-1371812dd23016aa168284bcc28d4f71079afc6e","10d01190b0a82c5d54464168aa70bd4314f10d98","root.record.ItemExhibitList.P5Item","10d01190b0a82c5d54464168aa70bd4314f10d98-1-1591c976156b5973aa875b408b4c2ac5da4921e0"
