"ProgramElementNumber_val","ProgramElementFunding_Quantity_AllPriorYears_val","ProgramElementFunding_Quantity_Total_val","ProgramElementFunding_Quantity_PriorYear_val","ProgramElementFunding_Quantity_CurrentYear_val","ProgramElementFunding_Quantity_BudgetYearOneBase_val","ProgramElementFunding_Quantity_BudgetYearOne_val","ProgramElementFunding_Quantity_BudgetYearTwo_val","ProgramElementFunding_Quantity_BudgetYearThree_val","ProgramElementFunding_Quantity_BudgetYearFour_val","ProgramElementFunding_Quantity_BudgetYearFive_val","ProgramElementFunding_Quantity_ToComplete_val","ProgramElementFunding_TotalCost_AllPriorYears_val","ProgramElementFunding_TotalCost_PriorYear_val","ProgramElementFunding_TotalCost_CurrentYear_val","ProgramElementFunding_TotalCost_BudgetYearOneBase_val","ProgramElementFunding_TotalCost_BudgetYearOne_val","ProgramElementFunding_TotalCost_BudgetYearTwo_val","ProgramElementFunding_TotalCost_BudgetYearThree_val","ProgramElementFunding_TotalCost_Total_val","ProgramElementFunding_TotalCost_BudgetYearFour_val","ProgramElementFunding_TotalCost_BudgetYearFive_val","ProgramElementFunding_TotalCost_ToComplete_val","ProgramElementFunding_TotalCost_BudgetYearOneOCO_val","ProgramElementFunding_AllPriorYears_Quantity_val","ProgramElementFunding_AllPriorYears_TotalCost_val","ProgramElementFunding_PriorYear_Quantity_val","ProgramElementFunding_PriorYear_TotalCost_val","ProgramElementFunding_CurrentYear_Quantity_val","ProgramElementFunding_CurrentYear_TotalCost_val","ProgramElementFunding_BudgetYearOneBase_Quantity_val","ProgramElementFunding_BudgetYearOneBase_TotalCost_val","ProgramElementFunding_BudgetYearOneOCO_Quantity_val","ProgramElementFunding_BudgetYearOneOCO_TotalCost_val","ProgramElementFunding_BudgetYearOne_Quantity_val","ProgramElementFunding_BudgetYearOne_TotalCost_val","ProgramElementFunding_BudgetYearTwo_Quantity_val","ProgramElementFunding_BudgetYearTwo_TotalCost_val","ProgramElementFunding_BudgetYearThree_Quantity_val","ProgramElementFunding_BudgetYearThree_TotalCost_val","ProgramElementFunding_BudgetYearFour_Quantity_val","ProgramElementFunding_BudgetYearFour_TotalCost_val","ProgramElementFunding_BudgetYearFive_Quantity_val","ProgramElementFunding_BudgetYearFive_TotalCost_val","ProgramElementFunding_ToComplete_Quantity_val","ProgramElementFunding_ToComplete_TotalCost_val","ProgramElementFunding_Total_Quantity_val","ProgramElementFunding_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0101127F","","","","","","","","","","","","","","","","","","","","","","","","0","12.212","0","0.234","0","0.481","0","0.478","","","0","0.478","0","0.475","0","0.483","0","0.491","0","0.5","0","0.000","0","15.354","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-6fbbc009eff71080bd2ae643c8223904357f1006","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-b6f4853b449dffb12d5199a45481a5c6455991ff"
"0401318F","","","","","","","","","","","","","","","","","","","","","","","","0","45.919","0","6.319","0","14.132","0","6.031","","","0","6.031","0","1.896","0","0.000","0","0.000","0","0.000","0","0.000","0","74.297","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-d5652a9380c6c7fdecd958517c91e9c4ab9eb6c0","0424d8adc0de12753a0a7dc939dc55b0785cce8b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-3e9fef8ee873554b453f4fa610e14107b194e148"
"0207138F","","","","","","","","","","","","","","","","","","","","","","","","0","639.991","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","639.991","2ddb26aef7cdb76cf8890008685d942b11569883-0-714696fe9dca720f6bddb3a31bafc849c8914e48","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-71d2445c74273f027a3b7adc9203745d83a090b2"
"0207138F","","","","","","","","","","","","","","","","","","","","","","","","0","110.071","0","32.804","0","11.202","0","10.984","","","0","10.984","0","8.29","0","8.539","0","8.798","0","9.062","0","0.000","0","199.75","2ddb26aef7cdb76cf8890008685d942b11569883-0-be1cf4496e7621642ec1fa1266cb79c9daafbe9a","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-9f3baf63b9e709d8a230e72d8023456f9cc94f73"
"0207138F","","","","","","","","","","","","","","","","","","","","","","","","0","2.693","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","2.693","2ddb26aef7cdb76cf8890008685d942b11569883-0-c0c3569f81b75027e8e93c3995494ea451b3ae75","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-d4f650ea48aceb9b9e1233da29e119480b7f611c"
"0207138F","","","","","","","","","","","","","","","","","","","","","","","","0","0.127","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","3.5","0","0.000","0","0.000","0","3.627","2ddb26aef7cdb76cf8890008685d942b11569883-0-d2b93fcf75d460a00f6fd55be74bb60ee577c36f","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-deed1287f4f5da51e85533913de9e66432cbdc3e"
"0207138F","","","","","","","","","","","","","","","","","","","","","","","","0","32.514","0","6.5","0","6.7","0","5.86","","","0","5.86","0","6.13","0","6.13","0","5","0","5","0","0.000","0","73.834","2ddb26aef7cdb76cf8890008685d942b11569883-0-754ff31ccf5f417c0610f88a7d7103795a043ef2","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-0ff737a71f8ade526bf834e92aad27b59188045e"
"0401130F","","","","","","","","","","","","","","","","","","","","","","","","0","3.607","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","3.607","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-035bc7c1133070ddc1527892442b2928c115ccc2","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-e28301a65e288faea4935f113e447d278a186f3a"
"0401130F","","","","","","","","","","","","","","","","","","","","","","","","0","283.938","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","283.938","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-c4b6419bbabaf675a0813988a47326c8631eec7f","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-7b76d500cf2ca49e94e7c2b0beedfdd1b6ddc5a0"
"0401130F","","","","","","","","","","","","","","","","","","","","","","","","0","17.253","0","7.658","0","2.5","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","27.411","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-50d2d3ce1fa504308bb9f8a6cf8e0c52345912bd","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-ad73c8c545205683dae6930d94d56da43c730468"
"0101113F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.751","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.751","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-17496ca8a4856cfce35e5ff13e77de0d2f22c34c","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-478d9f01ebf4d61e90bde7778913b4c3fe41cd53"
"0101113F","","","","","","","","","","","","","","","","","","","","","","","","2","236.669","0","74.056","0","34.7","0","12.634","","","0","12.634","0","11.923","0","0.000","0","7.251","0","4.025","0","0.000","2","381.258","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-e60cf239f685170008fd4a25d75b7917b7496b55","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-5d43ed84983b3685b3e5a1acae81cb423eae71de"
"0101113F","","","","","","","","","","","","","","","","","","","","","","","","0","34.869","0","12.8","3","16.49","0","11.373","","","0","11.373","0","8.264","0","3.901","0","0.000","0","0.000","0","0.000","3","87.697","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-1368578616570434eab3b26be23666b72dd72da6","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-925ab5765aa27595549041f808beeb19c70c6c1a"
"0101113F","","","","","","","","","","","","","","","","","","","","","","","","4","12.968","0","1.166","0","1.202","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","4","15.336","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-d8effc4d1bc9a4d5e85f18f9ebce98f828ec79e0","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-d9edd9f41b2eb917ed5d50e5b0f501b9be158c8d"
"0305207F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","13.049","0","13.316","0","13.491","","","0","13.491","0","13.685","0","13.926","0","14.177","0","14.432","0","0.000","0","96.076","399d00516df75cfb2d765289abba47af25f6f783-0-3c14b89c1570dea2819aa6edf8bd38d27e171469","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","399d00516df75cfb2d765289abba47af25f6f783-0-2c471a1abdba292dcdc5e427e5740b95c2e8dc19"
"0305202F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","23.644","0","18.7","","","0","18.7","0","11.3","0","12.1","0","8.6","0","8.755","0","0.000","0","83.099","408958287be1d4449ef97c9ae3794e1c4dc1ed5a-0-53bc8522d8369e41fa58acd4a4d2559e63ae5ee8","408958287be1d4449ef97c9ae3794e1c4dc1ed5a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","408958287be1d4449ef97c9ae3794e1c4dc1ed5a-0-78a25516dba90225f2815a7d53d20eebd836ceb5"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","13.246","","3.164","","","","","","","","","","","","","","","","","","","","","63280489ac978b2f311880c8e8237e31824e395c-0-182de97bd04fd6dc8d131ab7c10256e18d9b3b40","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","63280489ac978b2f311880c8e8237e31824e395c-0-bd9a43dd9cda7f13c85589e38f14884f7172c111"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","1.93","","17.083","","37.981","","50.213","","","","50.213","","20.88","","2.69","","","","","","","","130.777","63280489ac978b2f311880c8e8237e31824e395c-0-9869fc1331cc27eef63daae17bec391b6e6ab272","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","63280489ac978b2f311880c8e8237e31824e395c-0-a839a8dfa9307e4ceb8730905e17fd9f6fb061ab"
"0207253F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","19.229","0","12.094","0","10.782","","","0","10.782","0","13.263","0","13.193","0","12.831","0","13.062","0","0.000","0","94.454","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f-0-49332184dd4c9419ee806baf1fb6d7c1e7cd88f9","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f-0-3f9c3bb78cb294beecbbeaaf2c5bea2894a8ac93"
"0305230F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","19.949","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","19.949","7486c8171a92c0b428c8e18f6b1b83b98774c743-0-76ccda254a1e31f0e860f3edddfaf2ad47d2831a","7486c8171a92c0b428c8e18f6b1b83b98774c743","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7486c8171a92c0b428c8e18f6b1b83b98774c743-0-c0d309c20c1fe557b05fe442c91e3c6da4c1b514"
"0207131F","","","","","","","","","","","","","","","","","","","","","","","","0","5.695","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","5.695","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-0-c16129e24587c2d1ab9a8cae2256ffbfe743f376","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7ecbf3d2c868347dd37a2c2c6f26b209c9e40a06-0-f90acb1a3fa091b75b99b2db67cc781db33a8494"
"0207417F","","","","","","","","","","","","","","","","","","","","","","","","0","205.134","0","19.562","0","5.734","0","27.857","","","0","27.857","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","258.287","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-ee9e02ad0b4e1e8503ac9ce9957f64c347acc52a","85597cd913ea3d5ba176a2f874646a4ea8fb1587","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-c58f6973b0f8138b20993d87a7f083cd3463a4ad"
"0207417F","","","","","","","","","","","","","","","","","","","","","","","","0","58.531","0","31.555","0","7.799","0","20","","","0","20","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","117.885","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-c892d6c6c3f91ed1f6265f03fa6b1b617d38e5ee","85597cd913ea3d5ba176a2f874646a4ea8fb1587","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-209bdc1dea38a6d7160febb760117a8115d57946"
"0401218F","","","","","","","","","","","","","","","","","","","","","","","","0","42.64","0","7.393","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","50.033","862e2d15d0f822c8485aa65674eee94dde4da08d-0-67b7e99b8f6cabeef9423da9c0c04557e5534df4","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","862e2d15d0f822c8485aa65674eee94dde4da08d-0-83a23e09daedce1099cebe7072cb1bf059da42f2"
"0401119F","","","","","","","","","","","","","","","","","","","","","","","","0","54.418","0","12.941","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","67.359","9282c1681681500f80124b54352c8721ab25cc67-0-6ee8db6ee64c86238459945d8c1230a0fae10abe","9282c1681681500f80124b54352c8721ab25cc67","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9282c1681681500f80124b54352c8721ab25cc67-0-e60d01610c7a9056eafae2282de5ae9b715d3e88"
"1160482BB","","","","","","","","","","","","","","","","","","","","","","","","","178.985","","32.507","","","","1.251","","","","1.251","","5.839","","2.935","","","","","","0.000","","221.517","94ab2faa4a56c35126b0b88f9746bcd3b0f96482-0-a1adeb6aec78aab21c83b3027e583ae1b2304064","94ab2faa4a56c35126b0b88f9746bcd3b0f96482","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","94ab2faa4a56c35126b0b88f9746bcd3b0f96482-0-9ec3ce54984f0bd7294c3355e55d9e7ad2f91795"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","108.9","","20.3","","27.9","","12.2","","","","12.2","","","","","","","","","","0.000","","169.3","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-0-c7e8f9db4bb55b64347a516317baa4cc403cb43d","94afa63d93a9db193a29b4bb63cac496c5a3ea2a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-0-4fa21fbd97681753972f71fecf9f0d0a2f92662b"
"0401219F","","","","","","","","","","","","","","","","","","","","","","","","0","65.333","2","30.868","0","22.122","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2","118.323","9de970bd63155a8bb67dc6d2bcb69d63844fb920-0-d849f3b07ae38661adaa9f0117e8b44cd7d4c250","9de970bd63155a8bb67dc6d2bcb69d63844fb920","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9de970bd63155a8bb67dc6d2bcb69d63844fb920-0-314e1a6b571876d1eaed3cc8021105021af76207"
"0401115F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","5","0","0.4","","","0","0.4","2","66.1","2","69.8","0","11.8","0","3.5","0","0.000","4","156.6","a28e603a31ab3a36341c9e22da942c39ec237c28-0-c2872d598a991a82c7a771969445f142bc9eb991","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a28e603a31ab3a36341c9e22da942c39ec237c28-0-fbc18301ccfbc67c99d7bfce5bd01c571416cb15"
"0303131F","","","","","","","","","","","","","","","","","","","","","","","","7","114.454","0","10.465","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","7","124.919","a2dd7a746c8265451a4f23539e93186e32b71dde-0-2fa51c1b8627e525b86ada15a8eaaef8522899aa","a2dd7a746c8265451a4f23539e93186e32b71dde","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a2dd7a746c8265451a4f23539e93186e32b71dde-0-52d5c9b7c1e59d261f18ce8f25ff2425d399481a"
"0207134F","","","","","","","","","","","","","","","","","","","","","","","","0","325.609","0","33.353","0","1.351","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","360.313","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-4d115149f1d841020288055aa56410db5c65ba04","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-a2a23d88254a72856566367fc4678a0aaa590427"
"0207130F","","","","","","","","","","","","","","","","","","","","","","","","0","65.272","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","65.272","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-e5b2ad89337531808697de5d63eae1d1fb68373d","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-c9373c72044672e958467c279856cc8890947f9a"
"0207134F","","","","","","","","","","","","","","","","","","","","","","","","7","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","7","0.000","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-392968a3bfa712ecc5738ee20bd2085f3ac3bee9","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-e30326ee5780d86fa1b71adff9fd003c678db71f"
"0207130F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","6.55","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","6.55","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-1bab3e3fffdfdc32cd2e9e8e78423e34e74a56f3","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-278c2d5d9ff2c942931c0b509c7c21d13933be49"
"0207581F","","","","","","","","","","","","","","","","","","","","","","","","0","147.603","0","15.293","0","0.107","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","163.003","c70a9627ffd057d80be1f80f67fc2c78f9ac7780-0-bc959bb6bc09337f657fb2a2fc1dd4140d980f72","c70a9627ffd057d80be1f80f67fc2c78f9ac7780","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c70a9627ffd057d80be1f80f67fc2c78f9ac7780-0-ea1fded76f44ac16b416e3d3feab7bb5db8b4ec8"
"0101126F","","","","","","","","","","","","","","","","","","","","","","","","0","160.602","0","2.2","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","162.802","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-a05ca864bfd5f1ce238e36bb0d92317649d34f1a","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-c5dba91ca4b2dfbbe0374b3ed03c45f39a57ecda"
"0101126F","","","","","","","","","","","","","","","","","","","","","","","","0","49.635","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","49.635","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-0fcbb75fff199d77ea3015c88ad30ecc78ad34f3","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-653992532a6b7c8e56bd48b3c725e8672cf06597"
"0101126F","","","","","","","","","","","","","","","","","","","","","","","","0","88.71","0","0.315","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","89.025","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-13af654798ff6a39c07883203a6983b6b1d9fabe","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-07272f7f18d4a5b40e7cfe6b2eb86685eac1f789"
"0101126F","","","","","","","","","","","","","","","","","","","","","","","","0","140.434","0","19.947","0","3.421","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","163.802","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-bd4d459a459ca728d578c0669e5688e61e80dd67","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-d736d2d535bfaac3e9a373ce5c80424a53881d32"
"1160429BB","","","","","","","","","","","","","","","","","","","","","","","","","5.852","","13.318","","7.634","","0.000","","","","0.000","","0.000","","0.000","","","","","","0.000","","26.804","d5d7441838f362bc4f9184481e280c558aa003eb-0-d317158e299a4d8ad425c73f721fd30dba674de8","d5d7441838f362bc4f9184481e280c558aa003eb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d5d7441838f362bc4f9184481e280c558aa003eb-0-da5797f2c04c69e10e353568cc9da7bd758d076a"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.457","","","","5.457","","2.848","","0.6","","","","","","","","8.905","d5d7441838f362bc4f9184481e280c558aa003eb-1-282b0e233b1ddff40bf805dc8ea44aba4a989a00","d5d7441838f362bc4f9184481e280c558aa003eb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d5d7441838f362bc4f9184481e280c558aa003eb-0-da5797f2c04c69e10e353568cc9da7bd758d076a"
"1160429BB","","","","","","","","","","","","","","","","","","","","","","","","","1.544","","4.773","","11.777","","0.000","","","","0.000","","","","","","","","","","0.000","","18.094","d5d7441838f362bc4f9184481e280c558aa003eb-0-c7e2f784a272fe4a72179747c20017337b4d1c36","d5d7441838f362bc4f9184481e280c558aa003eb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d5d7441838f362bc4f9184481e280c558aa003eb-0-8f7ce647864f7cec1761e446e091074acd8c5e62"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","4","","1.076","","0.579","","0.414","","0.419","","0.000","","6.488","d5d7441838f362bc4f9184481e280c558aa003eb-1-3a4a43b05cd5ddcab145b6a9639b3270ff49971c","d5d7441838f362bc4f9184481e280c558aa003eb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d5d7441838f362bc4f9184481e280c558aa003eb-0-8f7ce647864f7cec1761e446e091074acd8c5e62"
"0207134F","","","","","","","","","","","","358.962","4.822","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-8f9b5951987c8b5063ff7a47f3444a463302b841","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-120151335831f7dd98a810172e3b35af13a6a9c0"
"0207130F","","","","","","","","","","","","65.272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-23cb7a3ed9e9ad5ce66559b1e93f3b132c42dd81","039c77147a4b50d0f39ff452dca8b99aae40cab9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","039c77147a4b50d0f39ff452dca8b99aae40cab9-0-205a7f502f739e614a068ec2ceb291521609e8ac"
"0401218F","2","","","","","","","","","","","50.033","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-d09d82d8bd43b12576d690be525d19f6ada4872f","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0e307d2578a9256a6f7fae65ef43aff7d70dbb9f-0-f39fbfabf45a613b264360154946115d2ecd1684"
