"Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_AllPriorYears_TotalCost_val","Number_val","Title_val","ProductionLinesLayaway_Name_val","ProductionLinesLayaway_Location_val","LayawayCost_val","Description_val","ProductionEnd_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"","","0.623","0.623","","5168072","Removal of the John Deer Furnace","","","623","FY 2016 Base procurement dollars in the amount $0.623 million support removal of the John Deere Furnace at Scranton Army Ammunition Plant.  The furnace has been inactive for over twenty years and is no longer required for plant operations.  This project will remove and scrap the John Deer Furnace to create additional capacity for future production modernization enhancements.","","e4c7f4c038a61d32e0461f1db9af36aa1b024169-2-cc347be69b5b4267f93570c596d6637370c6117c","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.LayawayFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-8-f91259f5794331e09763a7fe1141e1e1eca87643"
"0.239","0.807","0.699","0.699","","5XX8000","Layaway of Industrial Facilities, Minor Efforts Less Than $0.100 Million","Various","","699","FY 2013 Base procurement dollars in the amount of $0.699 million support various minor efforts at active and inactive facilities that preserve and store industrial facilities for reserve capacity.","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-0-ec51e91280f405f442841bc5184fda334dd06351","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root.record.FacilityList.LayawayFacility","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-0-293e6d2a5b44d4284b4db63399c0b2a3d3437ecf"
"1.687","","","","","5118040","Demolition of Bridge Over River, Magazine Area","","","1687","Procurement dollars in the amount of $1.687 million support the demolition of an abandoned bridge which spans the Holston River. In the 1970s, due to unsafe conditions, this bridge was abandoned and a new bridge was built. Since that time, the abandoned bridge has continued to deteriorate. Along with unsafe conditions, if the bridge would fall into the Holston River, it would present environmental issues.","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-0-bc0634959b961937f0057dcf6332c6949a027f15","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root.record.FacilityList.LayawayFacility","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-1-278db68909dc1d8c96d06f000df4f6f253f04f9b"
"5.142","3.858","","","","5XX8100","Decontamination and Disposal of Excess Buildings/Equipment","Buildings: K-10, 254, M-10, N-10, N-10A, 255, O-9, 411, I-1, J-1, M-1, C-1, H-2, I-2","","3858","Procurement dollars in the amount of $3.858 million support this effort to continue the decontamination and disposal of excess buildings that have become a safety and environmental concern.  The buildings contained in this phase are:  K-10, 254, M-10, N-10, N-10A, 255, O-9, 411, I-1, J-1, M-1, C-1, H-2, I-2, as well as abandoned steam lines, fences, supports, piping, electrical lines, etc in Area B.","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-1-a6c32e8dbcea27e9a90f0df3fa07a920d8ed3e6d","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root.record.FacilityList.LayawayFacility","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-1-278db68909dc1d8c96d06f000df4f6f253f04f9b"
"","","2.863","2.863","","5138051","Facility Disposal/Demolition","","","2863","FY 2013 Base procurement dollars in the amount of $2.863 million support efforts to decontaminate, remove asbestos and demolish facilities plantwide due to unsafe conditions and environmental risks.","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-0-bc9d6188df001ad1fa03819fa06a233bad244c46","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root.record.FacilityList.LayawayFacility","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-2-f0c8881693464b23421247ca1165d8c377f5e076"
"","1.044","1.061","1.061","","5XX8049","Decontamination and Disposal of Excess Production Equipment","","","1061","FY 2013 Base procurement dollars in the amount of $1.061 million support decontamination and disposal of excess equipment no longer required for production at Iowa Army Ammunition Plant.","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-1-6fa7831dc1987d871c23a9a98abad7671ee5541b","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root.record.FacilityList.LayawayFacility","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-2-f0c8881693464b23421247ca1165d8c377f5e076"
"0.492","","","","","5118046","Removal of Roof and Siding on Building 32-310","Building 32-310","","492","Procurement dollars in the amount of $0.543 million support the removal, disposal, and replacement of the asbestos roof and walls of Building 32-310 in preparation of storing equipment in the building.","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-0-16f41d546201ecdebf367a20cf3c7ec6bb07733e","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root.record.FacilityList.LayawayFacility","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-3-7e7acad87fdc7c9d01da88ff9cfe0de01a916209"
"","1.632","","","","5128053","Layaway of Steel Cartridge Case Equipment","105mm M148A1B1, 155mm AGC, 5","","1632","Procurement dollars in the amount of $1.632 million support effort to layaway the deep drawn steel cartridge case equipment at the Quad City Cartridge Case Facility.","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-0-6c30f1d3fe60ed857bbc27b3f7892d64a044a1f9","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root.record.FacilityList.LayawayFacility","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-4-a3864acba5955066dd1eeeac690f5b47e7ee0df6"
"","2.11","0.582","0.582","","5XX8440","Decontamination and Disposal of Facilities/Excess Production Equipment","","","582","FY 2013 Base procurement dollars in the amount of $0.582 million support this effort to decontaminate and dispose of excess production equipment and facilities at Radford Army Ammunition Plant.","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-0-f7229ddb228cb24dc6a71dc4ef19f20177793864","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root.record.FacilityList.LayawayFacility","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-5-482879921161ddda8733fdc3f7cc5f85ca1e8fbb"
"","","4.425","4.425","","5138047","Remove Nitrocellulose (NC) Hill Tanks","","","4425","FY 2013 Base procurement dollars in the amount of $4.425 million support efforts to remove waste NC from recovered water tanks, decontaminate, demolish, remove and dispose of the tanks, foundation pad and associated piping.  These efforts will significantly reduce environmental and safety issues associated with large quantities of legacy NC.","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-1-c255f195d14295dfca9f782b442edb16e082516a","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root.record.FacilityList.LayawayFacility","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-5-482879921161ddda8733fdc3f7cc5f85ca1e8fbb"
"0.534","0.555","0.577","0.577","","U7667","Layaway of Industrial Facilities (LIF)","","","","","","877107cb2724207f267054c56e0f0f4b4c79debd-0-bb16779acb8bfe02c65e2f650fd20ef44da51970","877107cb2724207f267054c56e0f0f4b4c79debd","root.record.FacilityList.LayawayFacility","877107cb2724207f267054c56e0f0f4b4c79debd-0-fb6d7eb2706d0a10763ac9b01f7607d50d63ff01"
