"Name_val","Recurring_CostElementList_CostElement","Recurring_CategorySubtotal_TotalCost_AllPriorYears_val","Recurring_CategorySubtotal_TotalCost_PriorYear_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOne_val","Recurring_CategorySubtotal_TotalCost_CurrentYear_val","Recurring_CategorySubtotal_TotalCost_Total_val","Recurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","Recurring_CategorySubtotal_TotalCost_BudgetYearThree_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFour_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Recurring_CategorySubtotal_TotalCost_Continuing_val","Recurring_CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CostElementList_CostElement","NonRecurring_CategorySubtotal_TotalCost_CurrentYear_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOne_val","NonRecurring_CategorySubtotal_TotalCost_PriorYear_val","NonRecurring_CategorySubtotal_TotalCost_AllPriorYears_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","NonRecurring_CategorySubtotal_TotalCost_ToComplete_val","NonRecurring_CategorySubtotal_TotalCost_Total_val","NonRecurring_CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearThree_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFour_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-dd889304f6254cb24463edbf0837540af3dc27d0","0","9.051","7.233","","7.233","4.041","","14.037","26.02","25.418","22.876","true","","0","9.051","8.32","","8.32","4.041","","","14.037","26.02","25.418","22.876","true","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-a655f0bd616fd0bc3d1aa185c5c0387edb82a85e","0","1.087","1.087","0","0","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-8f5bf2db5d87970ef8a64fe239b440b18417c8e8","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-3-7afcb80dc4811ac30f600753bd0d35f53aa5c38c"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-e6f39369f2187195dafbbe8375cc2c315de98693","0","26.161","7.125","","7.125","5.218","","17.908","22.508","28.556","35.866","true","","0","27.306","7.125","","7.125","5.218","","","17.908","22.508","28.556","35.866","true","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-59bf4fbcd73968bb31c86f87bc16e781ad27d2b6","0","0","0","1.145","0","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-3849cd3776acd12d2f1206b44cfb8ef45ade1d65","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-4-5f148ae2b0abbac392904946167225cfb82b42aa"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-7e01d0b5581275558640e96ff2a606a32de18243","0","0","3.715","","3.715","5.261","","8.913","14.862","12.058","9.958","true","","0","0","3.715","","3.715","5.261","","","8.913","14.862","12.058","9.958","true","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-8c49b9f21327290f7be752084bd65f13d446f747","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-5-1c6f7f992fc7213060df206535fa82e3df87c5f6"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-5095ccfe9ade21229c594cf0b7160adb9fb34fcf","0","0.5","0","","0","1.227","1.727","0","0","0","0","","0","0","0.5","0","","0","1.227","0","1.727","0","0","0","0","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-7db53725e8955066e31b5e9b244edd0ffd5435f4","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-6-7add79f9dcee2adcbe175d5636b6635d857aedf2"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-a4d4112a3f9ed414a2abe2f7feab90b987abeb09","0","0","2.2","","2.2","0","","5","3","16.234","16.611","true","","0","0","2.2","","2.2","0","","","5","3","16.234","16.611","true","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-3b587f054c1fe0b5806b2241516ad247953c7a1a","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-7-3870632906e7ebf132cf0c3da1a8e1cea9cfd92d"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-13131274777b1c7ade20bd1fed7a4cc7a503c382","0","0","0","","0","1.845","9.06","7.215","0","0","0","","0","0","0","0","","0","1.845","0","9.06","7.215","0","0","0","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-de2bd97514de6833297b191b0781d224712e1272","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-8-a88d9dea8989f36e871ebd4b8259133f99b60d15"
"","","","","","","","","","","","","","","","0","1.311","0","","0","0","0","1.311","0","0","0","0","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-6d605aaba95f6ad2d1954429bb1e5bbff8851362","0","0","0","1.311","0","","0","1.311","","0","0","0","0","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-b5edffcfaed86a1f009d1c40d797288f82a49c63","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-10-829e76c4ecde5149bdea77d9ccbc39e61fbb753b"
"M986 CHG, DEMO SHEET, 9FT PETN","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7f75c87add83c625efc8a57b528355ce30328749-0-c458fdce248cf4e0d4373076c862bb8891e6f098","0.733","","1.7","0.261","1.961","0.259","","","","","","","","0.733","","1.7","0.261","1.961","0.259","","","","","","","","","","","","","","","","","","","","","","7f75c87add83c625efc8a57b528355ce30328749-0-03a79abea9180b62d8d80244b9c52b706d959c6f","7f75c87add83c625efc8a57b528355ce30328749","root.record.ItemExhibitList.P5Item","7f75c87add83c625efc8a57b528355ce30328749-0-f6de4173205a6c90598786a4bb0e22ef43cbf73c"
"M982 Charge, Demolition Sheet 0.161 Inch Thick","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-7f75c87add83c625efc8a57b528355ce30328749-1-28cb668a5730c82b7365b8796d107aab2fca2d45","","1.255","","","","0.259","","","","","","","","","1.255","","","","0.259","","","","","","","","","","","","","","","","","","","","","","7f75c87add83c625efc8a57b528355ce30328749-1-f543ff69b79422532af3cc2c28c31b0b35c8eb9f","7f75c87add83c625efc8a57b528355ce30328749","root.record.ItemExhibitList.P5Item","7f75c87add83c625efc8a57b528355ce30328749-0-f6de4173205a6c90598786a4bb0e22ef43cbf73c"
"PRIOR YEARS CUMULATIVE FUNDING","","","","","","","","","","","","","","","66.349","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-7f75c87add83c625efc8a57b528355ce30328749-2-9db32ba95d39167ac373598cd04048d54f562efd","","","","","66.349","","","","","","","","","7f75c87add83c625efc8a57b528355ce30328749-2-efde56c16938f7bc8cab9c1f50014bf67867ca06","7f75c87add83c625efc8a57b528355ce30328749","root.record.ItemExhibitList.P5Item","7f75c87add83c625efc8a57b528355ce30328749-0-f6de4173205a6c90598786a4bb0e22ef43cbf73c"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-813d2235c13f03f66979e457637d4fffc02c3d68-0-a9abec4d7eda60dc4ef2cfbcc9cd554900cae808","42.629","","","","","1.934","44.563","","","","","","","62.125","","","","","1.934","","64.059","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-813d2235c13f03f66979e457637d4fffc02c3d68-0-9958c6369d5360fedf9a13ecfd6805ab63332a42","","","","","19.496","","","19.496","","","","","","813d2235c13f03f66979e457637d4fffc02c3d68-0-98fa69881027422059410c815c73f4c41594e570","813d2235c13f03f66979e457637d4fffc02c3d68","root.record.ItemExhibitList.P5Item","813d2235c13f03f66979e457637d4fffc02c3d68-0-f5aff82d45a2b1ecb97989c36f27fb21885516ac"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-814059d48caeb207469633185de51feb6132c5dd-0-e20fb4cc58e70b836011632e7a92c89adb5afad9","1.547","5.297","1.89","","1.89","6.615","","","","","","","","1.547","5.297","1.89","","1.89","6.615","","","","","","","","","","","","","","","","","","","","","","814059d48caeb207469633185de51feb6132c5dd-0-64f8e06711666f7f27d16584808db33cf374a988","814059d48caeb207469633185de51feb6132c5dd","root.record.ItemExhibitList.P5Item","814059d48caeb207469633185de51feb6132c5dd-0-222523b189606de2e460add51309554cfe0fdf23"
"Survival Electronics","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-82acd388c839cebb54089ec5af52e8e8cbbb4f85-0-b3dadfadc53b151d9dad8f61b8ddbee76a1fcab0","0","0.404","0","0","0","0","","","","","","","","0","0.404","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","82acd388c839cebb54089ec5af52e8e8cbbb4f85-0-48bc6f789c953872ab8677d60108dc8ceb63e6b7","82acd388c839cebb54089ec5af52e8e8cbbb4f85","root.record.ItemExhibitList.P5Item","82acd388c839cebb54089ec5af52e8e8cbbb4f85-0-6818b522649bdfe01d11aa48809e234952b9012f"
"Helmets, Hearing and Display","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-82acd388c839cebb54089ec5af52e8e8cbbb4f85-1-de1b77127e439955c5c97e6451e951840d244542","0","21.66","17.984","0","17.984","24.752","","","","","","","","0","21.66","17.984","0","17.984","24.752","","","","","","","","","","","","","","","","","","","","","","82acd388c839cebb54089ec5af52e8e8cbbb4f85-1-29f0e9133cbc1fd329cadb7def9effc5086079c0","82acd388c839cebb54089ec5af52e8e8cbbb4f85","root.record.ItemExhibitList.P5Item","82acd388c839cebb54089ec5af52e8e8cbbb4f85-0-6818b522649bdfe01d11aa48809e234952b9012f"
"Hardware PEMA","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-82acd388c839cebb54089ec5af52e8e8cbbb4f85-0-c9746087d85583be9bacc88fdd717250822eaaec","0","7.204","5.558","0","5.558","6.113","","","","","","","","0","7.204","5.558","0","5.558","6.113","","","","","","","","","","","","","","","","","","","","","","82acd388c839cebb54089ec5af52e8e8cbbb4f85-0-896b9d97f8e0dd82860b06c6ff7fcd8d9636ae56","82acd388c839cebb54089ec5af52e8e8cbbb4f85","root.record.ItemExhibitList.P5Item","82acd388c839cebb54089ec5af52e8e8cbbb4f85-1-e72d20141b64ba093d8d795b89a4a34bd73cfc30"
"Missile Hardware","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-50c3bc833ea1f255f23061ad76c7d285d8d7f8aa","1544.226","5.04","0","0","0","0","","","","","","","","1544.226","5.04","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-040ca4ad44627cf8a1f3a3db766b49be3a86919c","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-aa8d8cd427a531998bf28e9e3b851b41ef93339f"
"Redesign","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-52a6a2390998e436d97c815b7b055c0ed1c38061","2639.586","93.7","47.687","0","47.687","60.434","","","","","","","","2639.586","93.7","47.687","0","47.687","60.434","","","","","","","","","","","","","","","","","","","","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-6c3ed629df84b7d5f1e98e2e71ac751598b46355","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-aa8d8cd427a531998bf28e9e3b851b41ef93339f"
"Joint Fuze Sustainment","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-2-367fe7b97795e0c974c89ea4e11c69809c5c78ce","0","4","23.1","0","23.1","14.4","","","","","","","","0","4","23.1","0","23.1","14.4","","","","","","","","","","","","","","","","","","","","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-2-c647f7f9958b38092d0e3259dfb3741f6a8a0790","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-aa8d8cd427a531998bf28e9e3b851b41ef93339f"
"Production Support","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-3-d0edeb0a94277febc156da0b76c028744c946af1","1074.237","203.29","210.177","0","210.177","206.265","","","","","","","","1074.237","203.29","210.177","0","210.177","206.265","","","","","","","","","","","","","","","","","","","","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-3-233adebffbf8f94b9026e8aec1b892d9bda76e8c","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-aa8d8cd427a531998bf28e9e3b851b41ef93339f"
"Guidance Hardware","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-4-d4f1b7648c046478ecb650ea6751eb09b6cac99e","1133.681","267.723","177.671","0","177.671","170.342","","","","","","","","1133.681","267.723","177.671","0","177.671","170.342","","","","","","","","","","","","","","","","","","","","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-4-9ad5f63f24155e422a87c5075695dea4e9b480f7","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-aa8d8cd427a531998bf28e9e3b851b41ef93339f"
"Fleet Return Missile Electronic SPALT Kits","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-5-c7c14c0aa9dccadd80e1dc748aadb984d82f55d0","0","11.324","155.412","0","155.412","145.007","","","","","","","","0","11.324","155.412","0","155.412","145.007","","","","","","","","","","","","","","","","","","","","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-5-ad9a98960bde1d8236c2adaf18bc9ce254e54f61","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-aa8d8cd427a531998bf28e9e3b851b41ef93339f"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83a47bb9611f19c6f273723ad32729065f5d830c-0-ee61e70e8019a3570521f1055d40ace93ff06ad5","2.382","","","","","0.608","","","","","","","","2.382","","","","","0.608","","","","","","","","","","","","","","","","","","","","","","83a47bb9611f19c6f273723ad32729065f5d830c-0-ab001a199bc61a4c54dca43627f9776b77071fc3","83a47bb9611f19c6f273723ad32729065f5d830c","root.record.ItemExhibitList.P5Item","83a47bb9611f19c6f273723ad32729065f5d830c-0-da31bbd376ba54723a711d6f5acfee0c11ec23fa"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83a47bb9611f19c6f273723ad32729065f5d830c-0-db31149052a60bce209c4b9dd5e5abdff3cba91b","","","3.311","","3.311","","","","","","","","","","","3.311","","3.311","","","","","","","","","","","","","","","","","","","","","","","83a47bb9611f19c6f273723ad32729065f5d830c-0-4c68904e1d707278a05ce796912ca1035516bfc5","83a47bb9611f19c6f273723ad32729065f5d830c","root.record.ItemExhibitList.P5Item","83a47bb9611f19c6f273723ad32729065f5d830c-1-b801f67aa438c09a9d23f68808c086031cccd079"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83a47bb9611f19c6f273723ad32729065f5d830c-0-286adac127c3d2a3dc93ef9e739a8cb78c5fdf84","","","5.231","","5.231","","","","","","","","","","","5.231","","5.231","","","","","","","","","","","","","","","","","","","","","","","83a47bb9611f19c6f273723ad32729065f5d830c-0-01990509326df5802b69bc5d5edc789078056138","83a47bb9611f19c6f273723ad32729065f5d830c","root.record.ItemExhibitList.P5Item","83a47bb9611f19c6f273723ad32729065f5d830c-2-b6965f235c6ffe9284f0397a7e22598b458ebb34"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83a47bb9611f19c6f273723ad32729065f5d830c-0-500bc422c8eb52ea7d4117f27063dbcbaacc008a","","","1.238","","1.238","","","","","","","","","","","1.238","","1.238","","","","","","","","","","","","","","","","","","","","","","","83a47bb9611f19c6f273723ad32729065f5d830c-0-c51357af172a2fd6720456b05d858bec78e8f4c1","83a47bb9611f19c6f273723ad32729065f5d830c","root.record.ItemExhibitList.P5Item","83a47bb9611f19c6f273723ad32729065f5d830c-3-b13faa90ab0360cf871482d4b5abf40b994b8f2b"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83a47bb9611f19c6f273723ad32729065f5d830c-0-43ab8e03d373c17e2c89b3b40b44963aac75f242","","","11.951","","11.951","","","","","","","","","","","11.951","","11.951","","","","","","","","","","","","","","","","","","","","","","","83a47bb9611f19c6f273723ad32729065f5d830c-0-09f9e74c2edfa387f4cd832f91eeaeb0868dd0e1","83a47bb9611f19c6f273723ad32729065f5d830c","root.record.ItemExhibitList.P5Item","83a47bb9611f19c6f273723ad32729065f5d830c-4-2706b931b20d105953eb3dae2f5b9c43ed9e65fe"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83a47bb9611f19c6f273723ad32729065f5d830c-0-6f4db4bd3494f6f3a269d0cccb07e39adc6d3129","883.793","62.885","","18.521","18.521","8.169","","","","","","","","883.793","62.885","","18.521","18.521","8.169","","","","","","","","","","","","","","","","","","","","","","83a47bb9611f19c6f273723ad32729065f5d830c-0-be014c4322bcb726aaf4cd4761245d05b868764a","83a47bb9611f19c6f273723ad32729065f5d830c","root.record.ItemExhibitList.P5Item","83a47bb9611f19c6f273723ad32729065f5d830c-5-be4171425cafad767b6d7081a03620640a9632bd"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83a47bb9611f19c6f273723ad32729065f5d830c-0-c8d1055358825b504b62bfba9d30b65f0076db37","312.963","20.324","20.148","","20.148","21.993","","","","","","","","312.963","20.324","20.148","","20.148","21.993","","","","","","","","","","","","","","","","","","","","","","83a47bb9611f19c6f273723ad32729065f5d830c-0-b9c372d763a7d84e242f7571b4b443e374b01f30","83a47bb9611f19c6f273723ad32729065f5d830c","root.record.ItemExhibitList.P5Item","83a47bb9611f19c6f273723ad32729065f5d830c-6-711d42cd469180d058cfbc28d54dec16c6949eb2"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83bce895ee139e970b88a64dc4a9e5404d420698-0-92ab42c2bf0cbf39fd83cf3c787fe1dd06fe0327","99.245","2.516","2.23","0.145","2.375","2.165","","","","","","","","99.245","2.516","2.23","0.145","2.375","2.165","","","","","","","","","","","","","","","","","","","","","","83bce895ee139e970b88a64dc4a9e5404d420698-0-43a0847598edc2ced795115a890691bb3188709d","83bce895ee139e970b88a64dc4a9e5404d420698","root.record.ItemExhibitList.P5Item","83bce895ee139e970b88a64dc4a9e5404d420698-0-2dd80bb57945c1815923ad985f1b07b543af46ad"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-83d015706c30c0fd0fb46f441460f7bb6012acc9-0-9b1326bebb75a7d18479a046426e3cb8d4ee2bbd","303.518","7.922","3.371","1.14","4.511","7.645","","","","","","","","303.518","7.922","3.371","1.14","4.511","7.645","","","","","","","","","","","","","","","","","","","","","","83d015706c30c0fd0fb46f441460f7bb6012acc9-0-332672a086b2871ba0a91c395345b5dbcb36bf78","83d015706c30c0fd0fb46f441460f7bb6012acc9","root.record.ItemExhibitList.P5Item","83d015706c30c0fd0fb46f441460f7bb6012acc9-0-1e60606c19faf084a7aaccb8c53b2d5d7f1068a8"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-847f7453d60a7a4e0a6b60a5f2ba33b55f2390b0-0-e959780c6a0d16789a00a3d27b8147ed487a8ca2","57.797","22.651","3.606","","3.606","25.598","","","","","","","","57.797","22.651","3.606","","3.606","25.598","","","","","","","","","","","","","","","","","","","","","","847f7453d60a7a4e0a6b60a5f2ba33b55f2390b0-0-0e7d2594c4960694ff3e2f46ff1d6ca6477448e8","847f7453d60a7a4e0a6b60a5f2ba33b55f2390b0","root.record.ItemExhibitList.P5Item","847f7453d60a7a4e0a6b60a5f2ba33b55f2390b0-0-acff55a389bbb1f55e90fe9749bf4ac2964d93fd"
"G940-GREN HAND SMOKE, GREEN M18","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-0-6851c33bef696ac494d4cab13e27cb0c15e03f91","0.953","2.146","","","","","","","","","","","","0.953","2.146","","","","","","","","","","","","","","","","","","","","","","","","","","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-0-5177de250d114c2f6fc742084cb43e2b8a5a9dce","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b","root.record.ItemExhibitList.P5Item","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-0-17146f2a2a8f70a319105e853dce8db20c7afa8a"
"G945-GREN HAND SMOKE, YELLOW M18","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-1-970a8afbd307b9085c22ad0f93d953d2689b58da","1.569","2.036","","","","","","","","","","","","1.569","2.036","","","","","","","","","","","","","","","","","","","","","","","","","","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-1-3424e027e2dddfb3647bc447603c9936d4bebcae","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b","root.record.ItemExhibitList.P5Item","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-0-17146f2a2a8f70a319105e853dce8db20c7afa8a"
"G982-GREN HAND SMOKE, WHITE M83","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-2-79868d7db6ee7007e30883af7cbae76c73718232","1.067","2.036","0.775","","0.775","","","","","","","","","1.067","2.036","0.775","","0.775","","","","","","","","","","","","","","","","","","","","","","","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-2-4bee2f23f1b802db6594217613e77ef011892f5a","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b","root.record.ItemExhibitList.P5Item","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-0-17146f2a2a8f70a319105e853dce8db20c7afa8a"
"GG24 - GREN, 66MM SSVL MK 1 MOD 0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-3-914a5ada8cdd68024c4bcdba08e88c55444e643e","3.691","","","","","","","","","","","","","3.691","","","","","","","","","","","","","","","","","","","","","","","","","","","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-3-a1b32ea3ffa5f61db5bcd9397d5f4074c330c5ef","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b","root.record.ItemExhibitList.P5Item","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-0-17146f2a2a8f70a319105e853dce8db20c7afa8a"
"K765 - RIOT CONTROL AGENT, CS","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-4-62dd80a496c34c9ebd54c88466920d05653b145b","0.332","","","","","","","","","","","","","0.332","","","","","","","","","","","","","","","","","","","","","","","","","","","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-4-7255bcf17f1012e1963c3b24d18b0048eb15ccab","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b","root.record.ItemExhibitList.P5Item","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-0-17146f2a2a8f70a319105e853dce8db20c7afa8a"
"LA44 - SIMULATOR, SIGNAL & ILLUM WHITE STAR GF 1.5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-5-da4a3e1d4da93decdfdcc70bb69b6330589df9ce","0.877","","0.197","","0.197","0.524","","","","","","","","0.877","","0.197","","0.197","0.524","","","","","","","","","","","","","","","","","","","","","","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-5-43dcace866f01a92cc85db5090b6ad288878cac1","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b","root.record.ItemExhibitList.P5Item","84dd8f90a9f4b172ddf293ab4b81e0c657a2f30b-0-17146f2a2a8f70a319105e853dce8db20c7afa8a"
