"@projectCategoryName","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Number_val","Title_val","CostElementList_Construction_PriorYear_TotalCost_val","CostElementList_Construction_CurrentYear_TotalCost_val","CostElementList_Construction_BudgetYearOneBase_TotalCost_val","CostElementList_Construction_BudgetYearOne_TotalCost_val","CostElementList_Construction_BudgetYearOneOCO_TotalCost_val","CostElementList_Equipment_PriorYear_TotalCost_val","CostElementList_Equipment_CurrentYear_TotalCost_val","CostElementList_Equipment_BudgetYearOneBase_TotalCost_val","CostElementList_Equipment_BudgetYearOne_TotalCost_val","CostElementList_Equipment_BudgetYearOneOCO_TotalCost_val","CostElementList_EquipmentInstallation_PriorYear_TotalCost_val","CostElementList_EquipmentInstallation_CurrentYear_TotalCost_val","CostElementList_EquipmentInstallation_BudgetYearOneBase_TotalCost_val","CostElementList_EquipmentInstallation_BudgetYearOne_TotalCost_val","CostElementList_EquipmentInstallation_BudgetYearOneOCO_TotalCost_val","CostElementList_ContractorSupport_PriorYear_TotalCost_val","CostElementList_ContractorSupport_CurrentYear_TotalCost_val","CostElementList_ContractorSupport_BudgetYearOneBase_TotalCost_val","CostElementList_ContractorSupport_BudgetYearOne_TotalCost_val","CostElementList_ContractorSupport_BudgetYearOneOCO_TotalCost_val","CostElementList_Other_BudgetYearOneBase_TotalCost_val","CostElementList_Other_BudgetYearOne_TotalCost_val","CostElementList_Other_CurrentYear_TotalCost_val","CostElementList_Other_PriorYear_TotalCost_val","CostElementList_Other_BudgetYearOneOCO_TotalCost_val","CostElementList_OtherInHouseSupport_CurrentYear_TotalCost_val","CostElementList_OtherInHouseSupport_PriorYear_TotalCost_val","CostElementList_OtherInHouseSupport_BudgetYearOneBase_TotalCost_val","CostElementList_OtherInHouseSupport_BudgetYearOne_TotalCost_val","CostElementList_OtherInHouseSupport_BudgetYearOneOCO_TotalCost_val","CostElementList_CorpsOfEngineersSupport_PriorYear_TotalCost_val","CostElementList_CorpsOfEngineersSupport_CurrentYear_TotalCost_val","EndItemSupportedModel_val","MilestoneList_InitialProjectAward_val","MilestoneList_FinalProjectAward_val","MilestoneList_ConstructionComplete_val","MilestoneList_EquipmentInstallationComplete_val","MilestoneList_ProveOutBegins_val","MilestoneList_ProveOutComplete_val","MilestoneList_FinalDesignComplete_val","MilestoneList_ConceptDesignComplete_val","NarrativeExplanation_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Production Support","","1.75","","","5133725","Weather Damage Repair","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-06","2013-06","","","","","","","FY 2013 Sandy Aid Supplemental procurement dollars support weather damage repair as a result of a June 2012 derecho with additional damage from Hurricane Sandy (Oct 2012) at Radford Army Ammunition Plant.  Efforts include repair to facilities and roof, utilities and power lines and tree removal efforts.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-14-d816af4873d9154fae16876e47d3e2aca682fd2a","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-4-c44a4708d97c74f41792dcf8f9f2874c31dc7e41"
"Production Support","","1.184","","","5132675","Rehabilitate Lathes","","","","","","","1.085","","","","","0.036","","","","","0.005","","","","","","0.058","","","","","","","","","","120mm Mortar, M1, M107, M110, M795, MK64","2013-05","2013-05","","2014-03","2014-03","2014-03","2013-06","","FY 2013 Base procurement dollars in the amount of $1.184 million support the upgrade of four hydraulic tracer lathes at Scranton Army Ammunition Plant.  The lathes will be upgraded from relay logic to state-of-the art computer numerically controlled (CNC) systems.  This modernization effort will result in energy savings, reduce maintenance costs due to leaks and contamination and increase personnel safety due to the separation of high and low voltage components.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-2d37eaa48a7c6c0460b87a89e1cfaf6f1e408055","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-c6a3a7b83b660780f52a476838c5150217a48eac"
"Production Support","1.838","","","","5122668","Replace Bonderizer Systems","0.2","","","","","1.25","","","","","0.25","","","","","","","","","","","","","0.025","","","0.113","","","","","","120mm Mortar, M1, M107, M110, M795, MK64","2012-05","2012-05","","2013-08","2013-09","2013-10","2012-11","","Procurement dollars in the amount of $1.838 million support replacement of two bonderizer systems at Scranton Army Ammunition Plant.  The legacy bonderizer systems have deteriorated from continuous operations to the state where routine maintenance upgrades are no longer sufficient or cost effective.  This effort will also include modernization upgrades to the material handling system.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-394e6a3fd81be8846fbc696315c72114de5f9b04","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-c6a3a7b83b660780f52a476838c5150217a48eac"
"Production Support","","4.469","3.313","3.313","51X3013","Modernization of Flexible Machining Cell","","","","","","","4.157","2.113","2.113","","","0.074","0.805","0.805","","","0.017","0.073","0.073","","0.322","0.322","0.221","","","","","","","","","","120mm Mortar, M1, M107, M795, M110","2014-01","2014-01","","2014-12","2015-01","2015-01","2014-03","","FY 2014 Base procurement dollars in the amount of $3.313 million support this effort to modernize various equipment utilized throughout the flexible machining cell at Scranton Army Ammunition Plant.  The effort will design and build a new centering machine, along with upgrading three existing centering machines.  The relay logic control system will be replaced with a Programmable Logic Controller (PLC).  Numerous pieces of equipment supporting the projectile metal parts production lines will be upgraded, allowing multiple operations to be performed simultaneously.  This modernization effort will result in energy savings, reduce maintenance costs due to leaks and contamination, and make troubleshooting safer due to the separation of high and low voltage components.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-2-5b0de3457afee178315bba2f4647ae9d1b697196","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-c6a3a7b83b660780f52a476838c5150217a48eac"
"Production Support","","","1.107","1.107","5143550","Rehabilitate Subway Floor and Arches","","","1.038","1.038","","","","","","","","","","","","","","0.069","0.069","","","","","","","","","","","","","","120mm Mortars, M1, M107, M110, M795, MK64","2014-03","2014-03","2014-11","","2014-11","2014-11","2014-04","","FY 2014 Base procurement dollars in the amount of $1.107 million support this effort to rehabilitate subway floors and arches at Scranton Army Ammunition Plant.  The building infrastructures experience water leaks, which causes rebar to rust and sections of concrete to break and fall into active work areas.  This project will perform structural repairs to avoid production interruption and water damage.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-3-bb6aa7126a6d64b14d89f62bf3136c8c24a8c12f","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-c6a3a7b83b660780f52a476838c5150217a48eac"
"Production Support","","2.022","","","5133282","Upgrade Subway Shotblast Area","","","","","","","1.647","","","","","0.248","","","","","","","","","","","0.127","","","","","","","","","","120mm Mortar, M1, M107, M110, M795, MK64","2013-05","2013-05","","2014-01","2014-01","2014-01","2012-07","","FY 2013 Base procurement dollars in the amount of $2.022 million support this effort to modernize the subway shotblast area for the production of large-caliber metal parts at Scranton Army Ammunition Plant.  The shotblast area was constructed over 50 years ago and has exceeded its useful life.  This project will result in reduced maintenance costs and decreased production downtime.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-4-5f6a9f809d5bf58e658e716542f92b480b04e200","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-c6a3a7b83b660780f52a476838c5150217a48eac"
"Production Support","","0.59","","","5133524","New Crane Rails for Billet Yard Crane","","0.352","","","","","0.208","","","","","0.03","","","","","","","","","","","","","","","","","","","","","120mm Mortar, M1, M107, M110, M795, MK64","2013-08","2013-08","2013-12","2013-12","2013-12","2013-12","2013-08","","FY 2013 Base procurement dollars in the amount of $0.590 million support this project to modernize the existing billet yard crane rails with new crane rails for handling steel billets into the forge shop.  The crane rails have been in use for decades, and the existing crane rails are nearing the end of their useful life.  The crane rails are required for the continued production of large-caliber metal parts.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-04bfbabbeaff659cd5e8f4596bfa12c8916005b7","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-c6a3a7b83b660780f52a476838c5150217a48eac"
"Production Support","","","0.778","0.778","5143702","Replace Waste Treatment Facility, Production Shop","","","0.108","0.108","","","","0.59","0.59","","","","0.069","0.069","","","","0.011","0.011","","","","","","","","","","","","","","120mm Mortars, M1, M795","2014-01","2014-01","2014-04","2014-04","2014-04","2014-05","2014-02","","FY 2014 Base procurement dollars in the amount of $0.778 million support the replacement of the waste treatment facility at Scranton Army Ammunition Plant (AAP).  The current waste treatment facility is approximately 20 years old and replacement parts are difficult to produce or not available.  The sand filter is ineffective which reduces the system efficiency.  A new sewer permit has reduced the effluent limit for Zinc, and the existing system has problems maintaining proper levels when less than three bonderizer systems are running.  This new treatment system will allow Scranton AAP to remain in compliance with the new sewer permit and avoid fines or penalties.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-6-b4a6a4d1f3ce6fa16456640fd6ecb652ac8a43e4","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-c6a3a7b83b660780f52a476838c5150217a48eac"
"Production Support","","","1.598","1.598","5143707","Quick Die Change for Press Lines","","","","","","","","1.277","1.277","","","","0.302","0.302","","","","0.019","0.019","","","","","","","","","","","","","","120mm Mortars, M1, M795","2014-03","2014-03","2014-09","2014-09","2014-09","2014-10","2014-05","","FY 2014 Base procurement dollars in the amount of $1.598 million support the procurement and installation of quick die change tooling handling systems on three forge press lines at Scranton Army Ammunition Plant.  This quick die change system will improve the plant's ability to produce smaller quantity lots in a cost effective manner and improve operational safety.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-7-d22c80bff8e73470c1188ed2668a532d34cc1129","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-c6a3a7b83b660780f52a476838c5150217a48eac"
"Production Support","","","0.75","0.75","5143719","Saw Area Transformation","","","","","","","","0.509","0.509","","","","0.195","0.195","","","","","","","","","","","","","","0.046","0.046","","","","120mm Mortars, 5”/54, M1, M107, M110, M795","2014-03","2014-03","","2015-03","2015-03","2015-03","2014-05","","FY 2014 Base procurement dollars in the amount of $0.750 million support the replacement of metal saws at Scranton Army Ammunition Plant.  Replacement of the metal saws will decrease maintenance and tooling costs, decrease electrical and raw material costs and increase productivity.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-8-00fa3fcef24fbe9feacce1844b75e2c304245416","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-c6a3a7b83b660780f52a476838c5150217a48eac"
"Production Support","","","0.454","0.454","5143720","Upgrade Nitrogen Gas Supply System","","","","","","","","0.305","0.305","","","","0.121","0.121","","","","","","","","","","","","","","0.028","0.028","","","","120mm Mortars, 5”/54, M1, M107, M110, M795","2014-03","2014-03","","2014-12","2014-12","2014-12","2014-03","","FY 2014 Base procurement dollars in the amount of $0.454 million support the procurement and installation of three nitrogen generators and one air compressor for the heat treat and forging operations at Scranton Army Ammunition Plant.  This effort will reduce costs associated with purchasing liquid nitrogen, decrease scrap, and increase productivity in the heat treat and forging operations.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-9-064a4f994fb347ac3f587970da02c15b4d741bec","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-c6a3a7b83b660780f52a476838c5150217a48eac"
"Production Support","","","2.488","2.488","5143917","Modernize Forge Shop Exhaust","","","0.509","0.509","","","","1.527","1.527","","","","0.393","0.393","","","","0.059","0.059","","","","","","","","","","","","","","120mm Mortars, M1, M107, M110, M795, MK64","2014-03","2014-03","2014-09","2014-09","2014-09","2014-09","2014-04","","FY 2014 Base procurement dollars in the amount of $2.488 million support this effort to modernize the forge shop exhaust at Scranton Army Ammunition Plant.  This effort will reduce the chance of production interruption due to a failed exhaust system, and improve air quality and personnel health.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-10-532f0ce648c52f687fc214b6242db42d15f57349","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-c6a3a7b83b660780f52a476838c5150217a48eac"
"Production Support","","","0.509","0.509","5143726","Purchase of Pdn Equip &Intellectual Property (IP)","","","","","","","","0.509","0.509","","","","","","","","","","","","","","","","","","","","","","","","120mm Mortars, M1, M107, M110, M795, MK64","2013-11","2013-12","","","","","","","FY 2014 Base procurement dollars in the amount of $0.509 million support the purchase of production equipment and intellectual property at Scranton Army Ammunition Plant.  This effort will ensure production continuity and operational readiness of ammunition metal parts manufacturing.  The equipment selected for purchase is based on current and future production requirements.  The purchase of equipment and intellectual property will encourage competition and reduction of product prices.  This project will also enable the Army to implement strategic modernization efforts to meet future production requirements of metal parts.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-11-b60ce8ea186fcf8ac1df96ce53bfe3bf1b44125a","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-c6a3a7b83b660780f52a476838c5150217a48eac"
"Production Support","6.252","6.083","7.565","7.565","5XX3046","Engineering in Support of Industrial Facilities","","","","","","","","","","","","","","","","","","","","","7.565","7.565","6.083","6.252","","","","","","","","","Multiple","","","","","","","","","FY 2014 Base procurement dollars in the amount of $7.565 million support the procurement of processing and engineering support efforts, including technical and pre-design analyses of future modernization investments, for Production Base Support program execution.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-97774ad9ff90bbac16b5bc5e4d3ad285a0c775ae","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-6-7b4683ab6c23f0787496ef36c85f044db9b71f3e"
"Production Support","1.681","2.623","2.449","2.449","5XX5060","Production Support Equipment Replacement","","","","","","","","","","","","","","","","","","","","","2.449","2.449","2.623","1.681","","","","","","","","","Initial Production Acceptance & Product Improvements for Ammunition","","","","","","","","","FY 2014 Base procurement dollars in the amount of $2.449 million procures tracking systems to record the complete flight path of a projectile in three dimensions, used to determine flight characteristics and associated distances, pitch, yaw, spin rate and sabot separation; replaces analog video scoring and data collection system with a digital capability at the multipurpose impact firing range which is used for testing munitions; procures equipment for high explosive assembly, drilling, and remote capabilities for removing and replacing ammunition components; procures instrumentation for environmental radiation monitoring at Depleted Uranium munitions test ranges; replaces aging magnetic particle equipment, gages, sensors and transducers for testing cannon tubes and acquires precision, high-dynamic, rugged sensors.  The majority of the instrumentation being upgraded or replaced is obsolete and has met or exceeded its economic life.  This instrumentation is required to ensure complete and accurate test data is collected and safety and environmental hazards are minimized.  Benefits of this project include increased test efficiencies and decreased costs and risks to Army Program Managers.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-16c12dcdc5f1a8a3cb41e31346aac03a799ed473","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-7-84686bd1416448ce4ab804b656a0f2d946e78e24"
"Production Support","0.012","0.029","0.023","0.023","U7668","Hot & Cold Forge emergency repairs and maintenance.","","","","","","0.01","0.02","0.018","0.018","","0.002","0.009","0.005","0.005","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hot and cold forge emergency repairs and maintenance to prevent failure and excessive down time of unique forges.","e5ba122276593ba1e4077f83c1b8384f180921b7-0-c33338736fb98012937b642c105d7fe9d5bf49ea","e5ba122276593ba1e4077f83c1b8384f180921b7","root.record.FacilityList.ProductionSupportFacility","e5ba122276593ba1e4077f83c1b8384f180921b7-0-197a5f1be06712cf5568e329cbe1b8f89eda686e"
"Production Support","2.375","2.37","2.365","2.365","U7669","Large Capacity Mills (Small Arms) and laboratory relocation","","","","","","1.5","1.5","1.5","1.5","","0.875","0.87","0.865","0.865","","","","","","","","","","","","","","","","","","","","","","","","","","","","Machinery equipment and laboratory move for health, safety and environmental reasons.","e5ba122276593ba1e4077f83c1b8384f180921b7-0-69a27dfbdf3f01dd5d2a230315a7b2a5a9383945","e5ba122276593ba1e4077f83c1b8384f180921b7","root.record.FacilityList.ProductionSupportFacility","e5ba122276593ba1e4077f83c1b8384f180921b7-1-4d1cfd07f6d8970dc0083b5074b4e05add657ac3"
"Production Support","2.455","2.37","2.365","2.365","U7670","Machine Equipment installation with site preparation.","","","","","","1.58","1.5","1.5","1.5","","0.875","0.87","0.865","0.865","","","","","","","","","","","","","","","","","","","","","","","","","","","","Machine equipment installation with associated site preparation activities.","e5ba122276593ba1e4077f83c1b8384f180921b7-0-aae19a2f58e957770ffd9b1e98ad21ce52c36cd5","e5ba122276593ba1e4077f83c1b8384f180921b7","root.record.FacilityList.ProductionSupportFacility","e5ba122276593ba1e4077f83c1b8384f180921b7-2-387ba79320c18ace06c393ad58fffdfdd8932ea9"
"Production Support","4.763","4.769","4.753","4.753","GC2001","Instrumentation for production testing of WTCV systems.","","","","","","4.763","4.769","4.753","4.753","","","","","","","","","","","","","","","","","","","","","","","","All WTCV Systems","2012-10","2013-03","","2013-10","2013-10","2013-12","","","Funds will be used to upgrade or replace production test instrumentation and equipment at Aberdeen Test Center (ATC), Aberdeen Proving Ground, MD; White Sands Test Center (WSTC), White Sands Missile Range, NM and Yuma Test Center (YTC), Yuma Proving Ground (YPG), AZ.  At ATC, replaces vehicle data communication interfaces and advanced sensors for automotive performance and endurance testing; procures instrumentation for accurate and timely monitoring of divers for safety during underwater support missions such as swim course surveys and retrieving lost test items; procures high speed laser scanners to provide a complete 3-D models of sub-systems or parts for comparison to  physical dimension tolerances as stipulated in engineering drawings; upgrades mobile dynamometer control systems for programmable dynamometer control using vehicle speed, drawbar force, and drawbar power as input parameters used for power-train, winch and fuel consumption testing and replaces aging high speed digital cameras used to document test events.  At WSMR, provides badly needed upgrades to aged nuclear effects simulators used to test weapon system survivability and provides upgrades to the Semiconductor Test Laboratory used to characterize electronic piece-parts (complex integrated circuits such as microprocessors) to determine their vulnerability to and survivability in nuclear weapons and space radiation environments.  At YPG, purchases on-board data acquisition and recording equipment for collecting vehicle performance data in harsh desert environments; purchases pyroshock accelerometers, blast over pressure gages, infrared flash detectors and triggers and various types of displacement transducers used to assess weapons ballistic performance; procures replacement power amplifiers in the vibration test facility supporting shock and vibration tests and also upgrades instrumentation and test fixtures in the vibration test facility used to simulate field shock and vibration environments; procures high speed digital cameras for capturing test events and procures low cost, rapidly deployable earth filled walls/structures to protect personnel and equipment during weapon firing test activities. The majority of the instrumentation being upgraded or replaced is obsolete and has met or exceeded its economic life.  This instrumentation is required to ensure complete and accurate test data is collected and safety and environmental hazards are minimized.  Benefits of this project include increased test efficiencies and decreased costs and risks to Army Program Managers.","e5ba122276593ba1e4077f83c1b8384f180921b7-0-f4183939246c1a2de99675c4c097f6d86c798fd1","e5ba122276593ba1e4077f83c1b8384f180921b7","root.record.FacilityList.ProductionSupportFacility","e5ba122276593ba1e4077f83c1b8384f180921b7-3-4d0a53aced4cfb2e858c58c48c829cae717a6aca"
"Production Support","2.412","2.631","3.008","3.008","6XX5333","PIF for Other (RN08 - Production Base)","0.615","0.485","2.182","2.182","","1.133","1.99","0.331","0.331","","0.567","0.125","0.189","0.189","","0.068","0.031","0.166","0.166","","0.14","0.14","","0.029","","","","","","","","","Missile Warheads","2015-03","2015-05","2016-09","2016-10","2016-11","2016-11","","","FY 2015 Base procurement dollars in the amount of $3.008 million support renovation to specific areas of Line 1 at Iowa Army Ammunition Plant in order to combat exterior deterioration.  This includes reroofing ramps and seal coat access roads to insure safety of the overall usefulness of the facilities.  It also includes the rehabilitation of roadways impacting the southern portion of Line 1, as the base rock has deteriorated and is no longer capable of supporting the surface.  It will provide for a central vacuum system in Building 1-10 which will allow spilled or residual explosive powder to be collected from equipment in a manner allowing safe and efficient disposal.  This effort will also support construction of a Warhead Reprocessing Facility to allow remote operation for sawing of explosive charges and provide for operator safety.","1b69509bc8010b220ac0b3756db0499caebfcde4-0-e504c07e878d36f5c3ec3ce83aa179116b67b5a6","1b69509bc8010b220ac0b3756db0499caebfcde4","root.record.FacilityList.ProductionSupportFacility","1b69509bc8010b220ac0b3756db0499caebfcde4-0-bb8f885a7d4906bbd1d9866cace268f968ac10c2"
"Production Support","2.412","2.046","1.702","1.702","6XXXXXX","PIF FOR OTHER (RL07 - Test & Evaluation)","","","","","","2.412","2.046","1.702","1.702","","","","","","","","","","","","","","","","","","","","","","","","Testing of Missile Systems","2013-12","2014-03","","2014-12","","","","","FY 2015 Base procurement dollars in the amount of $1.702 million support the following:  Procures a Non-Track Digital Instrumentation System (NTDIS), which is a mobile video broadcast van with equipment capable of near real time viewing, recording, processing, and remote network control of high-speed video data collected at missile launch sites (Non-Track refers to video collected from cameras fixed on tripods not optical tracking instruments, NTDIS does not track missiles).","1b69509bc8010b220ac0b3756db0499caebfcde4-0-4ea6ea9c5eacb6f75ca3e07c2bf5ec8e9bf67bf0","1b69509bc8010b220ac0b3756db0499caebfcde4","root.record.FacilityList.ProductionSupportFacility","1b69509bc8010b220ac0b3756db0499caebfcde4-1-9af5771fe31bd7bc0ab547e34b35ae1806dcf8ba"
"Production Support","0.334","0.567","5.501","5.501","U6037","Production Base Support - Lima","0.334","0.567","5.501","5.501","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","323dd83c3d905f2addfa8abcc734e6e18478afef-0-1a78522540ae9a744482140339c8ae10a23ac449","323dd83c3d905f2addfa8abcc734e6e18478afef","root.record.FacilityList.ProductionSupportFacility","323dd83c3d905f2addfa8abcc734e6e18478afef-0-d35f63f85c9db1868cb91cc52d3bd98c3fd5fb38"
"Production Support","0.222","0.377","0.377","0.377","U6040","Production Base Support - Scranton","0.222","0.377","0.377","0.377","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","323dd83c3d905f2addfa8abcc734e6e18478afef-0-47b5493d761dcd9937bf14b377d9fdb562361f3b","323dd83c3d905f2addfa8abcc734e6e18478afef","root.record.FacilityList.ProductionSupportFacility","323dd83c3d905f2addfa8abcc734e6e18478afef-1-a1265b9f147ebb79f04f256714ff6a214f81582d"
"Production Support","0.479","0.6","0.6","0.6","U4282","TACOM LCMC Production Base Spt Program","0.479","0.6","0.6","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","323dd83c3d905f2addfa8abcc734e6e18478afef-0-f72e774dcc1ceaae0eb946fac7f608c925a3626a","323dd83c3d905f2addfa8abcc734e6e18478afef","root.record.FacilityList.ProductionSupportFacility","323dd83c3d905f2addfa8abcc734e6e18478afef-2-c6f77bc2998b39a02e5b07ecdf7b8f857f247e47"
"Production Support","0.029","0.023","0.023","0.023","U7668","Hot & Cold Forge emergency repairs and maintenance.","","","","","","0.02","0.018","0.018","0.018","","0.009","0.005","0.005","0.005","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hot and cold forge emergency repairs and maintenance to prevent failure and excessive down time of unique forges.","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768-0-25162881f1459805463c2ce357388b54b48351a8","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768","root.record.FacilityList.ProductionSupportFacility","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768-0-272c42e0cdb246d399e5219a912d57524f8da490"
"Production Support","2.135","2.365","2.383","2.383","U7669","Large Capacity Mills (Small Arms) and laboratory relocation","","","","","","1.265","1.5","1.518","1.518","","0.87","0.865","0.865","0.865","","","","","","","","","","","","","","","","","","","","","","","","","","","","Machinery equipment and laboratory move for health, safety and environmental reasons.","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768-0-057d1722b4018a77c5326939b02773cca4d209ee","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768","root.record.FacilityList.ProductionSupportFacility","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768-1-5b51f87a541fb46db65df01bd4ba6ac51394402e"
"Production Support","2.135","2.365","2.383","2.383","U7670","Machine Equipment installation with site preparation.","","","","","","1.265","1.5","1.518","1.518","","0.87","0.865","0.865","0.865","","","","","","","","","","","","","","","","","","","","","","","","","","","","Machine equipment installation with associated site preparation activities.","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768-0-7cb3582bc4275b0c57561ccf718b1198dac9f95f","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768","root.record.FacilityList.ProductionSupportFacility","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768-2-780222bdc3f98479adc942b707f6310072f2a7af"
"Production Support","4.357","4.753","3.503","3.503","GC2001","Instrumentation for production testing of WTCV systems.","","","","","","4.357","4.753","3.503","3.503","","","","","","","","","","","","","","","","","","","","","","","","All WTCV Systems","2012-10","2013-03","","2013-10","2013-10","2013-12","","","Funds will be used to upgrade or replace production test instrumentation and equipment at Aberdeen Test Center (ATC), Aberdeen Proving Ground, MD; White Sands Test Center (WSTC), White Sands Missile Range, NM and Yuma Test Center (YTC), Yuma Proving Ground (YPG), AZ.  At ATC, replaces vehicle data communication interfaces and advanced sensors for automotive performance and endurance testing; procures instrumentation for accurate and timely monitoring of divers for safety during underwater support missions such as swim course surveys and retrieving lost test items; procures high speed laser scanners to provide a complete 3-D models of sub-systems or parts for comparison to  physical dimension tolerances as stipulated in engineering drawings; upgrades mobile dynamometer control systems for programmable dynamometer control using vehicle speed, drawbar force, and drawbar power as input parameters used for power-train, winch and fuel consumption testing and replaces aging high speed digital cameras used to document test events.  At WSMR, provides badly needed upgrades to aged nuclear effects simulators used to test weapon system survivability and provides upgrades to the Semiconductor Test Laboratory used to characterize electronic piece-parts (complex integrated circuits such as microprocessors) to determine their vulnerability to and survivability in nuclear weapons and space radiation environments.  At YPG, purchases on-board data acquisition and recording equipment for collecting vehicle performance data in harsh desert environments; purchases pyroshock accelerometers, blast over pressure gages, infrared flash detectors and triggers and various types of displacement transducers used to assess weapons ballistic performance; procures replacement power amplifiers in the vibration test facility supporting shock and vibration tests and also upgrades instrumentation and test fixtures in the vibration test facility used to simulate field shock and vibration environments; procures high speed digital cameras for capturing test events and procures low cost, rapidly deployable earth filled walls/structures to protect personnel and equipment during weapon firing test activities. The majority of the instrumentation being upgraded or replaced is obsolete and has met or exceeded its economic life.  This instrumentation is required to ensure complete and accurate test data is collected and safety and environmental hazards are minimized.  Benefits of this project include increased test efficiencies and decreased costs and risks to Army Program Managers.","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768-0-de9b85e00d8eda2f60d5e8fbd08c039562777fe7","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768","root.record.FacilityList.ProductionSupportFacility","eb9f37f5b66502d1fe64ef7f16089ddc90dfd768-3-4241537b211d6b51cf22d88395c5f7cb4a8baa71"
