"Name_val","Location_val","Type_val","FacilityProjectList_FacilityProject_Type_val","FacilityProjectList_FacilityProject_Contractor_val","FacilityProjectList_FacilityProject_Description_val","FacilityProjectList_FacilityProject_CostList_Maintenance_CurrentYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Maintenance_BudgetYearOneBase_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Maintenance_BudgetYearOne_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Maintenance_PriorYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Total_CurrentYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Total_BudgetYearOneBase_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Total_BudgetYearOne_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Total_PriorYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Recurring_PriorYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Recurring_CurrentYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Recurring_BudgetYearOneBase_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Recurring_BudgetYearOne_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Environmental_PriorYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Environmental_CurrentYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Environmental_BudgetYearOneBase_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Environmental_BudgetYearOne_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Other_PriorYear_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Various","Various","GOCO","Inactive Lines at Active Plants","Various","FY 2016 Base procurement dollars in the amount of $3.283 million support the maintenance and long-term storage of reserved unique production equipment at various facilities.","0.85","1.733","1.733","","1.602","3.283","3.283","4.207","","","","","","0.752","1.55","1.55","4.207","e4c7f4c038a61d32e0461f1db9af36aa1b024169-10-686d1e3459e76ce63a4d17a2c1465b65f4e6cd25","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root","e4c7f4c038a61d32e0461f1db9af36aa1b024169-47d645c41e0ab89659c77fcce600800102648b52"
"Crane Army Ammunition Activity","Crane, Indiana","GOCO","Inactive Lines at Active Plants","Not Applicable","FY 2013 Base procurement dollars in the amount of $0.331 million support the care and maintenance of laid-away ammunition industrial facilities.  This effort includes non-severable equipment, plant equipment, special tooling and special test equipment being retained as part of approved plant equipment packages which are required to support future replenishment requirements.","","0.331","0.331","","","0.331","0.331","","","","","","","","","","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-0-232db70f7e0c8a9de88ed3343219b0ae5ca12187","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-33452f2c63accc1c51714255e7e2e1ea2a254e6e"
"Hawthorne Army Depot","Hawthorne, Nevada","GOCO","Inactive Lines at Active Plants","Day & Zimmerman","FY 2013 Base procurement dollars in the amount of $0.094 million support the maintenance and long-term storage of reserved unique production equipment with long replacement lead times at Hawthorne Army Depot.","0.158","0.094","0.094","0.061","0.158","0.094","0.094","0.061","","","","","","","","","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-1-fe0a6f939ae5733fc21e1191c118286f373cbffc","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-33452f2c63accc1c51714255e7e2e1ea2a254e6e"
"Holston Army Ammunition Plant","Kingsport, Tennessee","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2013 Base procurement dollars in the amount of $0.282 million support the care and maintenance of laid-away critical production facilities at Holston Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, asbestos management and minimum maintenance of specialized production equipment.","0.261","0.282","0.282","0.114","0.261","0.282","0.282","0.114","","","","","","","","","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-2-b19aa169a41e2fb6ab4a80007c9f0211fbffbe38","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-33452f2c63accc1c51714255e7e2e1ea2a254e6e"
"Iowa Army Ammunition Plant","Middletown, Iowa","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2013 Base procurement dollars in the amount of $0.697 million support the care and maintenance of laid-away critical production facilities at Iowa Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, asbestos management and minimum maintenance of specialized production equipment.  These efforts are responsible for overhead expenses and provides for monitoring of excess facilities until they can be disposed.  These efforts also provide for well monitoring at the inert landfill to comply with a signed consent agreement between the plant, State of Iowa and Environmental Protection Agency.","0.221","0.225","0.225","0.143","0.685","0.697","0.697","0.442","0.197","0.306","0.311","0.311","0.102","0.158","0.161","0.161","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-3-2c55587d06ee3ec9981cc48a35e08c4adfa5c4c4","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-33452f2c63accc1c51714255e7e2e1ea2a254e6e"
"McAlester Army Ammunition Plant","McAlester, Oklahama","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2013 Base procurement dollars in the amount of $0.204 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling and special test equipment being retained to support potential future requirements at McAlester Army Ammunition Plant.  This effort also includes overhead costs such as grounds maintenance, fire protection, plant security and administrative support.","0.104","0.106","0.106","0.079","0.2","0.204","0.204","0.152","0.073","0.096","0.098","0.098","","","","","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-4-54ed9874d2726dae6228ebb1fea9456db6f1b3f3","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-33452f2c63accc1c51714255e7e2e1ea2a254e6e"
"Milan Army Ammunition Plant","Milan, Tennessee","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2013 Base procurement dollars in the amount of $0.160 million support the care and maintenance of laid-away critical production facilities at Milan Army Ammunition Plant.  These activities include periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, plant equipment, special tooling and special test equipment being retained to support potential future requirements.  This effort includes asbestos management, minimum maintenance of specialized production equipment and overhead costs such as grounds maintenance, fire protection, plant security and administrative support.","0.076","0.08","0.08","0.044","0.153","0.16","0.16","0.088","0.018","0.031","0.032","0.032","0.026","0.046","0.048","0.048","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-5-db13a38ed3ae60246ec680a25bde399a1a170800","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-33452f2c63accc1c51714255e7e2e1ea2a254e6e"
"Pine Bluff Arsenal","Pine Bluff, Arkansas","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2013 Base procurement dollars in the amount of $0.327 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling and special test equipment being retained to support potential future requirements at Pine Bluff Arsenal.  These funds also support overhead costs such as grounds maintenance, fire protection, plant security and administrative support.","0.278","0.17","0.17","0.587","0.5","0.327","0.327","1.128","0.541","0.222","0.157","0.157","","","","","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-6-90fbf85e72f8f6eca9ed50914c2de71b1f7a92f0","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-33452f2c63accc1c51714255e7e2e1ea2a254e6e"
"Quad City Cartridge Case Facility (QCCCF)","Rock Island, Illinois","GOCO","Inactive Lines at Active Plants","Norris Industries","FY 2013 Base procurement dollars in the amount of $1.878 million support the care and maintenance of laid-away deep draw cartridge case production line located at the Quad City Cartridge Case Facility (QCCCF) in Rock Island, IL.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts and minimum maintenance of specialized production equipment.","","1.878","1.878","","","1.878","1.878","","","","","","","","","","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-7-d6ee1d649ec3d99591ef7cdfcbd7830933070ae3","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-33452f2c63accc1c51714255e7e2e1ea2a254e6e"
"Radford Army Ammunition Plant","Radford, Virginia","GOCO","Inactive Lines at Active Plants","Alliant Techsystems, Incorporated","FY 2013 Base procurement dollars in the amount of $0.415 million support the care and maintenance of laid-away critical production facilities at Radford Army Ammunition Plant.  They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation efforts, asbestos management and minimum maintenance of specialized production equipment.  These efforts support overhead expenses and provide monitoring of excess facilities.","0.119","0.125","0.125","0.117","0.398","0.415","0.415","0.39","0.234","0.239","0.249","0.249","0.039","0.04","0.041","0.041","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-8-3b7529bcaee5eecbb23b94d3c5812716ea08acb5","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-33452f2c63accc1c51714255e7e2e1ea2a254e6e"
"Various","Various","GOCO","Inactive Lines at Active Plants","Various","FY 2013 Base procurement dollars in the amount of $1.306 million support the maintenance and long-term storage of reserved unique production equipment at various facilities.","1.894","0.653","0.653","2.402","3.178","1.306","1.306","4.804","","","","","2.402","1.284","0.653","0.653","","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-9-564149bc450d8171c7358345275859bb89fa8321","4c83bebe9a9a1ff93102df767e9348e32dcd5d07","root","4c83bebe9a9a1ff93102df767e9348e32dcd5d07-33452f2c63accc1c51714255e7e2e1ea2a254e6e"
