"Name_val","Name_@footnote","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_Total_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_Total_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_Continuing_val","Cost_Continuing_@footnote","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer","SubCostElementList_SubCostElement","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"FUZES","","","0.961","1.252","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-15-16f42d6fb8ebe11296e8705c84cb0246128ee240","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-0c5dc920726b2c18f15d1babe4ebd8fccd657784"
"TRANSPORTATION","","","6.454","5","5.79","5.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-16-4a0bbcade704995e6b5532dbdfcfe50aab7876ea","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-0c5dc920726b2c18f15d1babe4ebd8fccd657784"
"MUNITIONS CHARACTERIZATION","","","3.908","3.2","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-17-2c6886cb0b209c58c05667204f7944679a161a40","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-0c5dc920726b2c18f15d1babe4ebd8fccd657784"
"OCONUS DEMIL  - EUCOM","","","2.435","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-18-4ce65013113511034d65500d145fe6657e53a949","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-0c5dc920726b2c18f15d1babe4ebd8fccd657784"
"OCONUS DEMIL - PACOM","","","4.03","3.711","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-19-efcd6ccf4220df459389f6907896768419abeea3","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-0c5dc920726b2c18f15d1babe4ebd8fccd657784"
"CONTRACT - CONUS DEMIL","","2121.9","48.895","21.04","40","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-20-05e1ef8a4b2620715ae2da9b6948bef921b6997f","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-0c5dc920726b2c18f15d1babe4ebd8fccd657784"
"Government Management","","","6.772","0.644","0.5","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-0-e2182a8132c1602fd953ce34f5b766ce39bfdf54","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-1-d14c1272a85cbd93f204e1d7f48a29ceecc50581"
"TORPEDOES","","23.888","2.992","9.898","8.647","8.647","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-0-b0327a1cf3aa7379f7f5725afdf3d58cacdbfb28","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-c6a89f8225585980c92322a009cba651011c5cd3"
"SONOBUOYS","","","3.471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-1-6b5b5a2cbc8d6507b4a3278378ddfb7e3f8cbbf5","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-c6a89f8225585980c92322a009cba651011c5cd3"
"MINES","","","0.292","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-2-5150de2ea835a12ea8f0dd543401d9febc1756b7","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-c6a89f8225585980c92322a009cba651011c5cd3"
"MULTIPLE LAUNCH ROCKET SYSTEM","","","","24.683","24.683","24.683","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-0-e16cfbc70eb67e9302bc1c7896c72aa3cfb85c32","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-fc9d55b0218bcee75a46438a1ab13e785539616d"
"LANCE","","","2.275","1.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-1-10cbffcecd4cdb1bf49aa7a11efba1d1338536d4","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-fc9d55b0218bcee75a46438a1ab13e785539616d"
"TOW CD/R3","","","","0.474","0.75","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-2-5559422c4a8eebb411a1219f6a5bd941c4005b46","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-fc9d55b0218bcee75a46438a1ab13e785539616d"
"HELLFIRE","","","","0.012","0.074","0.074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-3-d7192a4672efdaf53e003c36e8c62c24d35e46cf","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-fc9d55b0218bcee75a46438a1ab13e785539616d"
"STINGER","","","","0.06","0.143","0.143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-4-c36d541af85a66a3668b5c55d6996595f21929f4","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-fc9d55b0218bcee75a46438a1ab13e785539616d"
"PATRIOT","","","","0.666","0.332","0.332","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-5-856b60b20e372e416a58c616f477f5bebeca1a76","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-fc9d55b0218bcee75a46438a1ab13e785539616d"
"HONEST JOHN","","","","0.5","0.47","0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-6-b660474827d67b8cf93d2e96d6e6cbcd6859130e","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-fc9d55b0218bcee75a46438a1ab13e785539616d"
"MISSILE COMPONENTS","","","0.377","3.041","6.766","6.766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-7-dda755d4f16c50e41d5840ab7564c2ed4d6fd4b9","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-fc9d55b0218bcee75a46438a1ab13e785539616d"
"HAWK MOTORS","","","","","0.172","0.172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-8-acc7da7ee49f31596f6492d2cf4c74c2475af006","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-fc9d55b0218bcee75a46438a1ab13e785539616d"
"DEMIL PROCESS IMPROVEMENTS","","","2.823","2.266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-9-eeed5b2db732c25b408ade5f87bdbf77730fa32a","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-fc9d55b0218bcee75a46438a1ab13e785539616d"
"TRANSPORTATION","","","0.267","5.275","4.244","4.244","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-10-5995618497245207ebe0391778969de98eb87a58","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-fc9d55b0218bcee75a46438a1ab13e785539616d"
"CONTRACT - CONUS DEMIL","","358.247","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-11-4352f895b4e1d0449fa7ed9dd2711f871c75cf28","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-fc9d55b0218bcee75a46438a1ab13e785539616d"
"Government Management","","","3.35","1.666","2.109","2.109","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-0-f1de5ffe00064c209765260f4b7161a031e66287","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-1-9cbde940c23003e05dd8dfc416fec2af73909648"
"HE MISSILES","","23.051","1.772","2.528","2.946","2.946","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","881360c202c73b124097eb22a38e4bf6200eba7a-0-4c04bb3b228697565914d97333459368a5130210","881360c202c73b124097eb22a38e4bf6200eba7a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","881360c202c73b124097eb22a38e4bf6200eba7a-0-c2ade4583a77862e2de74fb055a7fe2e1dab4e35"
"1.1) FU002 Capital Type Rehabilitation","","16.581","2.531","2.397","1.964","1.964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89205b87f909eae03c8b19825a26d343f26b1a6d-0-99950f9b1d7c9d2d6e626062dba06e5ea0e7cedb","89205b87f909eae03c8b19825a26d343f26b1a6d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","89205b87f909eae03c8b19825a26d343f26b1a6d-0-7f5c4813af3acab04f6fd72df4b466f55e71afed"
"2.1) FUCA1 Facilities Restoration (ABL)","","216.205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89205b87f909eae03c8b19825a26d343f26b1a6d-0-065a0906879414ad6e5f828ca16fe179fef131db","89205b87f909eae03c8b19825a26d343f26b1a6d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","89205b87f909eae03c8b19825a26d343f26b1a6d-1-94ba594981cd83343a8a79447b4f50cb7a2fc819"
"3.1) FU020 NWIRP MCGREGOR","","95.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89205b87f909eae03c8b19825a26d343f26b1a6d-0-7c4ae44b46abfa1d0cf98d3aeb1b596ee81fd237","89205b87f909eae03c8b19825a26d343f26b1a6d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","89205b87f909eae03c8b19825a26d343f26b1a6d-2-719e8941e310c01e7cfdbb04482cf238c510f708"
"9.1) EPLRS-DR FMP","","0.01","","","0.734","0.734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-0-33ee414752f7ab2d818ea96bc1ea4bd91d6cbfc3","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","8931906c05d35f55dbe986d5060cb6853f09e955-0-b4c3aae46f283b514465b6fb7d1d41529b6442f1"
"9.2) Hydra Installations FMP","","3.491","0.565","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-1-892ec04a0e23e21d19395d80d8a9f86aade4ab02","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","8931906c05d35f55dbe986d5060cb6853f09e955-0-b4c3aae46f283b514465b6fb7d1d41529b6442f1"
"9.3) HF SAR Installations FMP (Prior Years)","","12.137","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-2-92eacfd183ee346d1ad7fa978daa534fbc5392cf","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","8931906c05d35f55dbe986d5060cb6853f09e955-0-b4c3aae46f283b514465b6fb7d1d41529b6442f1"
"9.4) BFTN Installations FMP","","3.54","0.724","1.98","2.029","2.029","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-3-d46fbe29da85ff8c96d44630bc83c76fe2872aa6","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","8931906c05d35f55dbe986d5060cb6853f09e955-0-b4c3aae46f283b514465b6fb7d1d41529b6442f1"
"10.1) EPLRS-DR DSA/PRE Shore Installation Design","","","","","0.294","0.294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-0-56a292987f40274e89c43be1bb5930b69c88c6b3","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","8931906c05d35f55dbe986d5060cb6853f09e955-1-00f71e4a41e533fcbab7032c290b7be5af958aeb"
"10.2) BFTN DSA","","1.236","0.216","0.834","0.628","0.628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-1-b10744aa1753ca68c9d98b4847fc211071ae79a8","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","8931906c05d35f55dbe986d5060cb6853f09e955-1-00f71e4a41e533fcbab7032c290b7be5af958aeb"
"11.1) EPLRS-DR Production Support","","0.29","","","0.011","0.011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-0-15f9465ccace5cd16889b1f3df40867890f4a297","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","8931906c05d35f55dbe986d5060cb6853f09e955-2-21ba7b45b213c9ea80b25444f53bf5f280061a0d"
"11.2) PORT NSW Production Support","","2.372","0.535","0.22","0.212","0.212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-1-e238a8a7d28467cc6db533ad4a38762ea93572d8","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","8931906c05d35f55dbe986d5060cb6853f09e955-2-21ba7b45b213c9ea80b25444f53bf5f280061a0d"
"11.3) BFTN Production Support","","1.024","0.026","0.084","0.094","0.094","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-2-f0bdd3ab5d3ba7f787ae09042094a59befa42367","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","8931906c05d35f55dbe986d5060cb6853f09e955-2-21ba7b45b213c9ea80b25444f53bf5f280061a0d"
"11.4) Navy Expeditionary C4I Production Support","","0.057","0.03","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8931906c05d35f55dbe986d5060cb6853f09e955-3-cbedc95add8860feb7e06fb92b9a8f7feccf09e9","8931906c05d35f55dbe986d5060cb6853f09e955","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","8931906c05d35f55dbe986d5060cb6853f09e955-2-21ba7b45b213c9ea80b25444f53bf5f280061a0d"
"2.1) Peculiar Training Equipment & Simulators","","1.681","0.212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89324116e1dd6a07bb42ed9a17f331c62f88e9f7-0-4fe5fa21434012fbf7bb11669814a942ad763ffd","89324116e1dd6a07bb42ed9a17f331c62f88e9f7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","89324116e1dd6a07bb42ed9a17f331c62f88e9f7-0-088d2d6b32c1fe7eab7564bc0c84c1181412b175"
"2.2) Production Engineering Support","","16.803","4.045","4.546","11.313","11.313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89324116e1dd6a07bb42ed9a17f331c62f88e9f7-1-fef58ef33f32fcc1c4991c3ad626f207adc15e31","89324116e1dd6a07bb42ed9a17f331c62f88e9f7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","89324116e1dd6a07bb42ed9a17f331c62f88e9f7-0-088d2d6b32c1fe7eab7564bc0c84c1181412b175"
"2.3) Acceptance Testing","","0.116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89324116e1dd6a07bb42ed9a17f331c62f88e9f7-2-7144ecbdb25f37be1880b5785f575ee0f24f6ca5","89324116e1dd6a07bb42ed9a17f331c62f88e9f7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","89324116e1dd6a07bb42ed9a17f331c62f88e9f7-0-088d2d6b32c1fe7eab7564bc0c84c1181412b175"
"2.4) Support Equipment","","6.638","0.101","1.37","0.379","0.379","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89324116e1dd6a07bb42ed9a17f331c62f88e9f7-3-468db06f22130c1b9d68606a7bf025561542d581","89324116e1dd6a07bb42ed9a17f331c62f88e9f7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","89324116e1dd6a07bb42ed9a17f331c62f88e9f7-0-088d2d6b32c1fe7eab7564bc0c84c1181412b175"
"2.5) Pubs & Tech Data","","","1.33","0.735","0.735","0.735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89324116e1dd6a07bb42ed9a17f331c62f88e9f7-4-b862c88421b2db25b9afcf4f020d98938d396ee1","89324116e1dd6a07bb42ed9a17f331c62f88e9f7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","89324116e1dd6a07bb42ed9a17f331c62f88e9f7-0-088d2d6b32c1fe7eab7564bc0c84c1181412b175"
"Joint Staff Analytical Support","","1.228","","2.7","","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89473ecb1ad405afcba29811a2b020d5ba792124-0-f951cb834b43920b28cadc2f740b8ec1c2263ad4","89473ecb1ad405afcba29811a2b020d5ba792124","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","89473ecb1ad405afcba29811a2b020d5ba792124-0-7ea177eab6ec1357d9d1c270877ec1743069307e"
"Government Management","","0.083","0.066","0.036","0.022","0.022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89b9b2e1228d0b80b87ebe3b7976eb0f975e8228-0-1933c9706a8d889ba04a6c0858769195515bda42","89b9b2e1228d0b80b87ebe3b7976eb0f975e8228","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","89b9b2e1228d0b80b87ebe3b7976eb0f975e8228-0-7c08c90cc2775c4f42a8492b90ba8947accaa93e"
"Contractor Management","","0.668","0.56","0.289","0.175","0.175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89b9b2e1228d0b80b87ebe3b7976eb0f975e8228-1-088c6fb7a2d4119cd8e7bda1669a9ed8b4e39105","89b9b2e1228d0b80b87ebe3b7976eb0f975e8228","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","89b9b2e1228d0b80b87ebe3b7976eb0f975e8228-0-7c08c90cc2775c4f42a8492b90ba8947accaa93e"
"Other Support","","0","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8a412dc81e50142f8f284f41b328f96d84a887bf-0-4c9e1333b9bf7eff5f8865a88d49c64a160fb71b","8a412dc81e50142f8f284f41b328f96d84a887bf","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","8a412dc81e50142f8f284f41b328f96d84a887bf-0-dfa2be09242966301c26b39551f3ee34e6697683"
