"Name_val","Name_@footnote","CategoryList_Category","TotalCost_TotalCost_AllPriorYears_val","TotalCost_TotalCost_PriorYear_val","TotalCost_TotalCost_CurrentYear_val","TotalCost_TotalCost_BudgetYearOneBase_val","TotalCost_TotalCost_BudgetYearOneBase_@footnote","TotalCost_TotalCost_BudgetYearOneOCO_val","TotalCost_TotalCost_BudgetYearOne_val","TotalCost_TotalCost_BudgetYearTwo_val","TotalCost_TotalCost_BudgetYearThree_val","TotalCost_TotalCost_BudgetYearFour_val","TotalCost_TotalCost_BudgetYearFive_val","TotalCost_TotalCost_ToComplete_val","TotalCost_TotalCost_Total_val","TotalCost_TotalCost_Continuing_val","ModificationItemsIndicator_val","Remarks_val","OverallHistoryPlanningRemarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"DDG Mod","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-cba79593c8c4aea8b3043089d049abcaa1ce68e3-0-f273994e73b06d2c33209afef70826fcedd3f94e","475.833","123.861","105.384","121.841","","","121.841","","","","","","","","","","","cba79593c8c4aea8b3043089d049abcaa1ce68e3-0-ab1c0492ba5ec4e00fe2d325805108a30d336f6f","cba79593c8c4aea8b3043089d049abcaa1ce68e3","root","cba79593c8c4aea8b3043089d049abcaa1ce68e3-ff6b3cd5043de875d880d4acdc8f498865445e1f"
"LARGE AIR CONDITIONER","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-cbbf9b7977245b6974a4e764b864dc46d92969b6-0-c5de1a191373de2102373adf6948c84faba77459","","0","0.237","0","","","0","","","","","","","","","No FY17 funding requested.In FY12, a contract vehicle has been established to procure additional commercial air conditioners as warranted by analysis and need. The COTS large air conditioner will be bought through the GSA contract (Aero Specialties). PROGRAM MANAGEMENT ADMINISTRATION (PMA):  PMA supports the operation of the program office in its management and oversight role via travel, procurement of supplies and Advisory and Administrative Services (A&AS).","","cbbf9b7977245b6974a4e764b864dc46d92969b6-0-1cc9947a9a93c04243cc665c37ea215aa5caa953","cbbf9b7977245b6974a4e764b864dc46d92969b6","root","cbbf9b7977245b6974a4e764b864dc46d92969b6-2c1f9ffa418b14a425be07c242233cd12ce80f3f"
"ITEMS LESS THAN $5 MILLION","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-cbbf9b7977245b6974a4e764b864dc46d92969b6-1-e309b75ebe6da9491bafef6cf648286f64e85e0d","","5.313","4.596","6.301","","","6.301","","","","","","","","","FEDERAL STOCK CLASS (FSC)PMA for SEV supports the operation of the program office in its management and oversight role via travel, procurement of supplies and Advisory and Administrative Services (A&AS).   PMA Other Government Costs (ATS) applies to travel and other government costs in support of the various programs to include, but not limited to, CMBRE, COLT, MUSTANG, ACPTS, APITS, Stores Management Test Set, F-15 SPSTS, BAT within the Automatic Test Equipment Division.","","cbbf9b7977245b6974a4e764b864dc46d92969b6-1-91ab05fbf4ff9b5faa6d64dbeac5dcc35fce85bb","cbbf9b7977245b6974a4e764b864dc46d92969b6","root","cbbf9b7977245b6974a4e764b864dc46d92969b6-2c1f9ffa418b14a425be07c242233cd12ce80f3f"
"C17 CONVERSION","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-cbbf9b7977245b6974a4e764b864dc46d92969b6-2-3fff7d72d34fd1df21eb7ad2e8613d2cd25563b8","","0","0","73.346","","","73.346","","","","","","","","","","","cbbf9b7977245b6974a4e764b864dc46d92969b6-2-4001fe55cd6adaf60416216bf6790039e59ae306","cbbf9b7977245b6974a4e764b864dc46d92969b6","root","cbbf9b7977245b6974a4e764b864dc46d92969b6-2c1f9ffa418b14a425be07c242233cd12ce80f3f"
"IL $5M (USM670 CORE TEST SET-CTS)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-cbbf9b7977245b6974a4e764b864dc46d92969b6-3-e7238713234d40c0199d059f61a8e8e321b21cf2","","0.532","5.694","19.243","","","19.243","","","","","","","","","FY16 PMA dollars are for JSECTS' IPT upcoming TDY trips.FY16 & 17 unit cost are assumed and are subject to change.  FY17 PMA dollars in the amount of $357,000.00 will be used for the necessary travel associated with fielding the USM 670 Core Test Set.","","cbbf9b7977245b6974a4e764b864dc46d92969b6-3-cb0885830f661618456636ccb965b0450190790f","cbbf9b7977245b6974a4e764b864dc46d92969b6","root","cbbf9b7977245b6974a4e764b864dc46d92969b6-2c1f9ffa418b14a425be07c242233cd12ce80f3f"
"Portable Automated Test Set","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-cbbf9b7977245b6974a4e764b864dc46d92969b6-4-3ec4adc2a8cf77a9de3bf6c05136b3fe3c29d42f","0","0.012","0.01","0","","0","0","","","","","","","","","FY15 PMA dollars $0.012 will be used for the necessary travel associated with fielding PATS. FY16 PMA dollars $0.010 will be used for the necessary travel associated with fielding PATS.","","cbbf9b7977245b6974a4e764b864dc46d92969b6-4-194b4499fb2933c1c9dbf5fa3809a465e5f7d954","cbbf9b7977245b6974a4e764b864dc46d92969b6","root","cbbf9b7977245b6974a4e764b864dc46d92969b6-2c1f9ffa418b14a425be07c242233cd12ce80f3f"
"STORES SYSTEM TESTER","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-cbbf9b7977245b6974a4e764b864dc46d92969b6-5-6709a4d0d38cb3a766b22c545c45b2a0f5d8ca6e","","4.903","4.145","0","","","0","","","","","","","","","FY15 PMA Dollars in the amount of $584K will be used for the necessary travel associated with fielding the F-16 Stores System Tester.FY16 PMA Dollars in the amount of $22K will be used for the necessary travel associated with fielding the F-16 Stores System Tester.","","cbbf9b7977245b6974a4e764b864dc46d92969b6-5-6aec7149037eae18bc79214d525b27d44af3314e","cbbf9b7977245b6974a4e764b864dc46d92969b6","root","cbbf9b7977245b6974a4e764b864dc46d92969b6-2c1f9ffa418b14a425be07c242233cd12ce80f3f"
"VERSAMODULE EXTENSIONS FOR INSTRUMENTATION IMPROVED AVIONICS INTERMEDIATE SHOP (VXI-IAIS)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-cbbf9b7977245b6974a4e764b864dc46d92969b6-6-108915771fbfc141bf9c1d47c92ee62c21f88285","0","0","2.6","0","","","0","","","","","","","","","No FY17 funding requested.","","cbbf9b7977245b6974a4e764b864dc46d92969b6-6-2b1bbf8a1f06bebae6c1b6f4a3b18afd25745cc1","cbbf9b7977245b6974a4e764b864dc46d92969b6","root","cbbf9b7977245b6974a4e764b864dc46d92969b6-2c1f9ffa418b14a425be07c242233cd12ce80f3f"
"Satellite Communications (SATCOM) O&M","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-cbc95d94829c5ac0df725344fc080b37b3f5d69d-0-4b81239731c7f3d32a8fd141e98b90ed5988755f","0.261","0.265","","","","","","","","","","0","0.526","","","","","cbc95d94829c5ac0df725344fc080b37b3f5d69d-0-9b4a0ea75e95bc8f6acbfdbdccb6db5c27b27b21","cbc95d94829c5ac0df725344fc080b37b3f5d69d","root","cbc95d94829c5ac0df725344fc080b37b3f5d69d-4cac1c9750bfd76ac021d43db022b80d10b3437c"
"LCS Class Support Equipment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-ce1e499ca3791b5bc05586dde047e63fb78feddd-0-634582504ab158022e7f8c1913701f878ed1f3b3","53.469","25.742","39.349","54.823","","","54.823","","","","","","","","","","","ce1e499ca3791b5bc05586dde047e63fb78feddd-0-52cddb04aa33060806d09835b65cfe04829d4730","ce1e499ca3791b5bc05586dde047e63fb78feddd","root","ce1e499ca3791b5bc05586dde047e63fb78feddd-674f56984a6c87b1258588eb2193edde27827ff1"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-ce8a657dd99d96d7986516ef48a8fcb7b4afb43d-0-52318983ffc69f79ed79c64c3a567b8a72a6a2e8","185.224","1.203","1.207","1.217","","","1.217","","","","","","","","","","","ce8a657dd99d96d7986516ef48a8fcb7b4afb43d-0-00e95d967e82406177aed61e2084bdd9de429cc7","ce8a657dd99d96d7986516ef48a8fcb7b4afb43d","root","ce8a657dd99d96d7986516ef48a8fcb7b4afb43d-379183e4b18a6c03975972a9e9eb29dff95edcb4"
"DCRS/AMMPS","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-cebe1442f2f90282f2a411d9fef484dd63c3e636-0-6b5ecbdd6c9b7e886d963e13163f29f2b051764a","95.735","1.415","0.638","0.632","","","0.632","","","","","","","","","","","cebe1442f2f90282f2a411d9fef484dd63c3e636-0-d48043bcc2bf031d64f6150f123bed94434f88d1","cebe1442f2f90282f2a411d9fef484dd63c3e636","root","cebe1442f2f90282f2a411d9fef484dd63c3e636-bfb53da1b7e418ec109a148305b7f92f7f96524b"
"Items under $5 million","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-cf31e3e2e29747e7fa0a76958d427e114a002f4d-0-ca8dc14a3dc57e9e3f931b37a3138e08a54b6028","0","15.553","14.403","12.46","","","12.46","","","","","","","","","","","cf31e3e2e29747e7fa0a76958d427e114a002f4d-0-b5f213a6470636e0ce2b717a8b7d84fc585ce684","cf31e3e2e29747e7fa0a76958d427e114a002f4d","root","cf31e3e2e29747e7fa0a76958d427e114a002f4d-5f0e478d58f57a15c58ee70733b16564d26d8054"
"Airborne Rockets, All Types","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-cfc9c3bd64228ac30702039bfccadaad821dc34c-0-0a9d112a7f911e4136b1e9b739570cb04ce43e6d","784.785","79.146","77.137","65.759","","8.86","74.619","","","","","","","","","","","cfc9c3bd64228ac30702039bfccadaad821dc34c-0-2f39b2e6ebffcf4a86f842b533db30c8cd69a179","cfc9c3bd64228ac30702039bfccadaad821dc34c","root","cfc9c3bd64228ac30702039bfccadaad821dc34c-fa53ffd4304c83e042fcd1fed359a239c422c5de"
"Virginia Class Support Equipment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d0633c0503ded76ec38c3a5e181bd58231b7b802-0-a5b4a8d9ccb61bb4fbf1b628d6abafc037c21b76","671.17","12.215","5.49","4.501","","","4.501","","","","","","","","","","","d0633c0503ded76ec38c3a5e181bd58231b7b802-0-a3886102a10ed2414f210c9fd36935065c5c46ab","d0633c0503ded76ec38c3a5e181bd58231b7b802","root","d0633c0503ded76ec38c3a5e181bd58231b7b802-e91037d55d571b7c791bfe8eb327171df5e07d4a"
"C-130 Modification","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d1ca2517faf94ce9efcae2f77bb4e50d14a9bd1e-0-19de0ee73c1c5cbcfc60aea502bbaedade525b94","2371.264","22.381","14.533","20.125","","","20.125","35.625","51.424","55.826","50.316","","","true","","","","d1ca2517faf94ce9efcae2f77bb4e50d14a9bd1e-0-211ad324dd35553f40935c0daa5ead28d7acc7a4","d1ca2517faf94ce9efcae2f77bb4e50d14a9bd1e","root","d1ca2517faf94ce9efcae2f77bb4e50d14a9bd1e-ca670c43987af4ed9e6f05de3fb379cb2da91222"
"Arms Control Implementation","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-0-dd2968d750f018d69f86d345f0066b50ce5573f7","","","","4.497","","","4.497","","","","","","","","","Funding for this exhibit contained in PE 0305145FThe OC-135B aircraft supports the implementation of the United States Government (USG) Open Skies Treaty. Mission equipment on the OC-135B includes wet film optical framing and panoramic cameras. Open Skies Sensors program addresses the requirements in the Presidential Policy Directive-15 (PPD-15), which states, The United States shall begin budgeting no later than Fiscal Year 2014 to upgrade the sensors on the current aircraft by replacing film-based cameras with available electro-optical sensors.(U) Additionally, current cameras are nearly obsolete, frequently unreliable, hard and increasingly expensive to maintain, and repair parts must be individually manufactured. In addition, the web film manufacturers are discontinuing production of the film stock.This camera replacement program will replace the wet film cameras with modern, digital cameras. This program will result in modern, digital cameras with higher reliability, maintainability and cost effectiveness. The customer of the imagery will be able to more readily use the imagery products and the equipment service life will be extended significantly.OC-135B fleet consists of two aircraft. Both aircraft will be modified. One aircraft will be modified during development using RDT&E funds. Each aircraft will receive one A-kit and two B-kits to comply with treaty requirements.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-0-2fac5a3d68398ea310737bbe525963283357f053","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"B-2 Squadrons","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-1-fdf6cac01e4d31119be2460e6b93bb3e34188f60","","32.914","6.05","15.022","","","15.022","","","","","","","","","These funds will be used to achieve Depot Activation of B-2 components as well as new components stemming from B-2 aircraft modification programs as directed by HQ AFMC via the Source of Repair Assignment process and includes associated travel.  Depot Activation efforts continue to include purchase of automated test equipment, data, and development of Test Program Set (TPS) software to support establishment of an organic repair capability for B-2 avionics and mechanical components.  BP19 funds will also continue to replace multiple obsolete and unsupportable Special Test Equipment (STE) in use by repair contractors.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-1-9012c7b49a6322cdaf17a4dcca27d819796e493d","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"B-52","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-2-77b243607b29500aa3590be517bf7869de80b02f","","0.858","3.96","","","","","","","","","","","","","The 1760 Internal Weapons Bay Upgrade (IWBU) Depot Source Of Repair (DSOR) identified the Survivability & Vulnerability (S&V) Junction box as a candidate for depot repair, with OC-ALC designated as the depot.  1760 IWBU funds are FY16, FY15 funds are for Depot Activation support for B-52 Mode S/5 IFF.  No FY17 funding is requested.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-2-581989df217d5fb9e1ceb8bfca921af279c0cb0a","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"C-17 AIRCRAFT","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-3-e4e15b21ca10413fd4debc4e47972bc09f7e2b21","","0.711","","","","","","","","","","","","","","This activity is for the depot activation for C-17 sustainment at the three USAF Air Logistic Centers.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-3-8ec057dfdc6c2aae5ad72494badd563bc0c33d83","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"C-5 Airlift Squadrons (IF)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-4-d8a70d4d72770cc2a3fd83a16e4aa67f45ad68c7","","0","0","0.694","","","0.694","","","","","","","","","This effort is a new start in FY17.Funds are to be used to support depot activation requirements for the C-5 core mission computer/weather radar (CMC/WxRadar) program.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-4-b83d148e1b3f63305922bfe30c10da6dcf7b8613","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"Classified Programs","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-5-5c7f4dc01f05f25cc09aeb12dc85f418954387a0","","585.616","911.648","955.729","","","955.729","","","","","","","","","This program is reported in accordance with Title 10, United States Code, Section 119(a)(1) in the Special Access Program Annual Report to Congress.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-5-70bd30268e791e6c29448d205c02544ae2f508b5","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"Combat Training Range Equipment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-6-2437143f0996f32e822719b2adfd8b8267f4ba74","","4.6","","1.662","","","1.662","","","","","","","","","The P5 Combat Training System (P5CTS) provides instrumentation to train aircrews in air-to-air, air-to-ground, and ground-to-air combat under simulated combat conditions in any available airspace worldwide and eliminates the need to fly over highly instrumented ground ranges.  The system also provides the capability to train aircrews in electronic warfare during joint-force training exercises. FY 17 funding is being requested for replacement ground subsystems.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-6-c677afea860573fd06782397e7653854b56d1929","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"Electronic Warfare Integrated Reprogramming (EWIR)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-7-5210cec96fb25b0c88fe0012bfbd5541af8ac02f","","4.387","3.338","3.614","","","3.614","","","","","","","","","This program funds equipment and aircraft system components to provide critical reprogramming of EW systems for all Air Force and Foreign Military Sales customers.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-7-bbb85300df5606f2b3fc3901e0cde90b91d22cc9","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"F-22A Squad","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-8-845b68b6cb157d56a4cec5d19c495b542df6e114","","97.057","2","59.347","","","59.347","","","","","","","","","Depot Core Activation - This funding request is for the requirement to activate the F-22 core partnered capability at 3 Air Logistics Complexes (ALC). Funding enables initial activation of depot repair capabilities for F-22 aircraft and engine components, sub-assemblies, structures and software. FY17 funding will initiate activation of depot capabilities for repairs and government furnished equipment for individual activation packages to support repair efforts.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-8-8cf49b128e4b8d6bd72c9c807943363dec678d0d","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"ICBM Helicopter Support","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-9-2b2576eb29130893cb21292c4478459ef92b2538","","0","5.167","25.167","","","25.167","","","","","","","","","This program will accomplish a Service Life Extension Program (SLEP) for a portion of the UH-1N fleet, i.e. structural repairs and replacement of key systems based on structural fatigue, system obsolescence and a diminishing manufacturing industrial base.  The UH-1N is a 45+ year old helicopter (oldest in DoD), and this work is necessary to address concerns identified in multiple studies and to prevent the aircraft from being grounded.   The funds budgeted over the FYDP will enable the SLEP of 30 aircraft that are needed in order to bridge the gap until a UH-1N replacement helicopter can be fielded.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-9-b37f7ac278abb3e0b2b67622869cd2b128160c7e","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"Industrial Preparedness","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-10-84663fd0bcaec1fd13d2bdaa01afcc7fd4eac42b","","3.502","2.897","2.305","","0","2.305","","","","","","","","","This budget item covers two categories of pollution prevention activities at USAF industrial (government owned, contractor operated) facilities. These activities reduce emission of hazardous materials to air, land, and water, while reducing the cost to the Air Force as facility owner, as a customer for products manufactured in the plants, and through process improvements that can be transitioned to Air Force users.  The first category covers the demonstration, validation, and procurement of improved equipment and services provided by the Air Force as facility owner and direct manager of common areas and services at these facilities. These activities meet Air Force pollution prevention goals and reduce the AF ownership cost of the facilities and weapon systems (WS).  They include typical landlord initiatives such as recovery/recycling equipment, energy conservation initiatives, and pollution prevention opportunity assessments. The second category of expenditure invests in the demonstration and validation of improved manufacturing processes for plant contractors that reduce emissions, regulatory burdens, and WS life cycle costs. These are usually cost-sharing initiatives, undertaken with the contractor because the government has required the use of hazardous materials through specifications, standards, drawing, contracts, and technical orders. In addition, the process improvements innovated at the plants often can be transitioned to Air Force depots, resulting in reduced operation & maintenance costs, reduced depot flow time, and increases asset availability. This budget activity supports Air Force goals under the Pollution Prevention Act, Executive Orders 13423 and 13514, the AF/CV and SAF/IE Pollution Prevention Policy, the USD(AT&L) hexavalent chromium reduction policy, and the Resource Conservation and Recovery Act.  Prior to FY15, these funds were previously provided through PE 078054F.Funding for this exhibit is contained in PE 78011F.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-10-3ba77eae3d2bab6fea8f469a57a4d36c52d34414","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"MQ-9 UAV","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-11-9194ff52ab9a81cd916b8e0d795345a1109bbef7","","48.591","0","35.65","","0","35.65","","","","","","","","","Funds required for MQ-9 Reaper Depot activation, including procuring depot repair equipment, depot repair spares, depot repair data, technical data, and technical data rights.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-11-1b57d54f6501a9a3786d3230718c642857a21a3e","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"Multi-Platform Electronic Warfare Equipment (EW POD)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-12-485f0435eafc4ae9bb533ab48097352e66066c43","","25.824","28.893","61.522","","","61.522","","","","","","","","","Provides funding for sustaining Electronic Attack pods and towed decoys and associated test equipment. This equipment is used to counter adversary ground and airborne radar systems used to detect and target Air Force aircraft.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-12-812a93317191d2240ed7234c638ed5b7e0391032","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"Precision Attack Systems Procurement","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-13-0cf568f5d7cd1ff0775947c1efefe3f2bb7ea52b","","67.218","7.464","15.749","","8.4","24.149","","","","","","","","","Advanced Targeting Pods (ATPs) provide long-range target acquisition and expanded weapon delivery envelopes for greater aircraft survivability.  ATPs feature an infrared (IR) sensor, charged coupled device television (CCD-TV), laser designator, eye-safe laser, laser spot tracker, infrared marker, and real-time video data link for connectivity with ground forces.   ATP capabilities, such as high resolution imagery, eye safe laser, high system reliability and smaller deployment footprint provide greater combat effectiveness across several mission areas, including suppression/destruction of enemy air defenses (SEAD/DEAD), precision air interdiction, close air support (CAS), non-traditional intelligence, surveillance and reconnaissance (NT-ISR), reconnaissance, and time-sensitive targeting.  This funding supports the production, qualification and integration of ATPs to include all activities necessary for fielding. It includes, but is not limited to, Advanced Targeting Pod (ATP) procurements, OFP verification/qualification testing and integration efforts, Interim Contractor Logistics (ICS) support, containers, site activations, technical data packages, depot standup and program management support. Laser Infrared Targeting and Navigating (LITENING) and Sniper are ATPs currently used by the active duty, Air National Guard (ANG), and Air Force Reserve Command (AFRC).  Advanced Targeting Pod - Sensor Enhancement (ATP-SE) is the next increment in ATP capability.  Low-Altitude Navigation and Targeting Infrared for Night (LANTIRN) and Pave Penny systems will be phased out as new ATP and ATP-SE systems are acquired.FY17 OCO funds of $8.4M will be used for procurement modification on the Advanced Targeting Pods to add Eye-Safe Spot Tracker/Laser Spot Search.  Eye-safe Laser Spot Tracker/Laser Spot Search is essential for protection of US ground and coalition forces during the combat identification process.  The capability will prevent  potential eye damage to friendly forces during ID of targets in urban Environments. _____Schedules and quantities are adjusted based upon COCOM priorities.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-13-12c4eb247a504e57fcdb0582621026e9aefe3645","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"RQ-4 UAV","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-14-66fb8dd62e595ad673e9c16a4c5c210df2aae790","","","","2.973","","","2.973","","","","","","","","","This effort is a new start in FY17.Funds required for Global Hawk RQ-4 depot activation, including the procurement of depot repair equipment, spares, technical data, technical data rights, training, and other activities related to the prioritization and implementation of organic capability.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-14-371e85f2d5e74f836ec0b33b5f3eca8eff1a1c25","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"Service Support to NATO AEW&C Program","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-15-9793b2ab1ee55d6b218265c27d1eab10e18cd2c5","","48.662","59.086","49.548","","","49.548","","","","","","","","","NATO E-3 aircraft provide air and maritime surveillance and air control for allied forces in the NATO area of operations.  Fiscal Year Defense Plan funding provides the required U.S. contribution for projects defined by the NATO Airborne Early Warning and Control (NAEWC) Board of Directors and approved by the U.S. government.  These projects include but are not limited to the Follow-on Upgrade Program (FUP I) and future modernization projects.  The Follow-on Upgrade program satisfies international airspace mandates for upgraded Communications Navigation Surveillance/Air Traffic Management (CNS/ATM) as well as transponder upgrades for Mode 5 and Enhanced Mode S and includes planning activities for a FUP II effort.  Future efforts include but are not limited to FUP II efforts and other modernization projects.  These future projects will enable the aircraft to maintain interoperability, meet emerging military requirements and sustain the NATO fleet for the future needs of NATO.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-15-d86a88a959b17895e0f9cb1a7162bdc59b990301","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"Supply Depot Operations (Non-IF)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-16-ddad738b9f06e4811454cff209931ca597072010","","0.096","0","0","","0","0","","","","","","","","","Supply Depot Operations (Non-IF)","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-16-2a008543286bd1bff848c01c0fdd11698fb9252e","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
"Aerial Targets","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-d2427b9aa9e0109e7d8481b35b73944e20c63a52-17-e670fecbf83c44e44245c06cbf4d7e9a7805f7a2","","21.307","7.969","19.345","","","19.345","","","","","","","","","Program procures ALQ-167 and/or DLQ-9 electronic attack pods for target drones including support equipment.  Pods simulate threat aircraft electronic countermeasures and jamming capabilities.","","d2427b9aa9e0109e7d8481b35b73944e20c63a52-17-e5ceb69d9d146a0d4d443690802a9d0c66d39ccf","d2427b9aa9e0109e7d8481b35b73944e20c63a52","root","d2427b9aa9e0109e7d8481b35b73944e20c63a52-a77dc03819bc838739c064d67e6c659b2405ee76"
