"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","","","","","","","870","0.635","","","","","","","094b114b010621064be6b19ba691583e52d3c19b-0-f886a837e6b9a83103b31cfa5938c04a2f44b74f","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-8979fbfb1fa54053e5e1f75f785ba1a86af06302"
"Air National Guard","","","","","","","76","0.055","","","","","","","094b114b010621064be6b19ba691583e52d3c19b-1-2455250746df8f66ae55b98224dfdb968ea1596b","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-8979fbfb1fa54053e5e1f75f785ba1a86af06302"
"Air Force Active","11","16.084","11","16.084","","","18","34.814","","","","","","","094b114b010621064be6b19ba691583e52d3c19b-0-7f30292cb6adfc1c5a01a9772a226877ca1f1f57","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-0bc814c3444c607c8362ab864516d645f34d3284"
"Air Force Active","","","","","","","","","14","1.55","","","","","094b114b010621064be6b19ba691583e52d3c19b-0-e251ffae9f0683bc076a4e1c570a99f8c44f4fd5","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-feb7bee3935131e120307824ed2c3731205b4c65"
"Air Force Active","165","87.945","165","87.945","59","29.146","","","","","","","","","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-f8e53c245e7fcb777e57cdb892c0d5bf8b71f8aa","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-e2337f8f7b676fc0b108e359c5d0203ff4dd96aa"
"Air National Guard","","","","","1","0.494","","","","","","","","","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-1-68107b2cc2f378e08fd0bec4eefc0a01a420e047","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-e2337f8f7b676fc0b108e359c5d0203ff4dd96aa"
"Air Force Active","","","","","","","","","2","0.045","","","","","21b292cf6c6abee07374aa359f4f727f23b5accd-0-e26d5468ed9f7f309f5c3e5d32e03ea5b1c2d064","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","21b292cf6c6abee07374aa359f4f727f23b5accd-0-d2630182cae71164487209c59da8d3abe2bdc0ee"
"Air Force Active","","","","","","","4","0.69","","","","","","","243848b289cde74724b57b7a20a2699c5b50464b-0-c31a98c54948a51e4a97791e89b3cded50eeb7d3","243848b289cde74724b57b7a20a2699c5b50464b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","243848b289cde74724b57b7a20a2699c5b50464b-0-403440a884b75ab10f01eb55dfa1c4c840d5ff8e"
"Air Force Active","2","33.942","2","33.942","","","1","23","","","","","","","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-ad287f11ebed15a432ed3235b219798f5dcd147c","3ce282e558f99cd96fb2d79f9ab53ea718c88100","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-e040a7f5e7f81d2e699a0dc75cca1a460f9c4002"
"Air Force Active","","","","","","","","","14","1.05","","","","","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-2a32d2b74b0f4e50c1fa8ac6c61ce55afcef1228","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-4298eea71786d0a2a50102fa1cb8c39a0411b1b8"
"Air Force Active","10","1.349","10","1.349","1","0.13","","","","","","","","","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-409cbcc39fffe4d21fb7c020d41018a8ed12dc45","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-5bc5f9f96a3cc853f48b2fd469cf8e0d69b768f1"
"Air Force Active","","","","","","","","","12","0.000","","","","","774511d4a3470732389a6f7ea6920e28e9168865-0-ae9fce6d95143948c34d842e734efa36ee3db10c","774511d4a3470732389a6f7ea6920e28e9168865","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","774511d4a3470732389a6f7ea6920e28e9168865-0-40f19cc2024b23cd0f5c3868e8257f5abaac194a"
"Air Force Active","","","","","","","","","1","0.000","","","","","81fec39e367b83589f17cef5412d90681667d36f-0-497b83332edd68a528339620aef32bd14dae195e","81fec39e367b83589f17cef5412d90681667d36f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","81fec39e367b83589f17cef5412d90681667d36f-0-a22e2ebb3a88fc6097477faee69e2eb656714e05"
"Air Force Active","","","","","","","","","","","3","8.102","","","8c8ae26141464ecd714278ca073e0e9447d4198a-0-b7393e63b1086f46dc358321c298a77b68732709","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8c8ae26141464ecd714278ca073e0e9447d4198a-0-794bc233f75f5704132fc6245f185c412ca22411"
"Air Force Active","","","","","","","1","6.656","","","","","","","8d7c7dd71f2621f7c2e23873d891c962c3228d48-0-97a3989e942175ddade6f90444ab56bd8eba455d","8d7c7dd71f2621f7c2e23873d891c962c3228d48","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8d7c7dd71f2621f7c2e23873d891c962c3228d48-0-e96996890b7912feaab3050b80c866cec212d41c"
"Air Force Active","","","","","","","2","42.15","","","","","","","8d7c7dd71f2621f7c2e23873d891c962c3228d48-0-5e5e83870a7b14233a4f7e8d2b95788be64ffb6e","8d7c7dd71f2621f7c2e23873d891c962c3228d48","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8d7c7dd71f2621f7c2e23873d891c962c3228d48-0-50903599dbbd3fadcbc5c5c349bd65f8b9019732"
"Air Force Active","","","","","","","1","5.065","","","","","","","8d7c7dd71f2621f7c2e23873d891c962c3228d48-0-7da5bf35475f85cf82832582015955dda02e8440","8d7c7dd71f2621f7c2e23873d891c962c3228d48","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8d7c7dd71f2621f7c2e23873d891c962c3228d48-0-26d1c30efd6abd30a86b940a20022a62bf6514c3"
"Air Force Active","","","","","","","","","24","0.000","","","","","8f9993f845d52dd295769d91ecf2500389b6cdf6-0-e968da1a4bc3b3143580f47355b7be1260dce712","8f9993f845d52dd295769d91ecf2500389b6cdf6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8f9993f845d52dd295769d91ecf2500389b6cdf6-0-d18e9d9a98055175db79f92bd322bc83b6255161"
"Air Force Active","3","1.374","3","1.374","3","1.671","","","","","","","","","97092ba11b429a6f7046ccc267083d82ef7c2035-0-48df88b0e534c369860aba641c4dba591c97fbf4","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","97092ba11b429a6f7046ccc267083d82ef7c2035-0-ae54cf8649ecb64465a1a58a58e802971539f2dd"
"Air Force Active","","","","","4","1.609","","","","","2","0.818","","","97092ba11b429a6f7046ccc267083d82ef7c2035-0-55863c888ca12e0bb5840646d231bec4264ef917","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","97092ba11b429a6f7046ccc267083d82ef7c2035-0-654573c4111789054f5b42d4e03383d13bb17528"
"Air National Guard","","","","","9","0.000","","","","","","","","","97092ba11b429a6f7046ccc267083d82ef7c2035-1-dc2ab3bdf96385ef62163e76805c08fdb507490a","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","97092ba11b429a6f7046ccc267083d82ef7c2035-0-654573c4111789054f5b42d4e03383d13bb17528"
"Air Force Active","3","5.558","3","5.558","","","1","2.709","","","","","","","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-b53dd956b13d29b71c562145825c2932878f6794","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-fed842a870d1dc74f6025619d6e64474439b27f1"
"Air Force Active","3","2.999","3","2.999","","","1","1.384","","","","","","","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-d18071640cc52bea63f543c1ed344cc573135457","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-fa25afe0e1864e000589b1767f8273c1a0da06c9"
"Air Force Active","16","8.485","16","8.485","","","1","2.539","","","","","","","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-abf1f9300c6e63ef3239e048b2c30f36d74ea0a7","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-21a4f81d3f8bf7075e9bf7bd580a41ef912b9011"
"Air Force Active","3","7.765","3","7.765","","","1","3.214","","","","","","","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-d86fce82c3f5a3c4f9a4bfd3ffa235d5d3d90e46","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-ae081e0eac5b87c6f1fb1c73d5eb133c80e6bdf6"
"Air Force Active","","","","","","","","","9","11.422","","","","","9dd5c833a9006fb3270153c2362e25e05dd0bbaf-0-9732b16c4b12f9b8686812d102f5325e402cac30","9dd5c833a9006fb3270153c2362e25e05dd0bbaf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","9dd5c833a9006fb3270153c2362e25e05dd0bbaf-0-e094dff16044f908fc27a4766922e7dfd095f485"
"Air Force Active","","","","","","","","","1","0.000","","","","","db18bd00825789823c33bc7ec22afd3752dfccb6-0-b3658640a32f363b7d1a5bb89fcd5d50e00aa2e2","db18bd00825789823c33bc7ec22afd3752dfccb6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","db18bd00825789823c33bc7ec22afd3752dfccb6-0-b35e0e2cb35ddccefd1abae5c702f8026c76ba1c"
"Air Force Active","","","","","","","7","137.523","","","","","","","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee-0-66a7a88ac7a9671d9121d6f5a3eda1dc4dc539bc","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee-0-6a17684104d0f1fd06e1bff7f55e4fb089bc3016"
"Air Force Active","6","3","6","3","","","","","","","","","","","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-1e0db263acd26532f338b0966c3726d852d6aef5","f608d47e7fc02be2d5e71c386e20ebeff98b3f96","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-cb9e3431042fc1ad83db254fbbe9704e539409c2"
