"FiscalYear_val","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RFPIssueDate_val","ContractMethod_val","ContractType_val","FundingVehicle_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencySuffix_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2017","N/A","2016-12","2017-01","1","2.759","true","","","","MIPR","","","","","","a3deae4cb61de9545dddd9eca9022b9c3044b180-2-fc3e07b218b5da2a9dcda1c4fa78fb6f6104f046","a3deae4cb61de9545dddd9eca9022b9c3044b180","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-a5e5345a01904271a118342b5b50e0369358c489"
"2015","AFLCMC Hanscom AFB","2014-10","2015-03","1","1.193","true","","","","Various","","","","","","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-42c58b789dcba58dbcda34b448349a767f4cff65","a3deae4cb61de9545dddd9eca9022b9c3044b180","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-5a9a58dc4375cfa5aaa9cc1aa996d525cd03f85a"
"2016","AFLCMC Hanscom AFB","2015-10","2016-03","1","1.630","true","","","","Various","","","","","","a3deae4cb61de9545dddd9eca9022b9c3044b180-1-e1afa00264f07d0e457f9673e9576d963a6dd1c1","a3deae4cb61de9545dddd9eca9022b9c3044b180","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-5a9a58dc4375cfa5aaa9cc1aa996d525cd03f85a"
"2017","AFLCMC Hanscom AFB","2016-10","2017-03","1","2.129","true","","","","Various","","","","","","a3deae4cb61de9545dddd9eca9022b9c3044b180-2-88c17f957744b28a586ec913388aab69c466fc0c","a3deae4cb61de9545dddd9eca9022b9c3044b180","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-5a9a58dc4375cfa5aaa9cc1aa996d525cd03f85a"
"2015","AFLCMC Wright Patterson AFB","2014-10","2015-03","1","0.208","true","","","","Various","","","","","","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-9e0f996a4966b96c2a760068ca1f60815cb57a35","a3deae4cb61de9545dddd9eca9022b9c3044b180","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-f9beb49c7193f85b4adc14a22d300db77c159935"
"2016","AFLCMC Wright Patterson AFB","2015-10","2016-03","1","0.906","true","","","","Various","","","","","","a3deae4cb61de9545dddd9eca9022b9c3044b180-1-1ad2eb9000842f98a61a779acbf8727039bba0f7","a3deae4cb61de9545dddd9eca9022b9c3044b180","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-f9beb49c7193f85b4adc14a22d300db77c159935"
"2017","AFLCMC Wright Patterson AFB","2016-10","2017-03","1","0.906","true","","","","Various","","","","","","a3deae4cb61de9545dddd9eca9022b9c3044b180-2-7302faa046dd7e102ccf0ae79cf944798c8e4c7d","a3deae4cb61de9545dddd9eca9022b9c3044b180","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-f9beb49c7193f85b4adc14a22d300db77c159935"
"2017","Hill AFB, UT","2017-01","2017-10","10","0.024","false","2016-10","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-fd8f7b7cb6d23aa6d36de0977207bf2445a1f4d6","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-d772594623dbd363806f3ddf130a43849a2d7c33"
"2018","Hill AFB, UT","2018-01","2018-09","10","0.027","false","2017-10","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-1-05a4bbf16f60106ad9cbaba9a0f046b573380816","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-d772594623dbd363806f3ddf130a43849a2d7c33"
"2014","Hill AFB, UT","2014-03","2014-09","21","0.016","false","2013-10","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-2-e013e6dfd5bcc90a52f198b49620f9b45cf26fd4","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-d772594623dbd363806f3ddf130a43849a2d7c33"
"2016","Hill AFB, UT","2015-11","2016-08","10","0.023","false","2015-10","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-3-5f93ef38970fd4136ab7bc439448a147ce39f1a1","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-d772594623dbd363806f3ddf130a43849a2d7c33"
"2015","Hill AFB, UT","2015-03","2015-11","10","0.022","false","2014-11","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-4-ece9e3d6571be5466d9d87582029514d3d44d1dd","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-d772594623dbd363806f3ddf130a43849a2d7c33"
"2014","Hill AFB, UT","2014-03","2014-03","10","0.410","false","","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-601e13d7d7a57c0200f160282140bffe6fb4094b","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-5ea5b94171304944227edfeac2c937e41cdc75d1"
"2015","Hill AFB, UT","2015-03","2015-03","8","0.410","false","","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-1-8582a8a5379e1f66f4bc185645ac9f0ad32b2b1e","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-5ea5b94171304944227edfeac2c937e41cdc75d1"
"2015","Hill AFB, UT","2015-03","2015-06","11","0.040","false","","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-21bd876868328a3088c8e5486f178070d467a9a9","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-253a772ce4f35c23c67bb42c5aedb76f6166906a"
"2016","Hill AFB, UT","2016-03","2016-06","10","0.040","false","","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-1-186d4ab3ca8c9364a93e0a342463e340a4e05cb4","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-253a772ce4f35c23c67bb42c5aedb76f6166906a"
"2017","Hill AFB, UT","2017-03","2017-06","21","0.040","false","","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-2-5243e5badf6aa83827c329bd5b09b337a3a5cd0e","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-253a772ce4f35c23c67bb42c5aedb76f6166906a"
"2018","Hill AFB, UT","2018-03","2018-06","4","0.040","false","","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-3-e4ce2087d6dd4a8358fd0986275dc65d41cf6af6","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-253a772ce4f35c23c67bb42c5aedb76f6166906a"
"2016","Hill AFB, UT","2016-03","2016-06","4","0.030","false","","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-0a105e3696c196ac460435bd27a15de29ce123c1","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-51774e225ee3b52c247e94708d5774f0e8a68c58"
"2018","Hill AFB, UT","2018-03","2018-06","1","0.030","false","","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-1-3f321a1e72f8e447e32b6e5f4c9bf95763cc1f39","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-51774e225ee3b52c247e94708d5774f0e8a68c58"
"2017","Hill AFB, UT","2017-03","2017-06","22","0.030","false","","SS","FP","","","","","","","a5edadf4ab398a2c2a1a0ced1745001e190121c4-2-3d889bb98c9f35550ced2570539fec14cb73e4d6","a5edadf4ab398a2c2a1a0ced1745001e190121c4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a5edadf4ab398a2c2a1a0ced1745001e190121c4-0-51774e225ee3b52c247e94708d5774f0e8a68c58"
"2012","CECOM, APG","2013-03","2013-12","301","166.000","false","","SS","FFP","","Army","301","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-b3425ab0c161d5385f752d597907c174c6f3f2a3-0-135e96da397c802dd6f67705bbb914e86c57805a","0","","b3425ab0c161d5385f752d597907c174c6f3f2a3-0-e4524904b526f84680a3e8af8a3c8f28e39836e7","b3425ab0c161d5385f752d597907c174c6f3f2a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","b3425ab0c161d5385f752d597907c174c6f3f2a3-0-bf89065a464a31f02cb11c477542b62159f7ece5"
"2013","AMCOM Contracting Command, RSA","2013-10","2014-07","301","139.000","false","","SS","FFP","","Army","301","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-b3425ab0c161d5385f752d597907c174c6f3f2a3-1-13ba6fb736b0b95352be71825e5a285fdc08f854","0","BASE","b3425ab0c161d5385f752d597907c174c6f3f2a3-1-93d2db3532d2ed6e02643ebbf8c4c42c5df548ec","b3425ab0c161d5385f752d597907c174c6f3f2a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","b3425ab0c161d5385f752d597907c174c6f3f2a3-0-bf89065a464a31f02cb11c477542b62159f7ece5"
"2014","AMCOM Contracting Command, RSA","2014-06","2015-03","162","183.000","","","SS","FFP","","Army","162","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-b3425ab0c161d5385f752d597907c174c6f3f2a3-2-b7fd14ad1455e8f7e2478746c2ee89cdbecad8a5","0","BASE","b3425ab0c161d5385f752d597907c174c6f3f2a3-2-0036d08ecdb2296687ccb086fa27850f97f900e5","b3425ab0c161d5385f752d597907c174c6f3f2a3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","b3425ab0c161d5385f752d597907c174c6f3f2a3-0-bf89065a464a31f02cb11c477542b62159f7ece5"
"2015","DITCO SCOTT AFB, IL","2015-04","2015-08","16.000","0.350","true","2014-03","C","FFP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-0-579944b6dc84dd1e08fb9505b01c547f44be796d","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-f88af5a8810cbd5cb0d517bf1a82daedb8be471d"
"2015","Hill AFB, UT","2015-03","2015-11","6.000","0.022","true","2014-11","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-0-e9a06a49831148a29c812b1a48bdddb16afa4800","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-eb05e1b32bfe092c5a120e3dcc3b5a4dcc5b34a9"
"2014","Hill AFB, UT","2014-03","2014-09","21.000","0.016","true","2013-10","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-1-43fbba68ac2b1c08b100abaefa0b615571a4a6b0","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-eb05e1b32bfe092c5a120e3dcc3b5a4dcc5b34a9"
"2018","Hill AFB, UT","2018-01","2018-09","8.000","0.027","false","2017-10","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-2-62fa4ef273f3ac49a0d5bc96f340daa1935227eb","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-eb05e1b32bfe092c5a120e3dcc3b5a4dcc5b34a9"
"2016","Hill AFB, UT","2015-11","2016-08","6.000","0.023","false","2015-10","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-3-faba6269bba7fd8eac42d5766c37713c243bb305","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-eb05e1b32bfe092c5a120e3dcc3b5a4dcc5b34a9"
"2017","Hill AFB, UT","2017-01","2017-10","6.000","0.024","false","2016-10","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-4-1f2813b56384e99e3908d78055425f2455c5bb2f","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-eb05e1b32bfe092c5a120e3dcc3b5a4dcc5b34a9"
"2014","Hill AFB, UT","2014-03","2014-03","10.000","0.410","true","2014-01","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-0-8c3205e15385953cec97524506e224b2e7bfcd55","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-9bea12cd8a1e33dd11c03598d8ba2507dca6ae27"
"2015","Hill AFB, UT","2015-03","2015-03","11.000","0.410","true","2015-01","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-1-ecfd5ced949e1fe05b0ba48ff65d7c49c563bc7f","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-9bea12cd8a1e33dd11c03598d8ba2507dca6ae27"
"2017","HiLL AFB, UT","2017-03","2017-03","1.000","0.410","false","2017-01","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-2-7f8e4cd994859499d38b87bf1ae86b2fcdf2f71c","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-9bea12cd8a1e33dd11c03598d8ba2507dca6ae27"
"2016","Hill AFB, UT","2016-03","2016-03","2.000","0.410","false","2016-01","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-3-8de2e7eed296707aaf036d69ff81d5c682ca351b","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-9bea12cd8a1e33dd11c03598d8ba2507dca6ae27"
"2019","Hill AFB, UT","2019-03","2019-06","4.000","0.040","false","2019-01","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-0-69a57bb1073c617f83f5d8aa0c3e9d932eb4eac4","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-12c09852f23a90946dec9edfe149e2d2da8014c0"
"2017","Hill AFB, UT","2017-03","2017-06","7.000","0.040","false","2017-01","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-1-9c197b4f719a9ef694e7b8f2f4bf494db2193288","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-12c09852f23a90946dec9edfe149e2d2da8014c0"
"2018","Hill AFB, UT","2018-03","2018-06","4.000","0.040","false","2018-01","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-2-eb22b9261c1ac5de69dbe233f00581ced3fd71f3","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-12c09852f23a90946dec9edfe149e2d2da8014c0"
"2016","Hill AFB, UT","2016-03","2016-06","2.000","0.040","false","2016-01","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-3-ef9c6ebc95111ba79b0d1b0e2eda31eaf5545e12","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-12c09852f23a90946dec9edfe149e2d2da8014c0"
"2016","Hill AFB, UT","2016-03","2016-06","3.000","0.030","false","2016-01","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-0-02dd20a5a0cf74b1e4ac8479eb1d104f6584ad22","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-0a41d5b8b2226c984be698d58c0d8e3ae3acd863"
"2017","Hill AFB, UT","2017-03","2017-06","3.000","0.030","false","2017-01","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-1-1ae90cb91e5538b2b44fb777193efb1d313d4ac8","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-0a41d5b8b2226c984be698d58c0d8e3ae3acd863"
"2018","Hill AFB, UT","2018-03","2018-06","6.000","0.030","false","2018-01","SS","FP","","","","","","","1a9bf304d88dd249583f9e79530180116f9ec357-2-ea54cf4de0baba6cfbe96d8e046ffe24439a4566","1a9bf304d88dd249583f9e79530180116f9ec357","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","1a9bf304d88dd249583f9e79530180116f9ec357-0-0a41d5b8b2226c984be698d58c0d8e3ae3acd863"
"2013","AMCOM Contracting Command, RSA","2013-09","2014-07","414","138.256","false","","SS","FFP","","Army","414","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-0-fa54b4bd66f1abcdd653882f4ef68d91a4e36c96","","BASE","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-0-b18a428b41ccafa87517feddeeed60a0de172f83","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-0-bccefc3fadb63da335de45fcf50f8b8983ad00b3"
"2014","AMCOM Contracting Command, RSA","2014-03","2014-12","154","137.643","","","SS","FFP","","Army","154","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-1-9de99934e2a223e8f0dc7ed48a7cfb7973d5f1e0","","BASE","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-1-08d34e59fa039eb915d028643d5b325e507ceb8e","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-0-bccefc3fadb63da335de45fcf50f8b8983ad00b3"
"2015","AMCOM Contracting Command, RSA","2015-02","2015-11","316","148.585","","","SS","FFP","","Army","316","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-2-19b8573410b742ecec0bb05cd7622c49218000e9","","BASE","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-2-583785a2a8c88db3ad2d9b3c3a5c0501ac8f01b5","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","b68bc0bc4c0a5a6f3ef69d8c33b243f0da65b61c-0-bccefc3fadb63da335de45fcf50f8b8983ad00b3"
"2014","AMCOM Contracting Command, RSA","2014-05","2015-02","216","158.796","","","SS","FFP","","Army","216","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-01fbb9a5b33b47c91a86f0564c5b45d8e186b549-0-5e6003947f52e4c635dc4e3b21a14b6da2c93b93","","BASE","01fbb9a5b33b47c91a86f0564c5b45d8e186b549-0-b3dbb846e5e9101f25c322486e9d7a3b4bf4a7df","01fbb9a5b33b47c91a86f0564c5b45d8e186b549","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","01fbb9a5b33b47c91a86f0564c5b45d8e186b549-0-8c66aa24bad201fe57cf9feb72812d4cbcb025fd"
"2015","PEO EIS, Ft. Belvoir, VA","2014-10","2015-09","1","1361.000","false","","","","RO","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-0-f5af0ebc7942975d12c08c43296b0592be4f7eac","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","0204da979f3fe83eede49dd470a5931a074cade4-0-d120c0afbcea52ef1ee9aabe01acc169c3a0e2d3"
"2016","PEO EIS, Ft. Belvoir, VA","2015-10","2016-09","1","1388.000","false","","","","RO","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-1-924634ce3925ead0a211d82186a50acc34fd21e6","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","0204da979f3fe83eede49dd470a5931a074cade4-0-d120c0afbcea52ef1ee9aabe01acc169c3a0e2d3"
"2016","PEO EIS,  Ft. Belvoir, VA","2016-03","2016-05","1","1306.000","false","","","","RO","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-0-3286005d13a6a2040948bebba8348ef2d3a63964","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","0204da979f3fe83eede49dd470a5931a074cade4-0-0c3aadd22803407732222553bbaddd4c3f84b421"
"2016","AFMC/ESC","2016-09","2018-01","326","0.052","true","","C","FFP","","","","","","","43e2e803492fd209412fc604bdaaf304244f6624-0-e65b42d4aef9a0a35554f504a8c8ad8c6d82ea17","43e2e803492fd209412fc604bdaaf304244f6624","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","43e2e803492fd209412fc604bdaaf304244f6624-0-16260a30d51f5037fe6ab98032b4d33dbffb7c28"
