"Title_val","PriorYear_Funding_val","PriorYear_Text_val","CurrentYear_Funding_val","CurrentYear_Text_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"S200:  Advanced Technology Development","","","2.000","Conduct rapid prototyping and advanced technology demonstrations.","6b10f5dd93e1c18a2b4e7a922b86c39e1a4c00ca-0-8df2a6ab7c60650e013081c83b63cfc317fd9650","6b10f5dd93e1c18a2b4e7a922b86c39e1a4c00ca","root.record.ProjectList.Project","6b10f5dd93e1c18a2b4e7a922b86c39e1a4c00ca-0-9b1acfe89ec505f07cc2a6729a52e7adaecadd30"
"Dual Mode Brimstone Integration","9.868","FY15 Congressional Add funds will be used to continue qualification work and to begin assessing software compatibility between the Brimstone II system and the F/A-18E/F SCS.  Data for previous United Kingdom Royal Air Force (RAF) airborne qualification and missile design data will be provided to NAVAIR Technical Area Experts (TAE'S) for analysis.  The TAE's will determine data requirements based on this data.","10.000","N/A","6c65adc60347ce0b69a6df61b9783ccaac6703b9-0-1a2fb543ef9f987861f9753d0af2881c33c1c5b4","6c65adc60347ce0b69a6df61b9783ccaac6703b9","root.record.ProjectList.Project","6c65adc60347ce0b69a6df61b9783ccaac6703b9-3-c12ed234aca977934b607775025d69519bf59420"
"Noise Reduction","0.000","N/A","1.500","N/A","6c65adc60347ce0b69a6df61b9783ccaac6703b9-1-75a0a2c3b6b2c94de54d41efeb41bb8fa99341a5","6c65adc60347ce0b69a6df61b9783ccaac6703b9","root.record.ProjectList.Project","6c65adc60347ce0b69a6df61b9783ccaac6703b9-3-c12ed234aca977934b607775025d69519bf59420"
"Joint Test and Evaluation","18.000","Funding provided one additional Joint Test and six Quick Reaction Tests.","10.000","Funding is anticipated to provide nine additional Quick Reaction Tests.","6e412eeeda068be5590da964621934c1382dbee9-0-7074838fc2cda48bd39256cdd660cf6da4aca1eb","6e412eeeda068be5590da964621934c1382dbee9","root.record.ProjectList.Project","6e412eeeda068be5590da964621934c1382dbee9-0-c84f12b511d5382e1ffeb41518053ef5d847fc87"
"Threat Resource Analysis","5.000","Congressional add funds were used to increase threat intelligence support for cyber, space and ballistic missile to DOT&E to define future threats and improve threat realism in testing; also expanded the modeling and simulation configuration management to include Radio Frequency.","8.000","Funds will be used to improve threat realism for testing. Specifically, increase cyber intelligence support to improve emerging cyberspace threat representation, prediction and threat environments; validate electronic warfare/cyber convergence efforts; and standardize approach for cyber threat folder creation. Funds will also be used to extend validation support, improve automated tools that provide intelligence support, and improve the fidelity and availability of models and simulations needed for Test & Evaluation.","6e412eeeda068be5590da964621934c1382dbee9-1-dfddc417036490508594ffd34cc9d37bddc8f057","6e412eeeda068be5590da964621934c1382dbee9","root.record.ProjectList.Project","6e412eeeda068be5590da964621934c1382dbee9-0-c84f12b511d5382e1ffeb41518053ef5d847fc87"
"Unmanned System Integration","0.000","N/A","5.500","Develop Integrated Separation Concepts, Airspace Integration Safety Case/Assessment; Detect and Avoid and Fusion, Separation Algorithms, Safe and Efficient Terminal Airspace Surface Operations and Traffic/Airspace Information displays.  Assess Availability/Quality of Surveillance Data, Human-Automation Interaction; and Predictability/Contingency Management.","7007e4a351d072267d21efe1d290c7202c85e44f-0-c8d92b7f571efdd8292d67809dd76032b5be8ded","7007e4a351d072267d21efe1d290c7202c85e44f","root.record.ProjectList.Project","7007e4a351d072267d21efe1d290c7202c85e44f-4-d4c78600b2cad77ced57a10470ce7463ac534cc2"
"Program Increase","12.000","Congressional increase for University Research Initiatives - totaled $20M. Army reprogrammed $8M of the congressional increase to PE 0601102, Project T14 for proper execution of congressional intent (i.e., for Single Investigator).","","","741fa95a8ec56beefce71c9ce6a1a7635167e364-0-2d4245bfe8fdbb1afa5d1ae2ea850e237d4d24ef","741fa95a8ec56beefce71c9ce6a1a7635167e364","root.record.ProjectList.Project","741fa95a8ec56beefce71c9ce6a1a7635167e364-1-4a3586cc9dd4b701ac25cdba2654256faedf8593"
"Neurofibromatosis Research Program","15.000","Neurofibromatosis Research Program","15.000","Neurofibromatosis Research Program","744c320f60734301f5de42bf025ff99fbdd3569f-0-ef8a6c72851acda8d77a9f279221ca7ef038f88e","744c320f60734301f5de42bf025ff99fbdd3569f","root.record.ProjectList.Project","744c320f60734301f5de42bf025ff99fbdd3569f-1-3a709dd28065043820cc6cac85ed965756890eb0"
"Peer-Reviewed Neurotoxin Exposure Treatment Parkinsons Research Program","16.000","Neurotoxin Exposure Treatment Parkinsons Research Program","16.000","Neurotoxin Exposure Treatment Parkinsons Research Program","744c320f60734301f5de42bf025ff99fbdd3569f-0-65533c8307cd7b6fa5df6e32f99c3237c6ccd6ca","744c320f60734301f5de42bf025ff99fbdd3569f","root.record.ProjectList.Project","744c320f60734301f5de42bf025ff99fbdd3569f-4-19a500ff4a573d208c184994dcdb954c90c1e56e"
"Military Burn Trauma Research Program","8.000","Military Burn Trauma Research Program","8.000","Military Burn Trauma Research Program","744c320f60734301f5de42bf025ff99fbdd3569f-0-61442162b9fa39cafc02d3e37ac11487b06e3187","744c320f60734301f5de42bf025ff99fbdd3569f","root.record.ProjectList.Project","744c320f60734301f5de42bf025ff99fbdd3569f-7-39e978caffccc1afcf4e8915264fd38366620f7e"
"Small Business Technology Insertion","14.555","N/A","12.500","N/A","750fed0781fe9a32dc590dd26df3ad559697db8f-0-5e0966990ea5aa18b53cd1bfc5cabdfeba7d7b4b","750fed0781fe9a32dc590dd26df3ad559697db8f","root.record.ProjectList.Project","750fed0781fe9a32dc590dd26df3ad559697db8f-4-abb2fe27acde933575a83ebb462f29abe597f905"
"AGOR Mid-life Refit","19.340","The AGOR Mid-life Refit FY15 funding was combined with FY13 funding, and was awarded to the University of Washington.... to manage the overhaul, re-fit and upgrade of Navy research vessel THOMAS G THOMPSON (AGOR 23).  The University of Washington issued a Request for Proposals for a shipyard to conduct the overhaul, re-fit and upgrade work, scheduled to begin May 2016.  Bids were evaluated, and the winning shipyard will be announced before the end of FY15.  Deliverables will support environmental compliance requirements regarding ballast water treatment, marine sanitation, engine exhaust, incinerator exhaust, air conditioning refrigerants, and oily-water separation.  Additional deliverables will overcome obsolescence of diesel engine and electrical system components, and enhanced the ship safety with piping replacements in the ship's firemain and ballast water systems.","30.000","The AGOR Mid-Life Refit FY16 funding represents an increase of $10M more than FY15, and provides full funding in this FY for the second vessel, AGOR 24 Roger Revelle.  A contract with the University of California-San Diego's Scripps Institution of Oceanography will be developed to manage the project during FY16, with a major shipyard overhaul preliminarily planned for FY18. Deliverables will support environmental compliance requirements regarding ballast water treatment, marine sanitation, engine exhaust, incinerator exhaust, air conditioning refrigerants, and oily-water separation.  Additional deliverables will overcome obsolescence of diesel engine and electrical system components, and enhanced the ship safety with piping replacements in the ship's firemain and ballast water systems.","75926e37197d90b1234a04941e83af8bc8cf43da-0-7e5ff5223c9cab942a406d3bc43112e9c2352596","75926e37197d90b1234a04941e83af8bc8cf43da","root.record.ProjectList.Project","75926e37197d90b1234a04941e83af8bc8cf43da-1-f5e881a9ad5beed83c17770d52f4610df0b68fee"
"C-130 Terrain Following (TF) Radar System","","","7.700","Begin contracting efforts to integrate and test the SOF common APQ-187 TF radar system on MC-130J development testing aircraft and develop modifications to aircraft controls and displays to reduce aircrew workload.  This includes integrating the TF radar system with the MC-130J Increment 3 special mission processors.","75d2131a0c8c91f5bde491ecaaca682a95dc1d1b-0-38e511fee2e217e095d7f92ff9c64401557cc328","75d2131a0c8c91f5bde491ecaaca682a95dc1d1b","root.record.ProjectList.Project","75d2131a0c8c91f5bde491ecaaca682a95dc1d1b-0-777884580f2d4071ec6283e32d7b460a1d5eca1d"
"Adv Radar Innovation Fund - Air (Cong)","0.000","N/A","8.500","N/A","7786392f73bc2811afcd3cf7461c1c07cd320b4f-0-aa72911ae325960c6c7ca3e7d3466db6330f2c68","7786392f73bc2811afcd3cf7461c1c07cd320b4f","root.record.ProjectList.Project","7786392f73bc2811afcd3cf7461c1c07cd320b4f-1-10c63a9301f14504533e7d714b94a6a57be2fb3e"
"Program Increase","1.021","Conducted Congressionally-directed effort.","","","7792a75767c8bd889fc2007af3715bb5636813c2-0-9cfc8457cf2ff974796da5014f586e12d649556b","7792a75767c8bd889fc2007af3715bb5636813c2","root.record.ProjectList.Project","7792a75767c8bd889fc2007af3715bb5636813c2-0-129da33f5a13c617f31209acc0f37ba59997eb33"
"Program Increase","3.500","Conducted research on improved vehicular mounted forward looking anomaly sensing, which aids operators by visually scanning forward to cue potential buried or concealed tactical and unexploded ordnance (UXO) threats, in-road and roadside; and the confirmation of explosive threats, including UXO, using handheld and/or robotic sensors, which utilizes a combination of sensor inputs to increase capability.","4.000","This is a Congressional Interest Item","7ad9df2de88d368f0eef6b28f70bd54629e3689a-0-7837e26e888923b0cd12d63f8007157c99969755","7ad9df2de88d368f0eef6b28f70bd54629e3689a","root.record.ProjectList.Project","7ad9df2de88d368f0eef6b28f70bd54629e3689a-2-819db62a98a827227c62533dd59ddc9f9bbedc61"
"Explosives Detection Technology","","","7.500","This is a Congressional Interest Item","7ad9df2de88d368f0eef6b28f70bd54629e3689a-1-fb2009d6478d54e6c96ea68c3d7f10ae125d7652","7ad9df2de88d368f0eef6b28f70bd54629e3689a","root.record.ProjectList.Project","7ad9df2de88d368f0eef6b28f70bd54629e3689a-2-819db62a98a827227c62533dd59ddc9f9bbedc61"
"Congressional Increase","40.000","Congressional increase for the High Performance Computing Modernization Program.","45.000","Congressional increase for the High Performance Computing Modernization Program.","7cf3426c135193c5fb1eb8c89c0c043b033b77a6-0-860a60079afc132735c4626577dae1b0815d1d26","7cf3426c135193c5fb1eb8c89c0c043b033b77a6","root.record.ProjectList.Project","7cf3426c135193c5fb1eb8c89c0c043b033b77a6-1-ff15093105b2fc6144d862c7f84f89d2063ccf01"
"Program Increase","18.000","Conducted research in the areas of Materials-by-Design; Energy Coupled to Matter; Strategic Materials; and Innovative Manufacturing Science.","35.000","This is a Congressional Interest Item.","8421e86f57ae66c76b8129341adfde72112be7d5-0-7702759b16d8dc2867f1980baa635f33ceee5cca","8421e86f57ae66c76b8129341adfde72112be7d5","root.record.ProjectList.Project","8421e86f57ae66c76b8129341adfde72112be7d5-0-ddfd0de8a8a602bc28d734b07c222649d1bcefc8"
"High Performance Polymers Research","","","5.000","This is a Congressional Interest Item","8421e86f57ae66c76b8129341adfde72112be7d5-1-e1f111da5bdba888259ded655c1f7e69dd2d8499","8421e86f57ae66c76b8129341adfde72112be7d5","root.record.ProjectList.Project","8421e86f57ae66c76b8129341adfde72112be7d5-0-ddfd0de8a8a602bc28d734b07c222649d1bcefc8"
"Program Increase","","","9.600","This is a Congressional Interest Item.","873efe567f1c781af28c68a3cea6bf4500957a8f-0-9a265b99f5df6d0a1636f9d62d1001fd870627fc","873efe567f1c781af28c68a3cea6bf4500957a8f","root.record.ProjectList.Project","873efe567f1c781af28c68a3cea6bf4500957a8f-3-125f313c59bd6b5f50aac989fc11dd903a85cf66"
"Alternative Energy Research","","","20.000","This is a Congressional Interest item","873efe567f1c781af28c68a3cea6bf4500957a8f-0-55ced0298277111ac77419ef15461378df80659b","873efe567f1c781af28c68a3cea6bf4500957a8f","root.record.ProjectList.Project","873efe567f1c781af28c68a3cea6bf4500957a8f-4-171a4c647b2414c52e0d15f1d591acc38914df25"
"Metals Affordability Research","8.000","Conduct Congressionally directed effort.","9.000","Conduct congressionally directed effort in low-cost special aerospace metals.","8b171f735878a5eb0fa58e01ff0fb28efa1a23ec-0-20bb212bfad02bdf256ddb41fdafb4a9020aa23f","8b171f735878a5eb0fa58e01ff0fb28efa1a23ec","root.record.ProjectList.Project","8b171f735878a5eb0fa58e01ff0fb28efa1a23ec-2-60729ae276721b2d5c0b149687e4cb23d1ac9548"
"Alternative Energy Research","20.000","Conducted congressionally directed effort.","20.000","Conduct congressionally directed efforts.","8cce8cccef4e59ffbe42a15e81ac49e812da0660-0-1ea1938c69e5387bc3cd9886e27f06e670229d87","8cce8cccef4e59ffbe42a15e81ac49e812da0660","root.record.ProjectList.Project","8cce8cccef4e59ffbe42a15e81ac49e812da0660-0-e4bc14dddbe634e16bd94fafc1bb5dc67365faf5"
"Innovative industrial practices for the co-production of fuels, chemicals, and wood fiber products to meet DoD bulk fuel requirements","0.000","Needs to be updated","","","9b61e9c12474ff9941b0c6a0f85e30701f31922f-0-95e008c2aa97bd9e88ce61b4f745c2a40657abc2","9b61e9c12474ff9941b0c6a0f85e30701f31922f","root.record.ProjectList.Project","9b61e9c12474ff9941b0c6a0f85e30701f31922f-4-9b382234b27a5fd96ffa0e8ca1ade69d29d89a63"
"Air Force Educational and Outreach Program","","","8.500","Conduct congressionally directed effort","9d46fb66fce24304de333c9829614fa7cdc3dbf7-0-0abb3f7f44d0ed83aa2c4b56a0b39b67282ee211","9d46fb66fce24304de333c9829614fa7cdc3dbf7","root.record.ProjectList.Project","9d46fb66fce24304de333c9829614fa7cdc3dbf7-0-920cdf6db01c5409e923bf5e3197c0c0fc87c9d0"
"Nanotechnology Research","5.000","Conducted Congressionally-directed effort.","","","9d46fb66fce24304de333c9829614fa7cdc3dbf7-0-db946b52abc2f5122a436f6e401203526276d324","9d46fb66fce24304de333c9829614fa7cdc3dbf7","root.record.ProjectList.Project","9d46fb66fce24304de333c9829614fa7cdc3dbf7-1-45b73b9266f1e80aed3bb84897eeca72a7064056"
"Program Increase","6.100","Congressional increase for basic research efforts.","4.000","Congressional increase for basic research efforts.","9dfad17910c64dcb6678318b9315db6a0298440c-0-2cf997535998313556829e4da3006bbd0b4b2ce4","9dfad17910c64dcb6678318b9315db6a0298440c","root.record.ProjectList.Project","9dfad17910c64dcb6678318b9315db6a0298440c-12-4f06f71071a91c306fd42c6e856868aea48dfb7f"
"Program Increase","20.000","Conducted congressionally directed effort.","","","a3783cc3ea49ae9ccb0009ab1074ecb770f0a51b-0-526e90ee86b2ba85fbc1c8383096b0bee69b8413","a3783cc3ea49ae9ccb0009ab1074ecb770f0a51b","root.record.ProjectList.Project","a3783cc3ea49ae9ccb0009ab1074ecb770f0a51b-0-6874a2252b9310823bb8d14d6c7992703b7836ea"
"Combat and Weapons Systems Modernization","0.000","N/A","9.500","N/A","a494c13cea8716761a426eedef5beb86784dc228-0-a86c4604c2df598bdba5b97a6bd08f0831e4dac8","a494c13cea8716761a426eedef5beb86784dc228","root.record.ProjectList.Project","a494c13cea8716761a426eedef5beb86784dc228-1-65b07980f9d91728f8bf94d1828c9068aa5dd1f7"
"Basic Research Congressional Add","3.334","-  Supports increased efforts in basic research that engage a wider set of universities and commercial research communities.","","","a63396fba3ab0948ba9d04f63cc15dc145d094f0-0-b378526166aaadb5a7170b434827819d78c0323c","a63396fba3ab0948ba9d04f63cc15dc145d094f0","root.record.ProjectList.Project","a63396fba3ab0948ba9d04f63cc15dc145d094f0-1-2517247fdf75a9a78ac7935763dd77c8a80c8e0e"
"Basic Research Congressional Add","3.334","-  Supports increased efforts in basic research that engage a wider set of universities and commercial research communities.","","","a63396fba3ab0948ba9d04f63cc15dc145d094f0-0-298552ace13769b8290139eb89379af4c2fb91ab","a63396fba3ab0948ba9d04f63cc15dc145d094f0","root.record.ProjectList.Project","a63396fba3ab0948ba9d04f63cc15dc145d094f0-2-4d3581d1309d6a5714d3c19208685fbf7e2faac6"
"Basic Research Congressional Add","6.666","-  Supports increased efforts in basic research that engage a wider set of universities and commercial research communities.","","","a63396fba3ab0948ba9d04f63cc15dc145d094f0-0-b23ca6921d65bc4f4d2641c2b697aa486958f37c","a63396fba3ab0948ba9d04f63cc15dc145d094f0","root.record.ProjectList.Project","a63396fba3ab0948ba9d04f63cc15dc145d094f0-3-95bdd2caed90ce36fe531ecdd9b8199aae1d0516"
"Basic Research Congressional Add","6.666","-  Supported increased efforts in basic research that engage a wider set of universities and commercial research communities.","","","a63396fba3ab0948ba9d04f63cc15dc145d094f0-0-7da5dad3dd5954cc94856584b672bc70d11ad91d","a63396fba3ab0948ba9d04f63cc15dc145d094f0","root.record.ProjectList.Project","a63396fba3ab0948ba9d04f63cc15dc145d094f0-4-964a289e1b679aedbaf65c82880e0114de34dbed"
"Cyber Research","0.000","N/A","6.000","- Initiate a multi-disciplinary science and technology effort addressing dynamic cyber defense and tactical cyberspace operations.","a6444f29b0f6f39c4a58c144e7e7eedba6753883-0-4e7bb3206d9a6a6b97f5b77f86b5b9b8f1071c2e","a6444f29b0f6f39c4a58c144e7e7eedba6753883","root.record.ProjectList.Project","a6444f29b0f6f39c4a58c144e7e7eedba6753883-1-5bc0258cfa6abc4a0c2431994633709b29dedef9"
"Program Increase","0.000","N/A","3.334","Conduct Congressionally-Directed Effort","a69c86a444491fba5b9abdd8b1a05e9042ebb0c3-0-23116e9f710b0dbb06c2213345626d3ec036fcdd","a69c86a444491fba5b9abdd8b1a05e9042ebb0c3","root.record.ProjectList.Project","a69c86a444491fba5b9abdd8b1a05e9042ebb0c3-0-f3623170cff82e643cc1ee321a206d0a13a75aaa"
"Program Increase","0.000","N/A","3.333","Conduct Congressionally-Directed Effort","a69c86a444491fba5b9abdd8b1a05e9042ebb0c3-0-24ea9323ba7a66cc6482cbefab3da9765183d160","a69c86a444491fba5b9abdd8b1a05e9042ebb0c3","root.record.ProjectList.Project","a69c86a444491fba5b9abdd8b1a05e9042ebb0c3-1-4fcc4f86021a2f441801382d051690506237a766"
"Program Increase","10.000","Conducted Congressionally-directed effort.","3.333","Conduct Congressionally-directed effort","a69c86a444491fba5b9abdd8b1a05e9042ebb0c3-0-3e04cc76ac623e6e8ab15cb6fdc57db4796335c7","a69c86a444491fba5b9abdd8b1a05e9042ebb0c3","root.record.ProjectList.Project","a69c86a444491fba5b9abdd8b1a05e9042ebb0c3-2-7c2d76676112fd8bcbd729d7d5033e68f7bda05f"
"Program Increase","5.000","Conducted Congressionally-directed effort.","","","a69c86a444491fba5b9abdd8b1a05e9042ebb0c3-0-51e8d8fa494a297e4f7fc2703e19b181c3196ebe","a69c86a444491fba5b9abdd8b1a05e9042ebb0c3","root.record.ProjectList.Project","a69c86a444491fba5b9abdd8b1a05e9042ebb0c3-3-72fba5ca54dbd9cca46800e664ba20de1fd88b24"
"Stand-Off Precision Guided Munitions (SOPGM)","","","10.500","Begins integration and testing of the Small Glide Munition (SGM) precision guided weapon on SOF platforms.","a77a1baff84d02a392014bd3c7fde884efbcf0d2-0-c7a134d93bf9ea88ce69b2fea73ba6d802550954","a77a1baff84d02a392014bd3c7fde884efbcf0d2","root.record.ProjectList.Project","a77a1baff84d02a392014bd3c7fde884efbcf0d2-8-b88e2a8eedcffb2b4c216372ea1d494a3d3042f4"
"LWT SBIR (Cong)","9.670","Developed producability improvements, COTS modernization, and test equipment upgrades.","10.000","Develop producability improvements, COTS modernization, and test equipment upgrades.","aa009f644e0fb5306874279843f94b9cfc501b94-0-5b73bd4634b5deb0727de4522e2671c160a51591","aa009f644e0fb5306874279843f94b9cfc501b94","root.record.ProjectList.Project","aa009f644e0fb5306874279843f94b9cfc501b94-2-17fe8e4ce8d98c5ca7a3e54269bed894585a5f3b"
"Accelerate LX(R)","0.000","N/A","29.000","Transitioning from Preliminary Design into Contract Design, requires subsystem level of detail and most significantly a design that supports the development of a specification for a Gate 4, Gate 5, Requirement Decision Point, and System Functional Review (SFR).  The Capabilities Development Document (CDD) will be approved by the Joint Requirements Oversight Council (JROC) in early FY 2016, which will further inform the development of the ship specification.  The contract design effort will explore innovative and cost saving concepts such as flexible infrastructure, incorporation of commonality products, and a common design environment.  Continue participation by Shipbuilders to support affordability trade-offs and informing a producible design.","b04e4ada072a10640e27984ef5c1b3be83b7d2ef-0-a5af95b53ab39d48204508fa0036b156df54ee10","b04e4ada072a10640e27984ef5c1b3be83b7d2ef","root.record.ProjectList.Project","b04e4ada072a10640e27984ef5c1b3be83b7d2ef-1-ffff86df23c37d9082ecf9528ab8110d08ae38f7"
"Adv Sub Sys Dev (Cong)","0.000","N/A","10.000","Design and develop advanced submarine stealth and controller components and related technologies to mitigate risks, perform hydrodynamic and hydroacoustic analysis on advanced submarine control systems to insure performance requirements are met, perform required land-based and in-water qualification testing (e.g., shock, pressure, EMI), and test and evaluate control system technologies used in external applications using innovative designs and materials to alleviate corrosion and signature issues.","b2d2904b6eec9027607e0cc270a63a473695edbf-0-5c205693a17440e3250a0ae5802d8ea3054b8460","b2d2904b6eec9027607e0cc270a63a473695edbf","root.record.ProjectList.Project","b2d2904b6eec9027607e0cc270a63a473695edbf-3-15860fe97d7e42a2996d72cfad7c174ca5722055"
"Program Increase","2.100","Conducted congressionally directed effort.","4.100","Conduct congressionally directed efforts.","b6d5d9954c9596208509d1b0ad2eec97a89b7a5a-0-a9ddc0305804dbb2d08060a3997fff49262175bf","b6d5d9954c9596208509d1b0ad2eec97a89b7a5a","root.record.ProjectList.Project","b6d5d9954c9596208509d1b0ad2eec97a89b7a5a-0-4ded89905344c2cd7f46093e1dc43ee97464dd7c"
"Program Increase","2.500","Conducted Congressionally-directed effort.","","","b747eb78c447904222625cb0639f500bf21c4348-0-c211cc1666fa8f246bbfbf8e6d8f91e499d134f1","b747eb78c447904222625cb0639f500bf21c4348","root.record.ProjectList.Project","b747eb78c447904222625cb0639f500bf21c4348-0-7d86207f4717f211867eae067c48ec5d16890826"
"Program Increase","","","6.000","Conduct Congressionally-directed effort.","b747eb78c447904222625cb0639f500bf21c4348-0-04e71a44e23c79ba6dfcfcaf66502198d68300c5","b747eb78c447904222625cb0639f500bf21c4348","root.record.ProjectList.Project","b747eb78c447904222625cb0639f500bf21c4348-1-4d4e7ea18cf4555652a38a80135fdc3ae6c480dc"
"Integrated Threat Distributed Cyber Environments","","","7.500","Development of these provisions will enable real-time cyber causality assessment against the realistic cyber threat environment while retaining the ability to rapidly reconfigure required environments as the cyber threat adapts and proliferates.  This capability will utilize automated configuration and control of threat cyber environment operations in order to meet current demands.  This capability is a solution to existing challenges of implementing, sustaining, and reconfiguring actual foreign network technology to replicate threat cyber environment requirements.","b81e77289c49a215f8c71879e42ef24ca9d07f0c-0-3692d25bed45d34566f65815a6f9d4a8127d6bfb","b81e77289c49a215f8c71879e42ef24ca9d07f0c","root.record.ProjectList.Project","b81e77289c49a215f8c71879e42ef24ca9d07f0c-0-9d24e8e915d2cb3e445ee5835afdf5d73c2304fe"
"Program Increase","","","7.000","Conduct Congressionally-Directed effort","b9af0b6ec41444475d616cd1c79922765b42296a-0-f5208c2b70770605556f97dfff4c3b22cdae53b4","b9af0b6ec41444475d616cd1c79922765b42296a","root.record.ProjectList.Project","b9af0b6ec41444475d616cd1c79922765b42296a-1-20cd9094f5dcada1f714adfaff8e7bc1018b5ff5"
"Ground Based Sense and Avoid (GBSAA)","3.000","- Continued development and procurement of a transportable GBSAA system for the ANG.- Purchased 3 dimensional radar and hardware systems through existing Army contracts.- Developed architecture for transportable GBSAA for ANG to include integration with Ground Control Station and existing air traffic control radar.- Initiated development and procurement of GBSAA system for Global Hawk at Beale AFB, CA.","0.000","- With FY15 funds, continue development of a transportable GBSAA system for the ANG.-- Tasks include test and evaluation of a pre-production system, integration of a satellite communication capability, and pursuit of FAA approval for operations.- Continue development and procurement of GBSAA system for RPA operations at Beale AFB, CA.-- Tasks include analysis of operations, creation of documentation for FAA safety case, finalization of architecture, procurement of hardware, test and evaluation, and pursuit of FAA approval for operations.","bd0a1939f7753925c200542facb9591c98ed14ec-0-dc4d32df56c2abfa8da212f610f928346eb56a0f","bd0a1939f7753925c200542facb9591c98ed14ec","root.record.ProjectList.Project","bd0a1939f7753925c200542facb9591c98ed14ec-0-9922b877ab210b393d1828c3bd7361d06738a7fd"
"Small Business Technology Insertion","0.000","N/A","12.500","N/A","c8f9131f35191a2524a60201b46c25af4b577bcb-0-2132ca72b688596dedb9acc4cd5f29d18bb803c1","c8f9131f35191a2524a60201b46c25af4b577bcb","root.record.ProjectList.Project","c8f9131f35191a2524a60201b46c25af4b577bcb-3-58af86567522e314ec1d2f33b4b2699d364592dd"
"New Design SSN SBIR (Cong)","14.505","N/A","25.000","N/A","c8f9131f35191a2524a60201b46c25af4b577bcb-1-bc6a0e26b131a4e092f0bc8f76be00f4e8d4e7e3","c8f9131f35191a2524a60201b46c25af4b577bcb","root.record.ProjectList.Project","c8f9131f35191a2524a60201b46c25af4b577bcb-3-58af86567522e314ec1d2f33b4b2699d364592dd"
"Program Increase","6.300","Program Increase","3.500","Program Increase","ca40173226598d4976fcb7db55c7f8c3c4448a4b-0-9892c85781aa68e5a7d923f96c55e39636c0b8ef","ca40173226598d4976fcb7db55c7f8c3c4448a4b","root.record.ProjectList.Project","ca40173226598d4976fcb7db55c7f8c3c4448a4b-1-8261026a61d1ead070d8d51b386ab31f09849b84"
"Basic Research Congressional Add","10.909","Supports increased efforts in basic research that engage a wider set of universities and commercial research communities.","","","cb32b882887424a744f195fbfd32249f27443e24-0-2f9e50d603fff7701b5c566fb309201c22a033d6","cb32b882887424a744f195fbfd32249f27443e24","root.record.ProjectList.Project","cb32b882887424a744f195fbfd32249f27443e24-0-a8964d554c8ebba845f05cd9d9d23050d96ca797"
"Radio Frequency (RF) Remote Activation Munitions (RAM)","0.722","A low cost reusable RF-RAMS MK16 receiver will be re-designed with state of the art controller and safety circuitry to reduce its size, cost and enhance safety.  The current RF-RAMS receiver contract cost is approximately $3,000 in quantities above 930. The goal of this effort is to update the existing receiver design and implement improved manufacturing processes to reduce the cost.  The low cost MK16 receiver will integrate several manufacturing and producibility improvements to reduce production costs from approximately $3,000 to a production unit cost goal of less than $1,000.","","","cb43931a7c456bde0372dba1282919981bc80a45-0-4a1f6562eaf3b4d16c39a284973c397403ebc064","cb43931a7c456bde0372dba1282919981bc80a45","root.record.ProjectList.Project","cb43931a7c456bde0372dba1282919981bc80a45-0-ffd44667d3a389a8267f48922813ae6420c780a5"
"FY 2015 Congressional Add","15.000","FY 2015 Congressional Add titled Program Increase","","","cb43931a7c456bde0372dba1282919981bc80a45-0-a993029cb6883a2867627d849535e26e92590316","cb43931a7c456bde0372dba1282919981bc80a45","root.record.ProjectList.Project","cb43931a7c456bde0372dba1282919981bc80a45-4-04b4bd4b4267cafdee384afbf2c90356954317ce"
"FY 2016 Congressional Add","","","17.000","FY 2016 Congressional titled program increase of $17M.","cb43931a7c456bde0372dba1282919981bc80a45-1-f7ee8db952a7f65575c94b135a796db051569803","cb43931a7c456bde0372dba1282919981bc80a45","root.record.ProjectList.Project","cb43931a7c456bde0372dba1282919981bc80a45-4-04b4bd4b4267cafdee384afbf2c90356954317ce"
"Hybird Projectile Technology","","","15.000","Congressional Add for Hybird Projectile Technology. Army seeking to move Congressional Add for $15M for Hybrid Technology into appropriate 6.2 or 6.3 PE.","cb43931a7c456bde0372dba1282919981bc80a45-0-47ffaa565ceae88b3cb19c680494c347c116112a","cb43931a7c456bde0372dba1282919981bc80a45","root.record.ProjectList.Project","cb43931a7c456bde0372dba1282919981bc80a45-5-c88751ed16f7238ab35a7b181d008e742946571c"
"Highly Integrated Photonics (HIP) - Cong","0.000","N/A","15.000","Develop and test integrated photonic components for modernizing DOD aircraft (and other platform) avionics, sensors, and electronic warfare systems.","cb62cace8749fddef813f3a44ff2821ec6e9c935-0-79fef3ca35b551f48abaf5e190cb261a857dfbe4","cb62cace8749fddef813f3a44ff2821ec6e9c935","root.record.ProjectList.Project","cb62cace8749fddef813f3a44ff2821ec6e9c935-2-1d52b67f66af57e95adb87b81c67c0eb51b737de"
"Silicon Carbide (SiC) Research-Army Research Laboratory","12.000","Continue research on SiC power devices and power components.","","","cca5ef5b880224e83004a253372969441699995b-0-4d9ad8ef5f3c38a5b1e44745bd80120e46148ac5","cca5ef5b880224e83004a253372969441699995b","root.record.ProjectList.Project","cca5ef5b880224e83004a253372969441699995b-0-f44a4ec334bcff4b5567ae62671d7edbebeb3ee1"
